Entity,Code,Year, (%)
Albania,ALB,1996,12.36
Albania,ALB,2002,16.61
Albania,ALB,2005,9.79
Albania,ALB,2008,6.11
Albania,ALB,2012,6.79
Angola,AGO,2000,54.25
Angola,AGO,2008,54.52
Argentina,ARG,1986,0
Argentina,ARG,1987,2.22
Argentina,ARG,1991,3.91
Argentina,ARG,1992,4.48
Argentina,ARG,1993,5.16
Argentina,ARG,1994,5.39
Argentina,ARG,1995,8.23
Argentina,ARG,1996,8.98
Argentina,ARG,1997,8.48
Argentina,ARG,1998,9.77
Argentina,ARG,1999,10.15
Argentina,ARG,2000,12.12
Argentina,ARG,2001,17.05
Argentina,ARG,2002,25.4
Argentina,ARG,2003,19.14
Argentina,ARG,2004,14.59
Argentina,ARG,2005,11.36
Argentina,ARG,2006,8.7
Argentina,ARG,2007,7.13
Argentina,ARG,2008,6.79
Argentina,ARG,2009,6.41
Argentina,ARG,2010,4.99
Argentina,ARG,2011,3.6
Argentina,ARG,2012,3.69
Argentina,ARG,2013,3.63
Argentina,ARG,2014,4.28
Armenia,ARM,1996,40.42
Armenia,ARM,1999,50.02
Armenia,ARM,2001,53.09
Armenia,ARM,2002,49.45
Armenia,ARM,2003,45.48
Armenia,ARM,2004,33.93
Armenia,ARM,2005,24.7
Armenia,ARM,2006,20.04
Armenia,ARM,2007,21.92
Armenia,ARM,2008,12.92
Armenia,ARM,2009,16.35
Armenia,ARM,2010,21.65
Armenia,ARM,2011,19.03
Armenia,ARM,2012,17.4
Armenia,ARM,2013,16.97
Armenia,ARM,2014,14.62
Azerbaijan,AZE,1995,24.78
Azerbaijan,AZE,2001,16.32
Azerbaijan,AZE,2002,0.24
Azerbaijan,AZE,2003,0.35
Azerbaijan,AZE,2004,0
Azerbaijan,AZE,2005,0
Azerbaijan,AZE,2008,2.51
Bangladesh,BGD,1983,81.23
Bangladesh,BGD,1985,76.79
Bangladesh,BGD,1988,81.52
Bangladesh,BGD,1991,82.37
Bangladesh,BGD,1995,73.17
Bangladesh,BGD,2000,70.06
Bangladesh,BGD,2005,62.96
Bangladesh,BGD,2010,56.8
Belarus,BLR,1988,0.64
Belarus,BLR,1993,2.7
Belarus,BLR,1995,2.62
Belarus,BLR,1998,36.14
Belarus,BLR,1999,31.61
Belarus,BLR,2000,25.51
Belarus,BLR,2001,13.95
Belarus,BLR,2002,10.01
Belarus,BLR,2003,8.29
Belarus,BLR,2004,3.83
Belarus,BLR,2005,2.22
Belarus,BLR,2006,0.9
Belarus,BLR,2007,0.93
Belarus,BLR,2008,0.47
Belarus,BLR,2009,0.54
Belarus,BLR,2010,0.17
Belarus,BLR,2011,0.04
Belarus,BLR,2012,0.07
Belarus,BLR,2013,0
Belarus,BLR,2014,0
Belize,BLZ,1993,24.3
Belize,BLZ,1994,24.36
Belize,BLZ,1995,21.55
Belize,BLZ,1996,28.56
Belize,BLZ,1997,34.64
Belize,BLZ,1998,32.64
Belize,BLZ,1999,27.2
Benin,BEN,2003,77.22
Benin,BEN,2011,75.63
Bhutan,BTN,2003,60.9
Bhutan,BTN,2007,28.87
Bhutan,BTN,2012,13.33
Bolivia,BOL,1990,24.84
Bolivia,BOL,1992,35.91
Bolivia,BOL,1997,30.98
Bolivia,BOL,1999,37.43
Bolivia,BOL,2000,41.38
Bolivia,BOL,2001,35.77
Bolivia,BOL,2002,36.85
Bolivia,BOL,2004,27.98
Bolivia,BOL,2005,32.24
Bolivia,BOL,2006,29.24
Bolivia,BOL,2007,27.31
Bolivia,BOL,2008,20.73
Bolivia,BOL,2009,19.2
Bolivia,BOL,2011,14.63
Bolivia,BOL,2012,15.77
Bolivia,BOL,2013,13.35
Bolivia,BOL,2014,12.69
Bosnia and Herzegovina,BIH,2001,0.93
Bosnia and Herzegovina,BIH,2004,0.64
Bosnia and Herzegovina,BIH,2007,0.42
Bosnia and Herzegovina,BIH,2011,0.45
Botswana,BWA,1985,62.52
Botswana,BWA,1993,54.66
Botswana,BWA,2002,49.04
Botswana,BWA,2009,35.74
Brazil,BRA,1981,41.44
Brazil,BRA,1982,40.51
Brazil,BRA,1983,49.17
Brazil,BRA,1984,48.58
Brazil,BRA,1985,42.74
Brazil,BRA,1986,21.36
Brazil,BRA,1987,32.93
Brazil,BRA,1988,37.76
Brazil,BRA,1989,35.14
Brazil,BRA,1990,35.79
Brazil,BRA,1992,35.77
Brazil,BRA,1993,34.84
Brazil,BRA,1995,25.88
Brazil,BRA,1996,26.57
Brazil,BRA,1997,26.81
Brazil,BRA,1998,24.48
Brazil,BRA,1999,25.61
Brazil,BRA,2001,25.82
Brazil,BRA,2002,24.47
