Entity,Code,Year,Poverty headcount ratio at national poverty lines (% of population) (% of population)
Afghanistan,AFG,2007,36.3
Afghanistan,AFG,2011,35.8
Albania,ALB,2002,25.4
Albania,ALB,2005,18.5
Albania,ALB,2008,12.4
Albania,ALB,2012,14.3
Algeria,DZA,2011,5.5
Angola,AGO,2008,36.6
Argentina,ARG,2016,30.3
Argentina,ARG,2017,25.7
Armenia,ARM,2004,53.5
Armenia,ARM,2005,40.1
Armenia,ARM,2006,30.2
Armenia,ARM,2007,26.4
Armenia,ARM,2008,27.6
Armenia,ARM,2009,34.1
Armenia,ARM,2010,35.8
Armenia,ARM,2011,35
Armenia,ARM,2012,32.4
Armenia,ARM,2013,32
Armenia,ARM,2014,30
Armenia,ARM,2015,29.8
Armenia,ARM,2016,29.4
Azerbaijan,AZE,2001,49.6
Azerbaijan,AZE,2007,15.8
Azerbaijan,AZE,2008,13.2
Azerbaijan,AZE,2009,10.9
Azerbaijan,AZE,2010,9.1
Azerbaijan,AZE,2011,7.6
Azerbaijan,AZE,2012,6
Bangladesh,BGD,2000,48.9
Bangladesh,BGD,2005,40
Bangladesh,BGD,2010,31.5
Bangladesh,BGD,2016,24.3
Belarus,BLR,2000,41.9
Belarus,BLR,2001,28.9
Belarus,BLR,2002,30.5
Belarus,BLR,2003,27.1
Belarus,BLR,2004,17.8
Belarus,BLR,2005,12.7
Belarus,BLR,2006,11.1
Belarus,BLR,2007,7.7
Belarus,BLR,2008,6.1
Belarus,BLR,2009,5.4
Belarus,BLR,2010,5.2
Belarus,BLR,2011,7.3
Belarus,BLR,2012,6.3
Belarus,BLR,2013,5.5
Belarus,BLR,2014,4.8
Belarus,BLR,2015,5.1
Belarus,BLR,2016,5.7
Benin,BEN,2006,37.5
Benin,BEN,2007,33
Benin,BEN,2010,35.2
Benin,BEN,2011,36.2
Benin,BEN,2015,40.1
Bhutan,BTN,2007,23.2
Bhutan,BTN,2012,12
Bhutan,BTN,2017,8.2
Bolivia,BOL,2000,66.4
Bolivia,BOL,2001,63.1
Bolivia,BOL,2002,63.3
Bolivia,BOL,2004,63.1
Bolivia,BOL,2005,59.6
Bolivia,BOL,2006,59.9
Bolivia,BOL,2007,60.1
