Entity,Code,Year,Political competition (%),Political participation (%)
East Asia,,1820,0,0
East Asia,,1821,0,0
East Asia,,1822,0,0
East Asia,,1823,0,0
East Asia,,1824,0,0
East Asia,,1825,0,0
East Asia,,1826,0,0
East Asia,,1827,0,0
East Asia,,1828,0,0
East Asia,,1829,0,0
East Asia,,1830,0,0
East Asia,,1831,0,0
East Asia,,1832,0,0
East Asia,,1833,0,0
East Asia,,1834,0,0
East Asia,,1835,0,0
East Asia,,1836,0,0
East Asia,,1837,0,0
East Asia,,1838,0,0
East Asia,,1839,0,0
East Asia,,1840,0,0
East Asia,,1841,0,0
East Asia,,1842,0,0
East Asia,,1843,0,0
East Asia,,1844,0,0
East Asia,,1845,0,0
East Asia,,1846,0,0
East Asia,,1847,0,0
East Asia,,1848,0,0
East Asia,,1849,0,0
East Asia,,1850,0,0
East Asia,,1851,0,0
East Asia,,1852,0,0
East Asia,,1853,0,0
East Asia,,1854,0,0
East Asia,,1855,0,0
East Asia,,1856,0,0
East Asia,,1857,0,0
East Asia,,1858,0,0
East Asia,,1859,0,0
East Asia,,1860,0,0
East Asia,,1861,0,0
East Asia,,1862,0,0
East Asia,,1863,0,0
East Asia,,1864,0,0
East Asia,,1865,0,0
East Asia,,1866,0,0
East Asia,,1867,0,0
East Asia,,1868,0,0
East Asia,,1869,0,0
East Asia,,1870,0,0
East Asia,,1871,0,0
East Asia,,1872,0,0
East Asia,,1873,0,0
East Asia,,1874,0,0
East Asia,,1875,0,0
East Asia,,1876,0,0
East Asia,,1877,0,0
East Asia,,1878,0,0
East Asia,,1879,0,0
East Asia,,1880,0,0
East Asia,,1881,0,0
East Asia,,1882,0,0
East Asia,,1883,0,0
East Asia,,1884,0,0
East Asia,,1885,0,0
East Asia,,1886,0,0
East Asia,,1887,0,0
East Asia,,1888,0,0
East Asia,,1889,0,0
East Asia,,1890,2.7,0.050000001
East Asia,,1891,2.7,0.050000001
East Asia,,1892,2.0999999,0.050000001
East Asia,,1893,2.0999999,0.050000001
East Asia,,1894,2.0999999,0.050000001
East Asia,,1895,2.0999999,0.050000001
East Asia,,1896,2.0999999,0.050000001
East Asia,,1897,2.0999999,0.050000001
East Asia,,1898,1.6,0.039999999
East Asia,,1899,1.7,0.039999999
East Asia,,1900,1.7,0.039999999
East Asia,,1901,1.7,0.050000001
East Asia,,1902,2.5,0.090000004
East Asia,,1903,2.4000001,0.079999998
East Asia,,1904,2.5,0.07
East Asia,,1905,2.5,0.07
East Asia,,1906,2.5,0.07
East Asia,,1907,2.5,0.07
East Asia,,1908,2.4000001,0.14
East Asia,,1909,2.4000001,0.14
East Asia,,1910,2.4000001,0.14
East Asia,,1911,2.4000001,0.14
East Asia,,1912,24.1,0.12
East Asia,,1913,43.599998,0.12
East Asia,,1914,2.4000001,0.12
East Asia,,1915,3.0999999,0.13
East Asia,,1916,3.0999999,0.13
East Asia,,1917,2.9000001,0.11
East Asia,,1918,2.9000001,0.11
East Asia,,1919,2.9000001,0.11
East Asia,,1920,2,0.25
East Asia,,1921,2,0.25
East Asia,,1922,2,0.25
East Asia,,1923,2.0999999,0.25
East Asia,,1924,3.5999999,0.28
East Asia,,1925,3.5999999,0.28
East Asia,,1926,3.5999999,0.28
East Asia,,1927,3.7,0.28999999
East Asia,,1928,2.9000001,0.89999998
East Asia,,1929,3,0.91000003
East Asia,,1930,2.3,0.93000001
East Asia,,1931,2.3,0.93000001
East Asia,,1932,2.9000001,0.83999997
East Asia,,1933,2.9000001,0.83999997
East Asia,,1934,3,0.85000002
East Asia,,1935,3,0.85000002
East Asia,,1936,3.5,0.93000001
East Asia,,1937,3.9000001,0.89999998
East Asia,,1938,3.9000001,0.91000003
East Asia,,1939,3.9000001,0.91000003
East Asia,,1940,3.9000001,0.92000002
East Asia,,1941,4,0.92000002
East Asia,,1942,1.1,0.98000002
East Asia,,1943,1.1,0.98000002
East Asia,,1944,1.1,0.99000001
East Asia,,1945,8.6000004,4.2199998
East Asia,,1946,8.6999998,4.25
East Asia,,1947,16.200001,4.6599998
East Asia,,1948,17.4,5.23
East Asia,,1949,8.3000002,5.27
East Asia,,1950,7.9000001,5.8499999
East Asia,,1951,9,5.71
East Asia,,1952,9.3000002,6.2199998
East Asia,,1953,9.5,6.4200001
East Asia,,1954,8.8000002,6.3600001
East Asia,,1955,8.8000002,6.3499999
East Asia,,1956,6.5999999,6.75
East Asia,,1957,6.5999999,6.73
East Asia,,1958,6.5999999,6.5900002
East Asia,,1959,6.5999999,6.5799999
East Asia,,1960,6,6.52
East Asia,,1961,5.5999999,5.2199998
East Asia,,1962,5.5,5.1599998
East Asia,,1963,7.3000002,6.46
East Asia,,1964,7.3000002,6.4099998
East Asia,,1965,7.8000002,6.73
East Asia,,1966,7.6999998,6.6799998
East Asia,,1967,7.5999999,6.5500002
East Asia,,1968,7.5999999,6.4899998
East Asia,,1969,7.5,6.4400001
East Asia,,1970,7.5,6.71
East Asia,,1971,7.4000001,6.6399999
East Asia,,1972,5.6999998,5.3600001
East Asia,,1973,5.6999998,5.3200002
East Asia,,1974,6.1999998,5.4200001
East Asia,,1975,6.1999998,5.3899999
East Asia,,1976,6.0999999,5.3600001
East Asia,,1977,5.8000002,4.9499998
East Asia,,1978,5.4000001,5.3299999
East Asia,,1979,5.4000001,5.29
East Asia,,1980,5.9000001,5.5900002
East Asia,,1981,6.3000002,5.2600002
East Asia,,1982,6.1999998,5.2199998
East Asia,,1983,6.1999998,5.1799998
East Asia,,1984,5.8000002,5.3499999
East Asia,,1985,5.6999998,5.3600001
East Asia,,1986,5.6999998,5.3200002
East Asia,,1987,7,6.5900002
East Asia,,1988,7.3000002,6.8499999
East Asia,,1989,7.1999998,6.8000002
East Asia,,1990,7.1999998,6.7600002
East Asia,,1991,8.1000004,6.4499998
East Asia,,1992,7.9000001,6.4099998
East Asia,,1993,7.9000001,6.3699999
East Asia,,1994,7.5999999,5.77
East Asia,,1995,7.5999999,5.7399998
East Asia,,1996,7.5999999,5.6599998
East Asia,,1997,7.5999999,5.6500001
East Asia,,1998,6.6999998,5.9000001
East Asia,,1999,2.0999999,1.6799999
East Asia,,2000,2,1.61
Eastern Europe,,1820,0,0
Eastern Europe,,1821,0,0
Eastern Europe,,1822,0,0
Eastern Europe,,1823,0,0
Eastern Europe,,1824,0,0
Eastern Europe,,1825,0,0
