Entity,Code,Year,"Number of homicide victims among children (0-19) per 100,000 population (per 100,000)"
Afghanistan,AFG,2015,8
Albania,ALB,2015,2
Algeria,DZA,2015,2
Antigua and Barbuda,ATG,2015,2.9
Argentina,ARG,2015,3
Armenia,ARM,2015,1
Australia,AUS,2015,1
Azerbaijan,AZE,2015,3
Bahamas,BHS,2015,5
Bangladesh,BGD,2015,1
Barbados,BRB,2015,3
Belarus,BLR,2015,1
Belgium,BEL,2015,1
Belize,BLZ,2015,6
Benin,BEN,2015,5
Bhutan,BTN,2015,1
Bolivia,BOL,2015,7
Botswana,BWA,2015,7
Brazil,BRA,2015,17
Bulgaria,BGR,2015,1
Burkina Faso,BFA,2015,5
Burundi,BDI,2015,5
Cambodia,KHM,2015,4
Cameroon,CMR,2015,5
Canada,CAN,2015,2
Cape Verde,CPV,2015,1
Central African Republic,CAF,2015,5
Chad,TCD,2015,4
Chile,CHL,2015,2
China,CHN,2015,1
Colombia,COL,2015,13
Comoros,COM,2015,5
Congo,COG,2015,5
Costa Rica,CRI,2015,5
Cote d'Ivoire,CIV,2015,9
Cuba,CUB,2015,2
Democratic Republic of Congo,COD,2015,14
Dominican Republic,DOM,2015,4
Ecuador,ECU,2015,6
Egypt,EGY,2015,1
El Salvador,SLV,2015,27
Estonia,EST,2015,1
Ethiopia,ETH,2015,6
Fiji,FJI,2015,2
Finland,FIN,2015,1
Gambia,GMB,2015,6
Georgia,GEO,2015,1
Ghana,GHA,2015,5
Guatemala,GTM,2015,22
Guinea,GIN,2015,5
Guinea-Bissau,GNB,2015,6
Guyana,GUY,2015,6
Honduras,HND,2015,13
Hungary,HUN,2015,1
India,IND,2015,2
Indonesia,IDN,2015,1
Iran,IRN,2015,2
Iraq,IRQ,2015,4
Israel,ISR,2015,1
Jamaica,JAM,2015,13
Jordan,JOR,2015,3
Kazakhstan,KAZ,2015,1
Kenya,KEN,2015,3
Kiribati,KIR,2015,3.1
Korea,,2015,1
Laos,LAO,2015,3
Latvia,LVA,2015,1
Lebanon,LBN,2015,1
Lesotho,LSO,2015,18
Liberia,LBR,2015,4
Libya,LBY,2015,1
Lithuania,LTU,2015,1
Madagascar,MDG,2015,8
Malawi,MWI,2015,1
Malaysia,MYS,2015,1
Maldives,MDV,2015,1
Mali,MLI,2015,5
Mauritania,MRT,2015,3
Mauritius,MUS,2015,1
Mexico,MEX,2015,7
Moldova,MDA,2015,1
Mongolia,MNG,2015,2
Montenegro,MNE,2015,1
Morocco,MAR,2015,1
Mozambique,MOZ,2015,7
Myanmar,MMR,2015,7
Namibia,NAM,2015,6
Nepal,NPL,2015,1
New Zealand,NZL,2015,1
Nicaragua,NIC,2015,4
Niger,NER,2015,3
Nigeria,NGA,2015,14
Pakistan,PAK,2015,4
Palestine,PSE,2015,4.5
Panama,PAN,2015,15
Papua New Guinea,PNG,2015,3
Paraguay,PRY,2015,7
Peru,PER,2015,2
Philippines,PHL,2015,3
Poland,POL,2015,1
Romania,ROU,2015,1
Russia,RUS,2015,2
Rwanda,RWA,2015,13
Saint Lucia,LCA,2015,0.4
Samoa,WSM,2015,4.1
Saudi Arabia,SAU,2015,1
Senegal,SEN,2015,1
Serbia,SRB,2015,1
Seychelles,SYC,2015,11.2
Sierra Leone,SLE,2015,9
Solomon Islands,SLB,2015,3
South Africa,ZAF,2015,8
Sri Lanka,LKA,2015,1
Sudan,SDN,2015,6
Swaziland,SWZ,2015,16
Syria,SYR,2015,1
Tajikistan,TJK,2015,1
Tanzania,TZA,2015,6
Thailand,THA,2015,2
Timor,TLS,2015,2
Togo,TGO,2015,7
Tonga,TON,2015,1.5
Trinidad and Tobago,TTO,2015,12
Tunisia,TUN,2015,1
Turkey,TUR,2015,2
Turkmenistan,TKM,2015,4
Uganda,UGA,2015,10
Ukraine,UKR,2015,1
United Arab Emirates,ARE,2015,2
United States,USA,2015,4
Uruguay,URY,2015,2
Uzbekistan,UZB,2015,1
Vanuatu,VUT,2015,3.4
Venezuela,VEN,2015,20
Vietnam,VNM,2015,1
Yemen,YEM,2015,2
Zambia,ZMB,2015,6
Zimbabwe,ZWE,2015,5
