Entity,Code,Year,"Average daily hours of work, by occupation, men (Costa (2000)) (hours)"
Clerical,,1890,10.85
Clerical,,1973,8.0900002
Clerical,,1991,8.2299995
Craft,,1890,9.9499998
Craft,,1973,8.1800003
Craft,,1991,8.4799995
Laborer,,1890,9.8299999
Laborer,,1973,8.4099998
Laborer,,1991,8.7399998
Managerial,,1890,11.34
Managerial,,1973,8.8100004
Managerial,,1991,9.1199999
Operative,,1890,10.2
Operative,,1973,8.1199999
Operative,,1991,8.3599997
Professional,,1890,8.6599998
Professional,,1973,8.3900003
Professional,,1991,8.6599998
Sales,,1890,12.17
Sales,,1973,8.6700001
Sales,,1991,9.0500002
Service,,1890,11.52
Service,,1973,8.3900003
Service,,1991,8.0799999
