Entity,Code,Year,Pesticides Use - Insecticides - 1309 - Agricultural Use - 5157 - tonnes (tonnes)
Albania,ALB,1993,70
Albania,ALB,1994,117
Albania,ALB,1995,145
Albania,ALB,2009,213.88
Albania,ALB,2010,375.8
Albania,ALB,2011,317.07
Albania,ALB,2012,157.57
Albania,ALB,2013,214.13
Albania,ALB,2014,34.48
Albania,ALB,2015,184.59
Albania,ALB,2016,226.3
Albania,ALB,2017,237.59
Algeria,DZA,1990,1187.92
Algeria,DZA,1991,1993.92
Algeria,DZA,1992,708.35
Algeria,DZA,1993,607.6
Algeria,DZA,1994,695.33
Algeria,DZA,1995,1399.34
Algeria,DZA,1996,496.62
Algeria,DZA,1997,553.04
Algeria,DZA,1998,87.73
Algeria,DZA,1999,325.19
Algeria,DZA,2004,1380.5
Algeria,DZA,2005,308.93
Algeria,DZA,2006,236.4
Algeria,DZA,2007,706.95
Algeria,DZA,2008,391.41
Algeria,DZA,2009,497.12
Algeria,DZA,2010,203.36
Algeria,DZA,2011,459.73
Algeria,DZA,2012,392.77
Algeria,DZA,2013,287.37
Algeria,DZA,2014,381.3
Algeria,DZA,2015,323.43
Algeria,DZA,2016,251.44
Algeria,DZA,2017,366.99
Angola,AGO,1990,56
Angola,AGO,1991,74
Angola,AGO,1992,13
Angola,AGO,1993,153
Angola,AGO,1994,22
Angola,AGO,1995,205
Angola,AGO,1996,37
Antigua and Barbuda,ATG,2010,3.28
Antigua and Barbuda,ATG,2011,18.92
Antigua and Barbuda,ATG,2012,22.51
Antigua and Barbuda,ATG,2013,7.43
Antigua and Barbuda,ATG,2015,8.82
Argentina,ARG,1993,3503
Argentina,ARG,1994,4883
Argentina,ARG,1995,6188
Argentina,ARG,1996,9456
Argentina,ARG,1997,12535
Argentina,ARG,1998,7964
Argentina,ARG,2006,7376.47
Argentina,ARG,2007,9340.61
Argentina,ARG,2008,7380.82
Argentina,ARG,2009,6260.37
Argentina,ARG,2010,10469.75
Argentina,ARG,2011,9175.19
Argentina,ARG,2014,7919.3
Argentina,ARG,2017,3736.03
Armenia,ARM,1993,4
Armenia,ARM,1994,11
Armenia,ARM,1995,13
Armenia,ARM,1996,20
Armenia,ARM,2003,20.89
Armenia,ARM,2004,30.68
Armenia,ARM,2005,41.27
Armenia,ARM,2006,43.09
Armenia,ARM,2007,63.8
Armenia,ARM,2008,73.02
Armenia,ARM,2009,46.67
Armenia,ARM,2010,51.95
Australia,AUS,1990,3999
Australia,AUS,1991,3999
Australia,AUS,1992,4977
Australia,AUS,1993,5350
Australia,AUS,1994,4713
Australia,AUS,1995,5730
Australia,AUS,1996,6214
Australia,AUS,1997,7146
Australia,AUS,1998,8638
Australia,AUS,1999,8700
Australia,AUS,2000,7493
Australia,AUS,2001,7322
Australia,AUS,2002,5966
Australia,AUS,2003,7257
Australia,AUS,2004,8120
Australia,AUS,2005,7680
Australia,AUS,2006,8036
Australia,AUS,2007,7262.97
Australia,AUS,2008,9610.92
Australia,AUS,2009,8520.86
Australia,AUS,2010,9439.46
Australia,AUS,2011,10662.47
Australia,AUS,2012,10898.6
Australia,AUS,2013,10112.74
Australia,AUS,2014,11160.38
Australia,AUS,2015,11398.61
Australia,AUS,2016,14195.54
Austria,AUT,1990,285
Austria,AUT,1991,157
Austria,AUT,1992,143
