Entity,Code,Year,Solar (%)
Africa,,1965,0
Africa,,1966,0
Africa,,1967,0
Africa,,1968,0
Africa,,1969,0
Africa,,1970,0
Africa,,1971,0
Africa,,1972,0
Africa,,1973,0
Africa,,1974,0
Africa,,1975,0
Africa,,1976,0
Africa,,1977,0
Africa,,1978,0
Africa,,1979,0
Africa,,1980,0
Africa,,1981,0
Africa,,1982,0
Africa,,1983,0
Africa,,1984,0
Africa,,1985,0
Africa,,1986,0
Africa,,1987,0
Africa,,1988,0
Africa,,1989,0
Africa,,1990,0
Africa,,1991,0
Africa,,1992,0
Africa,,1993,0
Africa,,1994,0
Africa,,1995,0
Africa,,1996,0
Africa,,1997,0
Africa,,1998,0
Africa,,1999,0
Africa,,2000,0.0015227766716881788
Africa,,2001,0.0019657835025597356
Africa,,2002,0.002423897844147001
Africa,,2003,0.0025453660777478818
Africa,,2004,0.0027383430706486044
Africa,,2005,0.003072303845387575
Africa,,2006,0.0035429728458286616
Africa,,2007,0.004192123326960536
Africa,,2008,0.005258157368650915
Africa,,2009,0.006561775782842544
Africa,,2010,0.013196953970218774
Africa,,2011,0.027043546405687416
Africa,,2012,0.03136650523129951
Africa,,2013,0.04552224618214893
Africa,,2014,0.09778707091826196
Africa,,2015,0.1877333068416809
Africa,,2016,0.252893356174037
Africa,,2017,0.33343443678769386
Africa,,2018,0.44268688594879546
Algeria,DZA,1965,0
Algeria,DZA,1966,0
Algeria,DZA,1967,0
Algeria,DZA,1968,0
Algeria,DZA,1969,0
Algeria,DZA,1970,0
Algeria,DZA,1971,0
Algeria,DZA,1972,0
Algeria,DZA,1973,0
Algeria,DZA,1974,0
Algeria,DZA,1975,0
Algeria,DZA,1976,0
Algeria,DZA,1977,0
Algeria,DZA,1978,0
Algeria,DZA,1979,0
Algeria,DZA,1980,0
Algeria,DZA,1981,0
Algeria,DZA,1982,0
Algeria,DZA,1983,0
Algeria,DZA,1984,0
Algeria,DZA,1985,0
Algeria,DZA,1986,0
Algeria,DZA,1987,0
Algeria,DZA,1988,0
Algeria,DZA,1989,0
Algeria,DZA,1990,0
Algeria,DZA,1991,0
Algeria,DZA,1992,0
Algeria,DZA,1993,0
Algeria,DZA,1994,0
Algeria,DZA,1995,0
Algeria,DZA,1996,0
Algeria,DZA,1997,0
Algeria,DZA,1998,0
Algeria,DZA,1999,0
Algeria,DZA,2000,0
Algeria,DZA,2001,0
Algeria,DZA,2002,0
Algeria,DZA,2003,0
Algeria,DZA,2004,0
Algeria,DZA,2005,0
Algeria,DZA,2006,0
Algeria,DZA,2007,0
Algeria,DZA,2008,0
Algeria,DZA,2009,0
Algeria,DZA,2010,0.0054748652150490695
Algeria,DZA,2011,0.010266370064095542
Algeria,DZA,2012,0.013853452689126886
Algeria,DZA,2013,0.014016403996180043
Algeria,DZA,2014,0.02696319481458639
Algeria,DZA,2015,0.024717484226853107
Algeria,DZA,2016,0.1045195328314613
Algeria,DZA,2017,0.21465600801116597
Algeria,DZA,2018,0.24058218237711917
Argentina,ARG,1965,0
Argentina,ARG,1966,0
Argentina,ARG,1967,0
Argentina,ARG,1968,0
Argentina,ARG,1969,0
Argentina,ARG,1970,0
Argentina,ARG,1971,0
Argentina,ARG,1972,0
Argentina,ARG,1973,0
Argentina,ARG,1974,0
Argentina,ARG,1975,0
Argentina,ARG,1976,0
Argentina,ARG,1977,0
Argentina,ARG,1978,0
Argentina,ARG,1979,0
Argentina,ARG,1980,0
Argentina,ARG,1981,0
Argentina,ARG,1982,0
Argentina,ARG,1983,0
Argentina,ARG,1984,0
Argentina,ARG,1985,0
Argentina,ARG,1986,0
Argentina,ARG,1987,0
Argentina,ARG,1988,0
Argentina,ARG,1989,0
Argentina,ARG,1990,0
Argentina,ARG,1991,0
Argentina,ARG,1992,0
Argentina,ARG,1993,0
Argentina,ARG,1994,0
Argentina,ARG,1995,0
Argentina,ARG,1996,0
Argentina,ARG,1997,0
Argentina,ARG,1998,0.000006698049200703427
Argentina,ARG,1999,0.000010448784124054567
Argentina,ARG,2000,0.000013935896677545267
Argentina,ARG,2001,0.000016834266708443584
Argentina,ARG,2002,0.000019240937371513593
Argentina,ARG,2003,0.000024825345109611038
Argentina,ARG,2004,0.000025285386904013242
Argentina,ARG,2005,0.000027434201301891075
Argentina,ARG,2006,0.00002908156989464936
Argentina,ARG,2007,0.000033541857617269244
Argentina,ARG,2008,0.00004353166893366293
Argentina,ARG,2009,0.00002347008265139432
Argentina,ARG,2010,0.00002513521992318631
Argentina,ARG,2011,0.00046390529930039753
Argentina,ARG,2012,0.0022825761748102016
Argentina,ARG,2013,0.004037091956112706
Argentina,ARG,2014,0.004288409785919744
Argentina,ARG,2015,0.0038588147021349213
Argentina,ARG,2016,0.0037589918431327005
Argentina,ARG,2017,0.004314285139656176
Argentina,ARG,2018,0.028766710576612557
Australia,AUS,1965,0
Australia,AUS,1966,0
Australia,AUS,1967,0
Australia,AUS,1968,0
Australia,AUS,1969,0
Australia,AUS,1970,0
Australia,AUS,1971,0
Australia,AUS,1972,0
Australia,AUS,1973,0
Australia,AUS,1974,0
Australia,AUS,1975,0
Australia,AUS,1976,0
Australia,AUS,1977,0
Australia,AUS,1978,0
Australia,AUS,1979,0
Australia,AUS,1980,0
Australia,AUS,1981,0
Australia,AUS,1982,0
Australia,AUS,1983,0
Australia,AUS,1984,0
Australia,AUS,1985,0
Australia,AUS,1986,0
Australia,AUS,1987,0
Australia,AUS,1988,0
Australia,AUS,1989,0
Australia,AUS,1990,0
Australia,AUS,1991,0.0013685048372629202
Australia,AUS,1992,0.003007863286080546
Australia,AUS,1993,0.0035287567331576328
Australia,AUS,1994,0.004043699560803964
Australia,AUS,1995,0.004787675253829425
Australia,AUS,1996,0.005652482843234733
Australia,AUS,1997,0.006600469983377935
Australia,AUS,1998,0.007491324740393845
Australia,AUS,1999,0.008185213686240717
Australia,AUS,2000,0.009384575351425005
Australia,AUS,2001,0.010767891471918228
Australia,AUS,2002,0.011421289951553355
Australia,AUS,2003,0.012194922021318767
Australia,AUS,2004,0.013620770919348954
Australia,AUS,2005,0.015734517730162535
Australia,AUS,2006,0.017220225242248192
Australia,AUS,2007,0.019817682151509555
Australia,AUS,2008,0.023812554437242003
Australia,AUS,2009,0.04999166817367149
Australia,AUS,2010,0.1677044299575267
Australia,AUS,2011,0.33928351641132287
Australia,AUS,2012,0.40542649838556744
Australia,AUS,2013,0.6434338762475675
Australia,AUS,2014,0.8151813811044615
Australia,AUS,2015,0.9682967425315057
Australia,AUS,2016,1.189947955358363
Australia,AUS,2017,1.4421445982184609
Australia,AUS,2018,1.8940694185491866
Austria,AUT,1965,0
Austria,AUT,1966,0
Austria,AUT,1967,0
Austria,AUT,1968,0
Austria,AUT,1969,0
Austria,AUT,1970,0
Austria,AUT,1971,0
Austria,AUT,1972,0
Austria,AUT,1973,0
Austria,AUT,1974,0
Austria,AUT,1975,0
Austria,AUT,1976,0
Austria,AUT,1977,0
Austria,AUT,1978,0
Austria,AUT,1979,0
Austria,AUT,1980,0
Austria,AUT,1981,0
Austria,AUT,1982,0
Austria,AUT,1983,0
Austria,AUT,1984,0
Austria,AUT,1985,0
Austria,AUT,1986,0
Austria,AUT,1987,0
Austria,AUT,1988,0
Austria,AUT,1989,0
Austria,AUT,1990,0
Austria,AUT,1991,0
Austria,AUT,1992,0
Austria,AUT,1993,0.0007740065531309717
Austria,AUT,1994,0.0007781330531225802
