Entity,Code,Year,Saved any money in the past year (% age 15+) [w2] (Percent)
Afghanistan,AFG,2014,25.7693
Albania,ALB,2014,38.37376
Algeria,DZA,2014,45.31382
Angola,AGO,2014,53.0579
Argentina,ARG,2014,23.13959
Armenia,ARM,2014,21.00097
Australia,AUS,2014,81.46985
Austria,AUT,2014,79.60293
Azerbaijan,AZE,2014,39.5392
Bahrain,BHR,2014,65.29253
Bangladesh,BGD,2014,23.91422
Belarus,BLR,2014,50.39283
Belgium,BEL,2014,74.68845
Belize,BLZ,2014,59.50801
Benin,BEN,2014,61.09958
Bhutan,BTN,2014,32.74764
Bolivia,BOL,2014,64.44842
Bosnia and Herzegovina,BIH,2014,25.62095
Botswana,BWA,2014,58.16856
Brazil,BRA,2014,27.97228
Bulgaria,BGR,2014,27.29718
Burkina Faso,BFA,2014,50.81677
Burundi,BDI,2014,34.89907
Cambodia,KHM,2014,67.00403
Cameroon,CMR,2014,63.96115
Canada,CAN,2014,82.20969
Chad,TCD,2014,48.57785
Chile,CHL,2014,35.9495
China,CHN,2014,72.05163
Colombia,COL,2014,43.86337
Congo,COG,2014,55.90359
Costa Rica,CRI,2014,59.36167
Cote d'Ivoire,CIV,2014,63.23096
Croatia,HRV,2014,51.84111
Cyprus,CYP,2014,41.24068
Czech Republic,CZE,2014,62.63117
Democratic Republic of Congo,COD,2014,65.20457
Denmark,DNK,2014,81.16636
Dominican Republic,DOM,2014,57.25797
East Asia & Pacific,,2014,70.95882
Ecuador,ECU,2014,32.08466
Egypt,EGY,2014,25.92863
El Salvador,SLV,2014,57.54053
Estonia,EST,2014,51.75838
Ethiopia,ETH,2014,48.10701
Euro area,,2014,67.16912
Europe & Central Asia,,2014,38.49754
Finland,FIN,2014,71.03362
France,FRA,2014,67.14523
Gabon,GAB,2014,56.01274
Georgia,GEO,2014,13.32078
Germany,DEU,2014,79.84109
Ghana,GHA,2014,55.31604
Greece,GRC,2014,23.65125
Guatemala,GTM,2014,55.74524
Guinea,GIN,2014,45.1941
Haiti,HTI,2014,44.82684
High income,,2014,67.00206
High income: OECD,,2014,70.82594
High income: nonOECD,,2014,46.85839
Honduras,HND,2014,39.68115
Hong Kong,HKG,2014,67.37724
Hungary,HUN,2014,38.20455
India,IND,2014,38.27604
Indonesia,IDN,2014,69.29871
Iran,IRN,2014,42.15523
Iraq,IRQ,2014,48.61856
Ireland,IRL,2014,69.6675
Israel,ISR,2014,62.05269
Italy,ITA,2014,56.56811
Jamaica,JAM,2014,74.27414
Japan,JPN,2014,71.94283
Jordan,JOR,2014,29.21517
Kazakhstan,KAZ,2014,30.3392
Kenya,KEN,2014,76.06487
Kosovo,OWID_KOS,2014,35.60624
Kuwait,KWT,2014,61.53247
Kyrgyzstan,KGZ,2014,36.19886
Latin America & Caribbean,,2014,40.58035
Latvia,LVA,2014,44.25377
Lebanon,LBN,2014,47.14706
Lithuania,LTU,2014,53.67212
Low & middle income,,2014,53.77776
Low income,,2014,46.53927
Lower middle income,,2014,45.57687
Luxembourg,LUX,2014,77.78635
Macedonia,MKD,2014,39.22743
Madagascar,MDG,2014,39.67015
Malawi,MWI,2014,59.71157
Malaysia,MYS,2014,81.58955
Mali,MLI,2014,44.90488
Malta,MLT,2014,71.36684
Mauritania,MRT,2014,41.20152
Mauritius,MUS,2014,54.15648
Mexico,MEX,2014,58.38208
Middle East (developing only),,2014,30.45271
Middle income,,2014,54.71263
Moldova,MDA,2014,44.10532
Mongolia,MNG,2014,47.32804
Montenegro,MNE,2014,26.8003
Myanmar,MMR,2014,46.66155
Namibia,NAM,2014,56.94307
Nepal,NPL,2014,44.6701
Netherlands,NLD,2014,74.48278
New Zealand,NZL,2014,86.93197
Nicaragua,NIC,2014,51.36016
Niger,NER,2014,61.02018
Nigeria,NGA,2014,68.97533
Norway,NOR,2014,89.78808
Pakistan,PAK,2014,31.55788
Palestine,PSE,2014,22.93526
Panama,PAN,2014,62.48655
Peru,PER,2014,39.31733
Philippines,PHL,2014,67.33958
Poland,POL,2014,46.55289
Portugal,PRT,2014,53.32669
Puerto Rico,PRI,2014,44.21938
Romania,ROU,2014,36.47877
Russia,RUS,2014,40.71484
Rwanda,RWA,2014,55.17717
Saudi Arabia,SAU,2014,45.35448
Senegal,SEN,2014,59.04617
Serbia,SRB,2014,27.71254
Sierra Leone,SLE,2014,65.40356
Singapore,SGP,2014,73.35941
Slovakia,SVK,2014,62.48512
Slovenia,SVN,2014,65.65123
Somalia,SOM,2014,37.19688
South Africa,ZAF,2014,66.36429
South Asia,,2014,36.24874
South Korea,KOR,2014,73.91866
Spain,ESP,2014,67.22563
Sri Lanka,LKA,2014,45.20603
Sub-Saharan Africa,,2014,59.56417
Sudan,SDN,2014,41.26283
Sweden,SWE,2014,84.45872
Switzerland,CHE,2014,75.97446
Taiwan,TWN,2014,71.15696
Tajikistan,TJK,2014,31.31669
Tanzania,TZA,2014,59.24294
Thailand,THA,2014,80.51999
Togo,TGO,2014,37.54855
Tunisia,TUN,2014,38.01101
Turkey,TUR,2014,41.13104
Turkmenistan,TKM,2014,57.09888
Uganda,UGA,2014,75.18203
Ukraine,UKR,2014,40.10792
United Arab Emirates,ARE,2014,66.55894
United Kingdom,GBR,2014,71.28246
United States,USA,2014,75.63957
Upper middle income,,2014,62.65007
Uruguay,URY,2014,38.51984
Uzbekistan,UZB,2014,43.47321
Venezuela,VEN,2014,47.15461
Vietnam,VNM,2014,63.29548
World,OWID_WRL,2014,56.45031
Yemen,YEM,2014,20.64031
Zambia,ZMB,2014,70.12149
Zimbabwe,ZWE,2014,51.97388
