Entity,Code,Year,Percentage of enrolment in tertiary education in private institutions (%) (%)
Afghanistan,AFG,2011,1.33123004436493
Afghanistan,AFG,2014,41.7831382751465
Albania,ALB,2004,0.763949990272522
Albania,ALB,2005,1.55397999286652
Albania,ALB,2006,2.2957398891449
Albania,ALB,2007,6.63227987289429
Albania,ALB,2008,10.4915800094604
Albania,ALB,2009,14.3269701004028
Albania,ALB,2010,19.1365699768066
Albania,ALB,2011,20.2807006835938
Albania,ALB,2012,21.5009994506836
Albania,ALB,2013,19.3765201568604
Albania,ALB,2014,17.8990802764893
Andorra,AND,2013,5.20446014404297
Andorra,AND,2014,6.22489976882935
Angola,AGO,2002,32.3651084899902
Angola,AGO,2003,33.2288703918457
Angola,AGO,2004,34.5300598144531
Angola,AGO,2005,33.2288703918457
Angola,AGO,2006,33.9281997680664
Angola,AGO,2011,44.2310104370117
Angola,AGO,2013,57.6863784790039
Antigua and Barbuda,ATG,2009,70.202507019043
Antigua and Barbuda,ATG,2010,65.6410293579102
Antigua and Barbuda,ATG,2011,70.7865219116211
Antigua and Barbuda,ATG,2012,43.1361618041992
Argentina,ARG,1998,21.0748691558838
Argentina,ARG,2001,20.0824699401855
Argentina,ARG,2002,21.1171207427979
Argentina,ARG,2003,22.1407508850098
Argentina,ARG,2004,22.9605293273926
Argentina,ARG,2006,25.2170295715332
Argentina,ARG,2007,26.018310546875
Argentina,ARG,2008,26.8929100036621
Argentina,ARG,2009,27.3381500244141
Argentina,ARG,2010,27.0774307250977
Argentina,ARG,2011,25.6923294067383
Argentina,ARG,2012,25.976390838623
Argentina,ARG,2013,26.2019004821777
Armenia,ARM,2003,19.1169891357422
Armenia,ARM,2014,12.0965595245361
Aruba,ABW,2000,13.1812400817871
Aruba,ABW,2001,12.6535596847534
Aruba,ABW,2002,13.8819103240967
Aruba,ABW,2003,12.1411504745483
Aruba,ABW,2004,13.4976501464844
Aruba,ABW,2005,12.9629602432251
Aruba,ABW,2006,13.276029586792
Aruba,ABW,2007,17.293909072876
Aruba,ABW,2008,15.1204299926758
Aruba,ABW,2009,20.4918003082275
Aruba,ABW,2010,19.184549331665
Aruba,ABW,2011,21.166130065918
