Entity,Code,Year,"Political participation (How Was Life, OECD (2014)) (%)"
Latin America and Caribbean,,1850,0.079999998
Latin America and Caribbean,,1851,0.090000004
Latin America and Caribbean,,1852,0.1
Latin America and Caribbean,,1853,0.12
Latin America and Caribbean,,1854,0.11
Latin America and Caribbean,,1855,0.11
Latin America and Caribbean,,1856,0.23999999
Latin America and Caribbean,,1857,0.74000001
Latin America and Caribbean,,1858,2.1600001
Latin America and Caribbean,,1859,1.63
Latin America and Caribbean,,1860,1.8
Latin America and Caribbean,,1861,1.6900001
Latin America and Caribbean,,1862,0.20999999
Latin America and Caribbean,,1863,0.18000001
Latin America and Caribbean,,1864,0.33000001
Latin America and Caribbean,,1865,0.31999999
Latin America and Caribbean,,1866,0.31999999
Latin America and Caribbean,,1867,0.41999999
Latin America and Caribbean,,1868,0.33000001
Latin America and Caribbean,,1869,0.18000001
Latin America and Caribbean,,1870,0.18000001
Latin America and Caribbean,,1871,0.18000001
Latin America and Caribbean,,1872,0.16
Latin America and Caribbean,,1873,0.75
Latin America and Caribbean,,1874,0.85000002
Latin America and Caribbean,,1875,1.03
Latin America and Caribbean,,1876,0.79000002
Latin America and Caribbean,,1877,0.88
Latin America and Caribbean,,1878,0.31999999
Latin America and Caribbean,,1879,0.34
Latin America and Caribbean,,1880,1.12
Latin America and Caribbean,,1881,1.26
Latin America and Caribbean,,1882,0.74000001
Latin America and Caribbean,,1883,0.77999997
Latin America and Caribbean,,1884,0.91000003
Latin America and Caribbean,,1885,0.77999997
Latin America and Caribbean,,1886,0.76999998
Latin America and Caribbean,,1887,0.80000001
Latin America and Caribbean,,1888,0.74000001
Latin America and Caribbean,,1889,0.74000001
Latin America and Caribbean,,1890,0.69
Latin America and Caribbean,,1891,0.82999998
Latin America and Caribbean,,1892,0.83999997
Latin America and Caribbean,,1893,1.38
Latin America and Caribbean,,1894,1.91
Latin America and Caribbean,,1895,1.83
Latin America and Caribbean,,1896,1.83
Latin America and Caribbean,,1897,1.8
Latin America and Caribbean,,1898,1.21
Latin America and Caribbean,,1899,1.35
Latin America and Caribbean,,1900,1.35
Latin America and Caribbean,,1901,1.86
Latin America and Caribbean,,1902,2.26
Latin America and Caribbean,,1903,2.6099999
Latin America and Caribbean,,1904,2.6500001
Latin America and Caribbean,,1905,2.6400001
Latin America and Caribbean,,1906,2.3800001
Latin America and Caribbean,,1907,2.48
Latin America and Caribbean,,1908,2.4000001
Latin America and Caribbean,,1909,2.53
Latin America and Caribbean,,1910,2.9400001
Latin America and Caribbean,,1911,2.8699999
Latin America and Caribbean,,1912,2.8800001
Latin America and Caribbean,,1913,3.02
Latin America and Caribbean,,1914,3.1700001
Latin America and Caribbean,,1915,3.53
Latin America and Caribbean,,1916,4.3600001
Latin America and Caribbean,,1917,5.2399998
Latin America and Caribbean,,1918,4.98
Latin America and Caribbean,,1919,5.0900002
Latin America and Caribbean,,1920,5.77
Latin America and Caribbean,,1921,5.5799999
Latin America and Caribbean,,1922,6.0599999
Latin America and Caribbean,,1923,6.0799999
Latin America and Caribbean,,1924,6.29
Latin America and Caribbean,,1925,7.1100001
Latin America and Caribbean,,1926,6.5100002
Latin America and Caribbean,,1927,6.4699998
Latin America and Caribbean,,1928,6.8000002
Latin America and Caribbean,,1929,7.1599998
Latin America and Caribbean,,1930,4.9299998
Latin America and Caribbean,,1931,6.4299998
Latin America and Caribbean,,1932,6.5700002
Latin America and Caribbean,,1933,6.3200002
Latin America and Caribbean,,1934,6.6500001
Latin America and Caribbean,,1935,7.29
Latin America and Caribbean,,1936,7.1300001
Latin America and Caribbean,,1937,8.3000002
Latin America and Caribbean,,1938,8.1099997
Latin America and Caribbean,,1939,8.46
Latin America and Caribbean,,1940,8.6300001
Latin America and Caribbean,,1941,8.0299997
Latin America and Caribbean,,1942,9.1800003
Latin America and Caribbean,,1943,7.8499999
Latin America and Caribbean,,1944,7.98
Latin America and Caribbean,,1945,12.72
Latin America and Caribbean,,1946,13.79
Latin America and Caribbean,,1947,14.01
Latin America and Caribbean,,1948,13.99
Latin America and Caribbean,,1949,12.34
Latin America and Caribbean,,1950,14.17
Latin America and Caribbean,,1951,17.42
Latin America and Caribbean,,1952,18.370001
Latin America and Caribbean,,1953,17.629999
Latin America and Caribbean,,1954,17.1
Latin America and Caribbean,,1955,12.93
Latin America and Caribbean,,1956,12.86
Latin America and Caribbean,,1957,12.99
Latin America and Caribbean,,1958,21.07
Latin America and Caribbean,,1959,21.030001
Latin America and Caribbean,,1960,21.610001
Latin America and Caribbean,,1961,21.629999
Latin America and Caribbean,,1962,16.82
Latin America and Caribbean,,1963,20.030001
Latin America and Caribbean,,1964,14.58
Latin America and Caribbean,,1965,14.93
Latin America and Caribbean,,1966,11.8
Latin America and Caribbean,,1967,11.73
Latin America and Caribbean,,1968,10.7
Latin America and Caribbean,,1969,10.77
Latin America and Caribbean,,1970,11.64
Latin America and Caribbean,,1971,12
Latin America and Caribbean,,1972,11.65
Latin America and Caribbean,,1973,14.24
Latin America and Caribbean,,1974,15.01
Latin America and Caribbean,,1975,15.14
Latin America and Caribbean,,1976,11.8
Latin America and Caribbean,,1977,11.97
Latin America and Caribbean,,1978,11.89
Latin America and Caribbean,,1979,11.63
Latin America and Caribbean,,1980,12.95
Latin America and Caribbean,,1981,13.71
Latin America and Caribbean,,1982,14.11
Latin America and Caribbean,,1983,17.709999
Latin America and Caribbean,,1984,19.219999
Latin America and Caribbean,,1985,20.52
Latin America and Caribbean,,1986,19.9
Latin America and Caribbean,,1987,19.940001
Latin America and Caribbean,,1988,25.75
Latin America and Caribbean,,1989,35.669998
Latin America and Caribbean,,1990,33.560001
Latin America and Caribbean,,1991,33.529999
Latin America and Caribbean,,1992,33.52
Latin America and Caribbean,,1993,32.959999
Latin America and Caribbean,,1994,37.889999
Latin America and Caribbean,,1995,37.700001
Latin America and Caribbean,,1996,38.23
Latin America and Caribbean,,1997,38.18
Latin America and Caribbean,,1998,37.75
Latin America and Caribbean,,1999,37.599998
Latin America and Caribbean,,2000,36.91
Middle East and North Africa,,1820,0
Middle East and North Africa,,1821,0
Middle East and North Africa,,1822,0
Middle East and North Africa,,1823,0
Middle East and North Africa,,1824,0
Middle East and North Africa,,1825,0
Middle East and North Africa,,1826,0
Middle East and North Africa,,1827,0
Middle East and North Africa,,1828,0
Middle East and North Africa,,1829,0
Middle East and North Africa,,1830,0
Middle East and North Africa,,1831,0
Middle East and North Africa,,1832,0
Middle East and North Africa,,1833,0
Middle East and North Africa,,1834,0
Middle East and North Africa,,1835,0
Middle East and North Africa,,1836,0
Middle East and North Africa,,1837,0
Middle East and North Africa,,1838,0
Middle East and North Africa,,1839,0
Middle East and North Africa,,1840,0
Middle East and North Africa,,1841,0
Middle East and North Africa,,1842,0
Middle East and North Africa,,1843,0
Middle East and North Africa,,1844,0
Middle East and North Africa,,1845,0
Middle East and North Africa,,1846,0
Middle East and North Africa,,1847,0
Middle East and North Africa,,1848,0
Middle East and North Africa,,1849,0
Middle East and North Africa,,1850,0
Middle East and North Africa,,1851,0
Middle East and North Africa,,1852,0
Middle East and North Africa,,1853,0
Middle East and North Africa,,1854,0
Middle East and North Africa,,1855,0
Middle East and North Africa,,1856,0
Middle East and North Africa,,1857,0
Middle East and North Africa,,1858,0
Middle East and North Africa,,1859,0
Middle East and North Africa,,1860,0
Middle East and North Africa,,1861,0
Middle East and North Africa,,1862,0
Middle East and North Africa,,1863,0
Middle East and North Africa,,1864,0
Middle East and North Africa,,1865,0
Middle East and North Africa,,1866,0
Middle East and North Africa,,1867,0
Middle East and North Africa,,1868,0
Middle East and North Africa,,1869,0
Middle East and North Africa,,1870,0
Middle East and North Africa,,1871,0
Middle East and North Africa,,1872,0
Middle East and North Africa,,1873,0
Middle East and North Africa,,1874,0
Middle East and North Africa,,1875,0
Middle East and North Africa,,1876,0
Middle East and North Africa,,1877,0
Middle East and North Africa,,1878,0
Middle East and North Africa,,1879,0
Middle East and North Africa,,1880,0
Middle East and North Africa,,1881,0
Middle East and North Africa,,1882,0
Middle East and North Africa,,1883,0
Middle East and North Africa,,1884,0
Middle East and North Africa,,1885,0
Middle East and North Africa,,1886,0
Middle East and North Africa,,1887,0
Middle East and North Africa,,1888,0
Middle East and North Africa,,1889,0
Middle East and North Africa,,1890,0
Middle East and North Africa,,1891,0
Middle East and North Africa,,1892,0
Middle East and North Africa,,1893,0
Middle East and North Africa,,1894,0
Middle East and North Africa,,1895,0
Middle East and North Africa,,1896,0
Middle East and North Africa,,1897,0
Middle East and North Africa,,1898,0
Middle East and North Africa,,1899,0
Middle East and North Africa,,1900,0
Middle East and North Africa,,1901,0
Middle East and North Africa,,1902,0
Middle East and North Africa,,1903,0
Middle East and North Africa,,1904,0
Middle East and North Africa,,1905,0
Middle East and North Africa,,1906,0
Middle East and North Africa,,1907,0
Middle East and North Africa,,1908,0
Middle East and North Africa,,1909,0
Middle East and North Africa,,1910,0
Middle East and North Africa,,1911,0
Middle East and North Africa,,1912,0
Middle East and North Africa,,1913,0
Middle East and North Africa,,1914,0.14
Middle East and North Africa,,1915,0
Middle East and North Africa,,1916,0
Middle East and North Africa,,1917,0
Middle East and North Africa,,1918,0
Middle East and North Africa,,1919,0
Middle East and North Africa,,1920,0
Middle East and North Africa,,1921,0.14
Middle East and North Africa,,1922,0.14
Middle East and North Africa,,1923,0.14
Middle East and North Africa,,1924,0.14
Middle East and North Africa,,1925,0
Middle East and North Africa,,1926,0
Middle East and North Africa,,1927,0
Middle East and North Africa,,1928,0
Middle East and North Africa,,1929,0
Middle East and North Africa,,1930,0
Middle East and North Africa,,1931,0
Middle East and North Africa,,1932,0
Middle East and North Africa,,1933,0
Middle East and North Africa,,1934,0
Middle East and North Africa,,1935,0
Middle East and North Africa,,1936,0
Middle East and North Africa,,1937,0
Middle East and North Africa,,1938,0
Middle East and North Africa,,1939,0
Middle East and North Africa,,1940,0
Middle East and North Africa,,1941,0.13
Middle East and North Africa,,1942,0.13
Middle East and North Africa,,1943,0.13
Middle East and North Africa,,1944,0.13
Middle East and North Africa,,1945,0.25999999
Middle East and North Africa,,1946,0.25999999
Middle East and North Africa,,1947,0.40000001
Middle East and North Africa,,1948,0.40000001
Middle East and North Africa,,1949,1.6
Middle East and North Africa,,1950,1.6
Middle East and North Africa,,1951,1.8
Middle East and North Africa,,1952,1.79
Middle East and North Africa,,1953,1.83
Middle East and North Africa,,1954,1.8099999
Middle East and North Africa,,1955,1.91
Middle East and North Africa,,1956,1.89
Middle East and North Africa,,1957,1.77
Middle East and North Africa,,1958,1.76
Middle East and North Africa,,1959,1.6900001
Middle East and North Africa,,1960,1.36
Middle East and North Africa,,1961,1.33
Middle East and North Africa,,1962,1.37
Middle East and North Africa,,1963,2.3199999
Middle East and North Africa,,1964,2.29
Middle East and North Africa,,1965,2.29
Middle East and North Africa,,1966,2.25
Middle East and North Africa,,1967,2.25
Middle East and North Africa,,1968,2.24
Middle East and North Africa,,1969,2.24
Middle East and North Africa,,1970,2.21
Middle East and North Africa,,1971,2.1900001
Middle East and North Africa,,1972,2.1700001
Middle East and North Africa,,1973,2.1199999
Middle East and North Africa,,1974,2.04
Middle East and North Africa,,1975,2.97
Middle East and North Africa,,1976,2.9300001
Middle East and North Africa,,1977,2.9000001
Middle East and North Africa,,1978,2.8599999
Middle East and North Africa,,1979,1.1900001
Middle East and North Africa,,1980,4.6399999
Middle East and North Africa,,1981,4.8600001
Middle East and North Africa,,1982,4.7600002
Middle East and North Africa,,1983,4.6599998
Middle East and North Africa,,1984,4.5799999
Middle East and North Africa,,1985,4.0599999
Middle East and North Africa,,1986,3.97
Middle East and North Africa,,1987,3.8900001
Middle East and North Africa,,1988,3.8499999
Middle East and North Africa,,1989,3.6300001
Middle East and North Africa,,1990,3.5599999
Middle East and North Africa,,1991,3.51
Middle East and North Africa,,1992,3.46
Middle East and North Africa,,1993,3.47
Middle East and North Africa,,1994,3.4300001
Middle East and North Africa,,1995,3.4300001
Middle East and North Africa,,1996,3.73
Middle East and North Africa,,1997,4.29
Middle East and North Africa,,1998,4.21
Middle East and North Africa,,1999,4.2399998
Middle East and North Africa,,2000,4.1700001
South and South-East Asia,,1820,0
South and South-East Asia,,1821,0
South and South-East Asia,,1822,0
South and South-East Asia,,1823,0
South and South-East Asia,,1824,0
South and South-East Asia,,1825,0
South and South-East Asia,,1826,0
South and South-East Asia,,1827,0
South and South-East Asia,,1828,0
South and South-East Asia,,1829,0
South and South-East Asia,,1830,0
South and South-East Asia,,1831,0
South and South-East Asia,,1832,0
South and South-East Asia,,1833,0
South and South-East Asia,,1834,0
South and South-East Asia,,1835,0
South and South-East Asia,,1836,0
South and South-East Asia,,1837,0
South and South-East Asia,,1838,0
South and South-East Asia,,1839,0
South and South-East Asia,,1840,0
South and South-East Asia,,1841,0
South and South-East Asia,,1842,0
South and South-East Asia,,1843,0
South and South-East Asia,,1844,0
South and South-East Asia,,1845,0
South and South-East Asia,,1846,0
South and South-East Asia,,1847,0
South and South-East Asia,,1848,0
South and South-East Asia,,1849,0
South and South-East Asia,,1850,0
South and South-East Asia,,1851,0
South and South-East Asia,,1852,0
South and South-East Asia,,1853,0
South and South-East Asia,,1854,0
South and South-East Asia,,1855,0
South and South-East Asia,,1856,0
South and South-East Asia,,1857,0
South and South-East Asia,,1858,0
South and South-East Asia,,1859,0
South and South-East Asia,,1860,0
South and South-East Asia,,1861,0
South and South-East Asia,,1862,0
South and South-East Asia,,1863,0
South and South-East Asia,,1864,0
South and South-East Asia,,1865,0
South and South-East Asia,,1866,0
South and South-East Asia,,1867,0
South and South-East Asia,,1868,0
South and South-East Asia,,1869,0
South and South-East Asia,,1870,0
South and South-East Asia,,1871,0
South and South-East Asia,,1872,0
South and South-East Asia,,1873,0
South and South-East Asia,,1874,0
South and South-East Asia,,1875,0
South and South-East Asia,,1876,0
South and South-East Asia,,1877,0
South and South-East Asia,,1878,0
South and South-East Asia,,1879,0
South and South-East Asia,,1880,0
South and South-East Asia,,1881,0
South and South-East Asia,,1882,0
South and South-East Asia,,1883,0
South and South-East Asia,,1884,0
South and South-East Asia,,1885,0
South and South-East Asia,,1886,0
South and South-East Asia,,1887,0
South and South-East Asia,,1888,0
South and South-East Asia,,1889,0
South and South-East Asia,,1890,0
South and South-East Asia,,1891,0
South and South-East Asia,,1892,0
South and South-East Asia,,1893,0
South and South-East Asia,,1894,0
South and South-East Asia,,1895,0
South and South-East Asia,,1896,0
South and South-East Asia,,1897,0
South and South-East Asia,,1898,0
South and South-East Asia,,1899,0
South and South-East Asia,,1900,0
South and South-East Asia,,1901,0
South and South-East Asia,,1902,0
South and South-East Asia,,1903,0
South and South-East Asia,,1904,0
South and South-East Asia,,1905,0
South and South-East Asia,,1906,0
South and South-East Asia,,1907,0
South and South-East Asia,,1908,0
South and South-East Asia,,1909,0
South and South-East Asia,,1910,0
South and South-East Asia,,1911,0
South and South-East Asia,,1912,0
South and South-East Asia,,1913,0
South and South-East Asia,,1914,0
South and South-East Asia,,1915,0
South and South-East Asia,,1916,0
South and South-East Asia,,1917,0
South and South-East Asia,,1918,0
South and South-East Asia,,1919,0
South and South-East Asia,,1920,0
South and South-East Asia,,1921,0
South and South-East Asia,,1922,0
South and South-East Asia,,1923,0
South and South-East Asia,,1924,0
South and South-East Asia,,1925,0
South and South-East Asia,,1926,0
South and South-East Asia,,1927,0
South and South-East Asia,,1928,0
South and South-East Asia,,1929,0
South and South-East Asia,,1930,0
South and South-East Asia,,1931,0
South and South-East Asia,,1932,0
South and South-East Asia,,1933,0.02
South and South-East Asia,,1934,0.02
South and South-East Asia,,1935,0.02
South and South-East Asia,,1936,0.02
South and South-East Asia,,1937,0.050000001
South and South-East Asia,,1938,0.050000001
South and South-East Asia,,1939,0.050000001
South and South-East Asia,,1940,0.050000001
South and South-East Asia,,1941,0.050000001
South and South-East Asia,,1942,0.050000001
South and South-East Asia,,1943,0.050000001
South and South-East Asia,,1944,0.050000001
South and South-East Asia,,1945,0.050000001
South and South-East Asia,,1946,0.50999999
South and South-East Asia,,1947,3.79
