Entity,Code,Year,Borrowed from a private informal lender (% age 15+) [w1] (Percent)
Afghanistan,AFG,2011,6.361696
Albania,ALB,2011,2.054774
Algeria,DZA,2011,1.579038
Angola,AGO,2011,4.921017
Argentina,ARG,2011,0.8828124
Armenia,ARM,2011,3.047894
Australia,AUS,2011,1.14552
Austria,AUT,2011,0.3391693
Azerbaijan,AZE,2011,2.593714
Bahrain,BHR,2011,11.20858
Bangladesh,BGD,2011,6.787088
Belarus,BLR,2011,1.817355
Belgium,BEL,2011,0.753974
Benin,BEN,2011,8.66868
Bolivia,BOL,2011,3.167007
Bosnia and Herzegovina,BIH,2011,1.06586
Botswana,BWA,2011,5.364439
Brazil,BRA,2011,0.9855535
Bulgaria,BGR,2011,1.436194
Burkina Faso,BFA,2011,3.130294
Burundi,BDI,2011,12.40377
Cambodia,KHM,2011,12.75513
Cameroon,CMR,2011,8.321576
Canada,CAN,2011,2.406008
Central African Republic,CAF,2011,5.272849
Chad,TCD,2011,11.01542
Chile,CHL,2011,0.9618824
China,CHN,2011,1.061082
Colombia,COL,2011,6.460855
Comoros,COM,2011,1.668321
Congo,COG,2011,4.58177
Costa Rica,CRI,2011,1.528928
Croatia,HRV,2011,0.9680791
Cyprus,CYP,2011,0.5965451
Czech Republic,CZE,2011,1.284006
Democratic Republic of Congo,COD,2011,6.703769
Denmark,DNK,2011,0.1532192
Djibouti,DJI,2011,4.845829
Dominican Republic,DOM,2011,13.50324
East Asia & Pacific,,2011,1.886801
Ecuador,ECU,2011,4.608962
Egypt,EGY,2011,1.695467
El Salvador,SLV,2011,2.011661
Estonia,EST,2011,1.291679
Euro area,,2011,0.9253023
Europe & Central Asia,,2011,1.429497
Finland,FIN,2011,0.9757386
France,FRA,2011,0.169667
Gabon,GAB,2011,5.441667
Georgia,GEO,2011,6.04579
Germany,DEU,2011,0.8600765
Ghana,GHA,2011,3.384355
Greece,GRC,2011,0.9593718
Guatemala,GTM,2011,3.126961
Guinea,GIN,2011,10.20636
Haiti,HTI,2011,3.473557
High income,,2011,2.056754
High income: OECD,,2011,2.148248
High income: nonOECD,,2011,1.579911
Honduras,HND,2011,2.676787
Hong Kong,HKG,2011,2.056717
Hungary,HUN,2011,1.135895
India,IND,2011,6.627483
Indonesia,IDN,2011,1.970006
Iran,IRN,2011,6.617787
Iraq,IRQ,2011,8.520622
Ireland,IRL,2011,1.854815
Israel,ISR,2011,2.02313
Italy,ITA,2011,2.281901
Jamaica,JAM,2011,2.227869
Japan,JPN,2011,0.4692358
Jordan,JOR,2011,1.441427
Kazakhstan,KAZ,2011,3.281798
Kenya,KEN,2011,6.593191
Kosovo,OWID_KOS,2011,2.164621
Kuwait,KWT,2011,2.500522
Kyrgyzstan,KGZ,2011,1.492508
Laos,LAO,2011,4.885876
Latin America & Caribbean,,2011,2.566581
Latvia,LVA,2011,2.405293
Lebanon,LBN,2011,2.169602
Lesotho,LSO,2011,5.723884
Liberia,LBR,2011,11.02181
Lithuania,LTU,2011,3.65733
Low & middle income,,2011,3.754997
Low income,,2011,7.180645
Lower middle income,,2011,5.248172
Luxembourg,LUX,2011,1.50827
Macedonia,MKD,2011,2.662822
Madagascar,MDG,2011,0.5909206
Malawi,MWI,2011,5.305513
Malaysia,MYS,2011,2.169108
Mali,MLI,2011,2.515282
Malta,MLT,2011,0.1244466
Mauritania,MRT,2011,10.89907
Mauritius,MUS,2011,0.2492843
Mexico,MEX,2011,2.905448
Middle East (developing only),,2011,4.028289
Middle income,,2011,3.412008
Moldova,MDA,2011,3.787712
Mongolia,MNG,2011,4.96218
Montenegro,MNE,2011,2.705108
Morocco,MAR,2011,1.877082
Nepal,NPL,2011,19.21926
Netherlands,NLD,2011,0.7683268
New Zealand,NZL,2011,3.28856
Nicaragua,NIC,2011,2.807285
Niger,NER,2011,8.403292
Nigeria,NGA,2011,2.434094
Oman,OMN,2011,6.563794
Pakistan,PAK,2011,2.261489
Palestine,PSE,2011,7.474808
Panama,PAN,2011,10.04324
Paraguay,PRY,2011,3.34454
Peru,PER,2011,3.319614
Philippines,PHL,2011,12.6639
Poland,POL,2011,0.9317619
Portugal,PRT,2011,0.8296819
Qatar,QAT,2011,8.86436
Romania,ROU,2011,0.1508087
Russia,RUS,2011,1.523878
Rwanda,RWA,2011,4.072051
Saudi Arabia,SAU,2011,10.43279
Senegal,SEN,2011,1.413669
Serbia,SRB,2011,1.555481
Sierra Leone,SLE,2011,5.419266
Singapore,SGP,2011,1.702686
Slovakia,SVK,2011,0.789537
Slovenia,SVN,2011,0.3970435
South Africa,ZAF,2011,6.814754
South Asia,,2011,6.339902
South Korea,KOR,2011,0.5971738
Spain,ESP,2011,0.4089626
Sri Lanka,LKA,2011,3.227746
Sub-Saharan Africa,,2011,5.477716
