Entity,Code,Year,Government Education Expenditure 1960-2010
Argentina,ARG,1960,2
Argentina,ARG,1965,3
Argentina,ARG,1970,2.5
Argentina,ARG,1980,2.7
Argentina,ARG,1990,3.4
Argentina,ARG,2000,4.5976
Argentina,ARG,2010,6.02585
Bangladesh,BGD,1965,1.3
Bangladesh,BGD,1980,1.1
Bangladesh,BGD,1990,1.5
Bangladesh,BGD,2000,2.38442
Bangladesh,BGD,2010,2.23384
Brazil,BRA,1960,2.3
Brazil,BRA,1965,1.1
Brazil,BRA,1970,2.9
Brazil,BRA,1980,3.6
Brazil,BRA,1990,4.5
Brazil,BRA,2000,4.01458
Brazil,BRA,2010,5.62147
Chile,CHL,1960,2.7
Chile,CHL,1965,2.7
Chile,CHL,1970,5.1
Chile,CHL,1980,4.6
Chile,CHL,1990,2.7
Chile,CHL,2000,3.90889
Chile,CHL,2010,4.20497
China,CHN,1970,1.3
China,CHN,1980,2.5
China,CHN,1990,2.3
China,CHN,2000,1.90672
China,CHN,2010,...
Colombia,COL,1960,1.8
Colombia,COL,1965,2.3
Colombia,COL,1970,1.9
Colombia,COL,1980,2.4
Colombia,COL,1990,2.6
Colombia,COL,2000,3.49494
Colombia,COL,2010,4.79668
Cote d'Ivoire,CIV,1960,4.2
Cote d'Ivoire,CIV,1965,5.4
Cote d'Ivoire,CIV,1970,5.3
Cote d'Ivoire,CIV,1980,7.2
Cote d'Ivoire,CIV,1990,7.7
Cote d'Ivoire,CIV,2000,3.81032
Cote d'Ivoire,CIV,2010,4.60299
Democratic Republic of Congo,COD,1980,2.6
Democratic Republic of Congo,COD,1990,0.81484
Democratic Republic of Congo,COD,2000,...
Democratic Republic of Congo,COD,2010,2.50865
Egypt,EGY,1960,4.9
Egypt,EGY,1965,4.6
Egypt,EGY,1970,4.8
Egypt,EGY,1980,5.7
Egypt,EGY,1990,3.8
Egypt,EGY,2000,4.05
Egypt,EGY,2010,3.76083
Ethiopia,ETH,1980,2.12855
Ethiopia,ETH,1990,2.37225
Ethiopia,ETH,2000,3.9189
Ethiopia,ETH,2010,4.68683
Ghana,GHA,1960,3.4
Ghana,GHA,1965,4.1
Ghana,GHA,1970,4.3
Ghana,GHA,1980,3.1
Ghana,GHA,1990,3.3
Ghana,GHA,2000,4.732405
Ghana,GHA,2010,5.54053
High-income countries,,1965,5.2
