Entity,Code,Year,10.a.1 - Proportion of tariff lines applied to imports with zero-tariff (%) - TM_TRF_ZERO - All products (%)
Bolivia,BOL,2010,75.8963
Bolivia,BOL,2015,72.59786
Bolivia,BOL,2016,66.4454
Bolivia,BOL,2017,75.30601
Bosnia and Herzegovina,BIH,2005,79.94425
Bosnia and Herzegovina,BIH,2010,76.55317
Bosnia and Herzegovina,BIH,2015,71.56961
Bosnia and Herzegovina,BIH,2016,61.9832
Bosnia and Herzegovina,BIH,2017,71.15265
Botswana,BWA,2005,56.64831
Botswana,BWA,2010,42.53968
Botswana,BWA,2015,95.47029
Botswana,BWA,2016,94.69846
Botswana,BWA,2017,95.3616
Brazil,BRA,2005,44.90797
Brazil,BRA,2010,48.30886
Brazil,BRA,2015,56.15818
Brazil,BRA,2016,57.06316
Brazil,BRA,2017,54.6954
British Indian Ocean Territory,IOT,2005,26.31579
British Indian Ocean Territory,IOT,2010,39.65517
British Indian Ocean Territory,IOT,2015,72.83951
British Indian Ocean Territory,IOT,2016,57.30994
British Indian Ocean Territory,IOT,2017,42.38095
British Virgin Islands,VGB,2005,45.56213
British Virgin Islands,VGB,2010,33.72615
British Virgin Islands,VGB,2015,38.52349
British Virgin Islands,VGB,2016,37.16535
British Virgin Islands,VGB,2017,38.29287
Brunei,BRN,2005,58.4328
Brunei,BRN,2010,76.61442
Brunei,BRN,2015,77.23449
Brunei,BRN,2016,77.59706
Brunei,BRN,2017,72.89617
Bulgaria,BGR,2005,56.54794
Bulgaria,BGR,2010,55.74358
Bulgaria,BGR,2015,62.60872
Bulgaria,BGR,2017,67.03559
Burkina Faso,BFA,2005,60.53443
Burkina Faso,BFA,2010,51.45161
Burkina Faso,BFA,2015,85.00986
Burkina Faso,BFA,2016,84.55744
Burkina Faso,BFA,2017,89.66376
Burundi,BDI,2005,43.88646
Burundi,BDI,2010,70.77244
Burundi,BDI,2015,65.57971
Burundi,BDI,2016,83.90244
Burundi,BDI,2017,84.13133
Cambodia,KHM,2005,53.68349
Cambodia,KHM,2010,54.65116
Cambodia,KHM,2015,53.42611
Cambodia,KHM,2016,48.81425
Cambodia,KHM,2017,52.34655
Cameroon,CMR,2005,73.83987
Cameroon,CMR,2010,68.77462
Cameroon,CMR,2015,67.55697
Cameroon,CMR,2016,59.42651
Cameroon,CMR,2017,69.13665
Canada,CAN,2005,38.68952
Canada,CAN,2010,41.79993
Canada,CAN,2015,45.12905
Canada,CAN,2016,45.8327
Canada,CAN,2017,46.01619
Cape Verde,CPV,2005,83.95062
Cape Verde,CPV,2010,73.12775
Cape Verde,CPV,2015,75.95628
Cape Verde,CPV,2016,61.27451
Cape Verde,CPV,2017,83.4912
Caribbean,,2005,64.84792
Caribbean,,2010,60.15321
Caribbean,,2015,65.55842
Caribbean,,2016,66.23314
Caribbean,,2017,64.87305
Caucasus and Central Asia,,2005,68.8356
Caucasus and Central Asia,,2010,70.6032
Caucasus and Central Asia,,2015,71.43129
Caucasus and Central Asia,,2016,72.27938
Caucasus and Central Asia,,2017,72.56849
Cayman Islands,CYM,2005,50.21552
Cayman Islands,CYM,2010,40.06734
Cayman Islands,CYM,2015,57.51212
Cayman Islands,CYM,2016,50.64378
Cayman Islands,CYM,2017,51.70455
Central African Republic,CAF,2005,44.98382
Central African Republic,CAF,2010,49.78992
Central African Republic,CAF,2015,72.32323
Central African Republic,CAF,2016,48.82075
Central African Republic,CAF,2017,64
Central America,,2005,55.37986
Central America,,2010,57.28503
Central America,,2015,58.40189
Central America,,2016,57.4201
Central America,,2017,59.76407
Central and Southern Asia,,2005,31.8888
Central and Southern Asia,,2010,34.86869
Central and Southern Asia,,2015,36.76839
Central and Southern Asia,,2016,36.623
Central and Southern Asia,,2017,39.12272
Chad,TCD,2005,58.49057
Chad,TCD,2010,61.92771
Chad,TCD,2015,67.14628
Chad,TCD,2016,57.63098
Chad,TCD,2017,66.8693
Chile,CHL,2005,66.15199
Chile,CHL,2010,73.54016
Chile,CHL,2015,79.01396
Chile,CHL,2016,76.51219
Chile,CHL,2017,78.61274
China,CHN,2005,28.28931
China,CHN,2010,30.3336
China,CHN,2015,34.60758
China,CHN,2016,34.90806
China,CHN,2017,36.68805
Christmas Island,CXR,2005,43.82716
Christmas Island,CXR,2010,64.36782
Christmas Island,CXR,2015,53.77778
Christmas Island,CXR,2016,53.39806
Christmas Island,CXR,2017,39.72222
Cocos Islands,CCK,2005,38.4
Cocos Islands,CCK,2010,43.85027
Cocos Islands,CCK,2015,55.27426
Cocos Islands,CCK,2016,56.81818
Cocos Islands,CCK,2017,48.54015
Colombia,COL,2005,65.58059
Colombia,COL,2010,67.00331
Colombia,COL,2015,74.15066
Colombia,COL,2016,68.11974
Colombia,COL,2017,71.92361
Comoros,COM,2005,56.91489
Comoros,COM,2010,46.99454
Comoros,COM,2015,64.75771
Comoros,COM,2016,58.54701
Comoros,COM,2017,60.1626
Congo,COG,2005,64.7427
Congo,COG,2010,56.47517
Congo,COG,2015,58.19102
Congo,COG,2016,41.93309
Congo,COG,2017,52.71599
Cook Islands,COK,2005,64.21405
Cook Islands,COK,2010,58.60806
Cook Islands,COK,2015,65.44343
Cook Islands,COK,2016,65.54622
Cook Islands,COK,2017,68.99696
Costa Rica,CRI,2005,62.52441
Costa Rica,CRI,2010,62.56943
Costa Rica,CRI,2015,66.38616
Costa Rica,CRI,2016,69.37021
Costa Rica,CRI,2017,74.01324
Cote d'Ivoire,CIV,2005,43.47645
Cote d'Ivoire,CIV,2010,42.4696
Cote d'Ivoire,CIV,2015,63.13837
Cote d'Ivoire,CIV,2016,63.71702
Cote d'Ivoire,CIV,2017,71.28413
Croatia,HRV,2005,74.11364
Croatia,HRV,2010,72.57629
Croatia,HRV,2015,75.74255
Croatia,HRV,2017,77.81865
Cuba,CUB,2005,44.86957
Cuba,CUB,2010,44.58913
Cuba,CUB,2015,50.16502
Cuba,CUB,2016,43.85403
Cuba,CUB,2017,60.66262
Cyprus,CYP,2005,35.84733
Cyprus,CYP,2010,62.30323
Cyprus,CYP,2015,63.45162
Cyprus,CYP,2017,73.61957
Czech Republic,CZE,2005,42.16435
Czech Republic,CZE,2010,52.75617
Czech Republic,CZE,2015,57.8588
Czech Republic,CZE,2017,62.7481
Democratic Republic of Congo,COD,2005,55.16605
Democratic Republic of Congo,COD,2010,56.03044
Democratic Republic of Congo,COD,2015,53.81572
Democratic Republic of Congo,COD,2016,42.02814
Democratic Republic of Congo,COD,2017,44.97587
Denmark,DNK,2005,43.19197
Denmark,DNK,2010,50.98098
Denmark,DNK,2015,56.17384
Denmark,DNK,2017,59.91439
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2005,39.07917
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2010,44.86612
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2015,50.9614
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2016,47.68109
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2017,54.83001
Developing regions,,2005,40.50559
Developing regions,,2010,43.75051
Developing regions,,2015,49.21086
Developing regions,,2016,48.38531
Developing regions,,2017,50.8371
Djibouti,DJI,2005,20.24096
Djibouti,DJI,2010,60.9375
Djibouti,DJI,2015,67.79661
Djibouti,DJI,2016,60.74074
Djibouti,DJI,2017,74.22481
Dominica,DMA,2005,54.63852
Dominica,DMA,2010,55.5697
Dominica,DMA,2015,70.77827
Dominica,DMA,2016,62.5
Dominica,DMA,2017,59.08649
Dominican Republic,DOM,2005,52.77123
Dominican Republic,DOM,2010,54.11505
Dominican Republic,DOM,2015,51.53306
Dominican Republic,DOM,2016,50.28745
Dominican Republic,DOM,2017,56.97161
Eastern Africa,,2005,54.80735
Eastern Africa,,2010,64.73094
Eastern Africa,,2015,70.89111
Eastern Africa,,2016,70.31804
Eastern Africa,,2017,74.17761
Eastern Asia,,2005,28.22252
Eastern Asia,,2010,31.1037
Eastern Asia,,2015,36.98934
Eastern Asia,,2016,37.00417
Eastern Asia,,2017,40.02741
Eastern Asia (excluding Japan),,2005,28.05176
Eastern Asia (excluding Japan),,2010,30.63431
Eastern Asia (excluding Japan),,2015,36.43458
Eastern Asia (excluding Japan),,2016,36.66514
Eastern Asia (excluding Japan),,2017,39.01714
Eastern Europe,,2005,51.40167
Eastern Europe,,2010,55.94462
Eastern Europe,,2015,59.929
Eastern Europe,,2016,68.4234
Eastern Europe,,2017,63.24464
Eastern and South-Eastern Asia,,2005,31.87065
Eastern and South-Eastern Asia,,2010,36.2851
Eastern and South-Eastern Asia,,2015,43.32379
Eastern and South-Eastern Asia,,2016,42.58753
Eastern and South-Eastern Asia,,2017,46.41548
Ecuador,ECU,2005,59.3235
Ecuador,ECU,2010,60.314
Ecuador,ECU,2015,66.32951
Ecuador,ECU,2016,56.84991
Ecuador,ECU,2017,63.31143
Egypt,EGY,2005,67.32002
Egypt,EGY,2010,67.12636
Egypt,EGY,2015,66.79106
Egypt,EGY,2016,65.89287
Egypt,EGY,2017,68.23728
El Salvador,SLV,2005,73.1244
El Salvador,SLV,2010,75.18613
El Salvador,SLV,2015,76.3184
El Salvador,SLV,2016,74.32535
El Salvador,SLV,2017,75.62295
Equatorial Guinea,GNQ,2005,80
Equatorial Guinea,GNQ,2010,79.19463
Equatorial Guinea,GNQ,2015,77.89799
Equatorial Guinea,GNQ,2016,44.3128
Equatorial Guinea,GNQ,2017,57.11744
Eritrea,ERI,2005,59.80392
Eritrea,ERI,2010,45
Eritrea,ERI,2015,45
Eritrea,ERI,2016,49.81413
Eritrea,ERI,2017,62.24066
Estonia,EST,2005,46.12008
Estonia,EST,2010,65.43802
Estonia,EST,2015,67.6258
Estonia,EST,2017,72.2978
Ethiopia,ETH,2005,46.70975
Ethiopia,ETH,2010,51.78106
Ethiopia,ETH,2015,56.55862
Ethiopia,ETH,2016,51.80599
Ethiopia,ETH,2017,57.84559
Europe,,2005,40.70682
Europe,,2010,46.87076
Europe,,2015,53.30437
Europe,,2016,61.72463
Europe,,2017,57.52615
Europe and Northern America,,2005,39.56642
Europe and Northern America,,2010,45.5728
Europe and Northern America,,2015,51.5698
Europe and Northern America,,2016,49.8185
Europe and Northern America,,2017,55.5102
"Europe, Western",,2005,37.9149
"Europe, Western",,2010,42.99381
"Europe, Western",,2015,49.82544
"Europe, Western",,2016,54.72236
"Europe, Western",,2017,54.14951
Faeroe Islands,FRO,2005,58.85965
Faeroe Islands,FRO,2010,78.47594
Faeroe Islands,FRO,2015,84.69274
Faeroe Islands,FRO,2016,75.71429
Faeroe Islands,FRO,2017,78.92562
Falkland Islands,FLK,2005,61.11111
Falkland Islands,FLK,2010,71.42857
Falkland Islands,FLK,2015,69.56522
Falkland Islands,FLK,2016,34.75177
Falkland Islands,FLK,2017,60.22305
Federated States of Micronesia,,2005,24.46352
Federated States of Micronesia,,2010,21.53846
Federated States of Micronesia,,2015,56.7757
Federated States of Micronesia,,2016,48.7395
Federated States of Micronesia,,2017,42.2619
Fiji,FJI,2005,44.66635
Fiji,FJI,2010,41.47114
Fiji,FJI,2015,48.37485
Fiji,FJI,2016,47.76683
Fiji,FJI,2017,44.39812
Finland,FIN,2005,42.0209
Finland,FIN,2010,51.13996
Finland,FIN,2015,58.10535
Finland,FIN,2017,60.6095
France,FRA,2005,35.71252
France,FRA,2010,39.17525
France,FRA,2015,46.07241
France,FRA,2017,49.85309
French Guiana,GUF,2005,0
French Polynesia,PYF,2005,71.87865
French Polynesia,PYF,2010,77.48619
French Polynesia,PYF,2015,78.75895
French Polynesia,PYF,2016,59.61123
French Polynesia,PYF,2017,74.46541
French Southern Territories,ATF,2005,45.94595
French Southern Territories,ATF,2010,22.69939
French Southern Territories,ATF,2015,41.11111
French Southern Territories,ATF,2016,32
French Southern Territories,ATF,2017,67.79661
Gabon,GAB,2005,65.92252
Gabon,GAB,2010,58.02124
Gabon,GAB,2015,50.71165
Gabon,GAB,2016,37.76151
Gabon,GAB,2017,41.96308
Gambia,GMB,2005,35.26423
Gambia,GMB,2010,30.81009
Gambia,GMB,2015,69.55903
Gambia,GMB,2016,70.2765
Gambia,GMB,2017,73.73573
Georgia,GEO,2005,54.08769
Georgia,GEO,2010,52.75269
Georgia,GEO,2015,66.80931
Georgia,GEO,2016,60.74689
Georgia,GEO,2017,64.72185
Germany,DEU,2005,37.12603
Germany,DEU,2010,42.12636
Germany,DEU,2015,48.00997
Germany,DEU,2017,53.37653
Ghana,GHA,2005,31.58339
Ghana,GHA,2010,32.60341
Ghana,GHA,2015,73.36931
Ghana,GHA,2016,68.26495
Ghana,GHA,2017,72.48794
Gibraltar,GIB,2005,55.34506
Gibraltar,GIB,2010,49.54008
Gibraltar,GIB,2015,39.27273
Gibraltar,GIB,2016,23.96907
Gibraltar,GIB,2017,31.25811
Greece,GRC,2005,49.30446
Greece,GRC,2010,56.68047
Greece,GRC,2015,62.48347
Greece,GRC,2017,67.80634
Greenland,GRL,2005,72.29965
Greenland,GRL,2010,79.05544
Greenland,GRL,2015,73.04348
Greenland,GRL,2016,55.50847
Greenland,GRL,2017,82.35294
Grenada,GRD,2005,58.66667
Grenada,GRD,2010,74.86819
Grenada,GRD,2015,86.94915
Grenada,GRD,2016,86.90476
Grenada,GRD,2017,84.65804
Guam,GUM,2010,6.25
Guam,GUM,2015,7.69231
Guam,GUM,2016,7.9516
Guam,GUM,2017,20.83333
Guatemala,GTM,2005,64.91448
Guatemala,GTM,2010,67.0156
Guatemala,GTM,2015,70.73303
Guatemala,GTM,2016,68.43083
Guatemala,GTM,2017,72.51298
Guinea,GIN,2005,45.35993
Guinea,GIN,2010,49.81917
Guinea,GIN,2015,75.04638
Guinea,GIN,2016,79.91968
Guinea,GIN,2017,79.67651
Guinea-Bissau,GNB,2005,50
Guinea-Bissau,GNB,2010,51.72414
Guinea-Bissau,GNB,2015,59.49367
Guinea-Bissau,GNB,2016,58.86525
Guinea-Bissau,GNB,2017,67.1875
Guyana,GUY,2005,83.19851
Guyana,GUY,2010,84.87395
Guyana,GUY,2015,86.6067
Guyana,GUY,2016,85.77982
Guyana,GUY,2017,84.02822
Haiti,HTI,2005,58.23195
Haiti,HTI,2010,57.80952
Haiti,HTI,2015,58.29596
Haiti,HTI,2016,61.13681
Haiti,HTI,2017,65.41502
Heard Island and McDonald Islands,HMD,2016,40
Heard Island and McDonald Islands,HMD,2017,19.44444
Honduras,HND,2005,68.67638
Honduras,HND,2010,66.96798
Honduras,HND,2015,76.15086
Honduras,HND,2016,71.66199
Honduras,HND,2017,74.34187
Hong Kong,HKG,2005,26.65157
Hong Kong,HKG,2010,27.11886
Hong Kong,HKG,2015,33.41718
Hong Kong,HKG,2016,34.726
Hong Kong,HKG,2017,33.63362
Hungary,HUN,2005,42.40263
Hungary,HUN,2010,53.61823
Hungary,HUN,2015,61.069
Hungary,HUN,2017,64.32652
Iceland,ISL,2005,60.64472
Iceland,ISL,2010,63.20129
Iceland,ISL,2015,73.43465
Iceland,ISL,2016,68.40107
Iceland,ISL,2017,74.50481
India,IND,2005,29.47637
India,IND,2010,33.13698
India,IND,2015,35.01514
India,IND,2016,34.93006
India,IND,2017,35.84151
Indonesia,IDN,2005,36.40185
Indonesia,IDN,2010,41.64699
Indonesia,IDN,2015,48.97673
Indonesia,IDN,2016,46.36052
Indonesia,IDN,2017,49.90014
Iran,IRN,2005,24.93654
Iran,IRN,2010,30.48017
Iran,IRN,2015,27.0028
Iran,IRN,2016,31.66139
Iran,IRN,2017,31.01345
Iraq,IRQ,2005,60.90622
Iraq,IRQ,2010,57.70235
Iraq,IRQ,2015,58.08348
Iraq,IRQ,2016,50.8388
Iraq,IRQ,2017,42.89976
Ireland,IRL,2005,44.59403
Ireland,IRL,2010,54.88199
Ireland,IRL,2015,59.43002
Ireland,IRL,2017,63.21918
Israel,ISR,2005,49.14682
Israel,ISR,2010,53.13906
Israel,ISR,2015,59.6497
Israel,ISR,2016,53.7298
Israel,ISR,2017,58.82594
Italy,ITA,2005,36.27611
Italy,ITA,2010,40.94813
Italy,ITA,2015,48.34332
Italy,ITA,2017,52.47318
Jamaica,JAM,2005,69.50535
Jamaica,JAM,2010,68.98622
Jamaica,JAM,2015,76.64029
Jamaica,JAM,2016,76.49025
Jamaica,JAM,2017,75.60102
Japan,JPN,2005,28.78457
Japan,JPN,2010,32.8787
Japan,JPN,2015,39.24708
Japan,JPN,2016,38.37354
Japan,JPN,2017,44.04034
Jordan,JOR,2005,76.13909
Jordan,JOR,2010,69.76701
Jordan,JOR,2015,77.53537
Jordan,JOR,2016,77.23561
Jordan,JOR,2017,77.53339
Kazakhstan,KAZ,2005,76.4576
Kazakhstan,KAZ,2010,76.93852
Kazakhstan,KAZ,2015,75.95078
Kazakhstan,KAZ,2016,83.33599
Kazakhstan,KAZ,2017,78.48713
Kenya,KEN,2005,62.44167
Kenya,KEN,2010,71.07099
Kenya,KEN,2015,73.88013
Kenya,KEN,2016,68.94313
Kenya,KEN,2017,71.44075
Kiribati,KIR,2005,72.07207
Kiribati,KIR,2010,56.14035
Kiribati,KIR,2015,55.24476
Kiribati,KIR,2016,56.20915
Kiribati,KIR,2017,60
Kuwait,KWT,2005,70.71891
Kuwait,KWT,2010,70.42496
Kuwait,KWT,2015,68.379
Kuwait,KWT,2016,76.62263
Kuwait,KWT,2017,63.18167
Kyrgyzstan,KGZ,2005,71.46454
Kyrgyzstan,KGZ,2010,81.86591
Kyrgyzstan,KGZ,2015,76.0181
Kyrgyzstan,KGZ,2016,79.09483
Kyrgyzstan,KGZ,2017,82.80461
Landlocked developing countries,,2005,62.60142
Landlocked developing countries,,2010,66.28037
Landlocked developing countries,,2015,72.50126
Landlocked developing countries,,2016,70.82243
Landlocked developing countries,,2017,74.15603
Laos,LAO,2005,72.00393
Laos,LAO,2010,79.73028
Laos,LAO,2015,82.77627
Laos,LAO,2016,74.03633
Laos,LAO,2017,76.07362
Latin America and the Caribbean	,,2005,56.16451
Latin America and the Caribbean	,,2010,58.66075
Latin America and the Caribbean	,,2015,63.49981
Latin America and the Caribbean	,,2016,61.94773
Latin America and the Caribbean	,,2017,62.77513
Latvia,LVA,2005,34.80744
Latvia,LVA,2010,63.725
Latvia,LVA,2015,65.4898
Latvia,LVA,2017,70.28847
Least Developed Countries (LDCs),,2005,47.807
Least Developed Countries (LDCs),,2010,53.57082
Least Developed Countries (LDCs),,2015,63.48145
Least Developed Countries (LDCs),,2016,60.09075
Least Developed Countries (LDCs),,2017,65.61222
Lebanon,LBN,2005,55.91612
Lebanon,LBN,2010,51.38396
Lebanon,LBN,2015,55.42996
Lebanon,LBN,2016,47.45763
Lebanon,LBN,2017,51.0456
Lesotho,LSO,2005,37.88396
Lesotho,LSO,2010,45.46952
Lesotho,LSO,2015,87.15645
Lesotho,LSO,2016,89.44666
Lesotho,LSO,2017,87.27154
Liberia,LBR,2005,34.34783
Liberia,LBR,2010,55.6391
Liberia,LBR,2015,67.48768
Liberia,LBR,2016,59.72028
Liberia,LBR,2017,71.83348
Libya,LBY,2005,73.38057
Libya,LBY,2010,76.52389
Libya,LBY,2015,55.19829
Libya,LBY,2016,67.74595
Libya,LBY,2017,52.04633
Liechtenstein,LIE,2016,0
Liechtenstein,LIE,2017,62.12121
Lithuania,LTU,2005,36.35715
Lithuania,LTU,2010,58.08119
Lithuania,LTU,2015,59.34965
Lithuania,LTU,2017,65.05828
Luxembourg,LUX,2005,46.87836
Luxembourg,LUX,2010,66.12636
Luxembourg,LUX,2015,68.67404
Luxembourg,LUX,2017,69.64905
Macao,MAC,2005,37.34378
Macao,MAC,2010,52.61929
Macao,MAC,2015,49.70329
Macao,MAC,2016,52.30991
Macao,MAC,2017,51.50867
Macedonia,MKD,2005,82.93587
Macedonia,MKD,2010,75.96918
Macedonia,MKD,2015,70.41369
Macedonia,MKD,2016,61.13158
Macedonia,MKD,2017,72.69427
Madagascar,MDG,2005,59.61599
Madagascar,MDG,2010,60.64112
Madagascar,MDG,2015,65.32286
Madagascar,MDG,2016,62.37479
Madagascar,MDG,2017,67.93022
Malawi,MWI,2005,65.45166
Malawi,MWI,2010,80.41065
Malawi,MWI,2015,85.46366
Malawi,MWI,2016,85.6072
Malawi,MWI,2017,84.95212
Malaysia,MYS,2005,40.28256
Malaysia,MYS,2010,46.79708
Malaysia,MYS,2015,53.4437
Malaysia,MYS,2016,54.09747
Malaysia,MYS,2017,57.37483
Maldives,MDV,2005,42.46575
Maldives,MDV,2010,60.53019
Maldives,MDV,2015,46.97674
Maldives,MDV,2016,47.91667
Maldives,MDV,2017,52.61757
Mali,MLI,2005,54.05954
Mali,MLI,2010,51.65315
Mali,MLI,2015,77.2298
Mali,MLI,2016,71.82648
Mali,MLI,2017,81.3566
Malta,MLT,2005,47.73157
Malta,MLT,2010,59.39713
Malta,MLT,2015,67.65769
Malta,MLT,2017,72.997
Marshall Islands,MHL,2005,48.19672
Marshall Islands,MHL,2010,40.97421
Marshall Islands,MHL,2015,53.21337
Marshall Islands,MHL,2016,31.89873
Marshall Islands,MHL,2017,33.07544
Mauritania,MRT,2005,51.01833
Mauritania,MRT,2010,38.81521
Mauritania,MRT,2015,48.92027
Mauritania,MRT,2016,31.51951
Mauritania,MRT,2017,42.89834
Mauritius,MUS,2005,44.82003
Mauritius,MUS,2010,55.61151
Mauritius,MUS,2015,61.18245
Mauritius,MUS,2016,62.39897
Mauritius,MUS,2017,67.17025
Mayotte,MYT,2005,82.06897
Mayotte,MYT,2010,93.22034
Melanesia,OWID_MNS,2005,54.60653
Melanesia,OWID_MNS,2010,50.52364
Melanesia,OWID_MNS,2015,61.54102
Melanesia,OWID_MNS,2016,55.13622
Melanesia,OWID_MNS,2017,55.17277
Mexico,MEX,2005,56.5685
Mexico,MEX,2010,57.27343
Mexico,MEX,2015,55.49734
Mexico,MEX,2016,55.10311
Mexico,MEX,2017,55.95967
Micronesia (country),FSM,2005,29.69616
Micronesia (country),FSM,2010,31.61905
Micronesia (country),FSM,2015,33.72406
Micronesia (country),FSM,2016,21.5648
Micronesia (country),FSM,2017,31.85799
Middle Africa,,2005,64.86121
Middle Africa,,2010,61.97708
Middle Africa,,2015,62.56494
Middle Africa,,2016,48.40207
Middle Africa,,2017,55.77986
Moldova,MDA,2005,80.79198
Moldova,MDA,2010,71.81093
Moldova,MDA,2015,65.7319
Moldova,MDA,2016,51.43035
Moldova,MDA,2017,65.47603
Mongolia,MNG,2005,49.47917
Mongolia,MNG,2010,45.31371
Mongolia,MNG,2015,50.03069
Mongolia,MNG,2016,33.51315
Mongolia,MNG,2017,45.1952
Montenegro,MNE,2010,89.01766
Montenegro,MNE,2015,88.50156
Montenegro,MNE,2016,85.42345
