Entity,Code,Year,Hours per week spent in leisure (Aguiar and Hurst (2006)) (hours per week)
Leisure Measure 1 (All individuals),,1965,31.040001
Leisure Measure 1 (All individuals),,1975,33.580002
Leisure Measure 1 (All individuals),,1985,35.529999
Leisure Measure 1 (All individuals),,1993,37.290001
Leisure Measure 1 (All individuals),,2003,35.650002
Leisure Measure 1 (Females),,1965,30.68
Leisure Measure 1 (Females),,1975,33.52
Leisure Measure 1 (Females),,1985,35.07
Leisure Measure 1 (Females),,1993,36.75
Leisure Measure 1 (Females),,2003,33.799999
Leisure Measure 1 (Males),,1965,31.469999
Leisure Measure 1 (Males),,1975,33.650002
Leisure Measure 1 (Males),,1985,36.110001
Leisure Measure 1 (Males),,1993,37.93
Leisure Measure 1 (Males),,2003,37.560001
Leisure Measure 2 (All individuals),,1965,102.68
Leisure Measure 2 (All individuals),,1975,107.47
Leisure Measure 2 (All individuals),,1985,108.5
Leisure Measure 2 (All individuals),,1993,109.65
Leisure Measure 2 (All individuals),,2003,107.49
Leisure Measure 2 (Females),,1965,103.34
Leisure Measure 2 (Females),,1975,108.93
Leisure Measure 2 (Females),,1985,109
Leisure Measure 2 (Females),,1993,110.66
Leisure Measure 2 (Females),,2003,107.19
Leisure Measure 2 (Males),,1965,101.86
Leisure Measure 2 (Males),,1975,105.87
Leisure Measure 2 (Males),,1985,107.89
Leisure Measure 2 (Males),,1993,108.46
Leisure Measure 2 (Males),,2003,107.8
Leisure Measure 3 (All individuals),,1965,106.45
Leisure Measure 3 (All individuals),,1975,110.6
Leisure Measure 3 (All individuals),,1985,111.51
Leisure Measure 3 (All individuals),,1993,112.06
Leisure Measure 3 (All individuals),,2003,111.69
Leisure Measure 3 (Females),,1965,109.31
Leisure Measure 3 (Females),,1975,113.71
Leisure Measure 3 (Females),,1985,113.48
Leisure Measure 3 (Females),,1993,114.24
Leisure Measure 3 (Females),,2003,113.29
Leisure Measure 3 (Males),,1965,102.98
Leisure Measure 3 (Males),,1975,107.17
Leisure Measure 3 (Males),,1985,109.07
Leisure Measure 3 (Males),,1993,109.49
Leisure Measure 3 (Males),,2003,110.05
Leisure Measure 4 (All individuals),,1965,110.24
Leisure Measure 4 (All individuals),,1975,115.57
Leisure Measure 4 (All individuals),,1985,115.23
Leisure Measure 4 (All individuals),,1993,116.04
Leisure Measure 4 (All individuals),,2003,116.99
Leisure Measure 4 (Females),,1965,113.06
Leisure Measure 4 (Females),,1975,118.87
Leisure Measure 4 (Females),,1985,117.46
Leisure Measure 4 (Females),,1993,118.26
Leisure Measure 4 (Females),,2003,119.5
Leisure Measure 4 (Males),,1965,106.8
Leisure Measure 4 (Males),,1975,111.93
Leisure Measure 4 (Males),,1985,112.45
Leisure Measure 4 (Males),,1993,113.44
Leisure Measure 4 (Males),,2003,114.4
