Entity,Code,Year,"Indicator 3.9.2: Age-standardised death rate attributable to unsafe water, sanitation, and hygiene (WaSH) (per 100,000 population) - Past - Unscaled (deaths per 100,000)"
Afghanistan,AFG,1990,38.77
Afghanistan,AFG,1995,46.945
Afghanistan,AFG,2000,45.941
Afghanistan,AFG,2005,44.38
Afghanistan,AFG,2010,26
Afghanistan,AFG,2016,20.892
Albania,ALB,1990,3.774
Albania,ALB,1995,2.973
Albania,ALB,2000,1.426
Albania,ALB,2005,0.746
Albania,ALB,2010,0.492
Albania,ALB,2016,0.369
Algeria,DZA,1990,7.896
Algeria,DZA,1995,5.342
Algeria,DZA,2000,4.546
Algeria,DZA,2005,3.604
Algeria,DZA,2010,2.803
Algeria,DZA,2016,2.206
Andorra,AND,1990,0.301
Andorra,AND,1995,0.276
Andorra,AND,2000,0.237
Andorra,AND,2005,0.224
Andorra,AND,2010,0.213
Andorra,AND,2016,0.213
Angola,AGO,1990,364.312
Angola,AGO,1995,339.262
Angola,AGO,2000,303.813
Angola,AGO,2005,233.672
Angola,AGO,2010,167.321
Angola,AGO,2016,118.273
Antigua and Barbuda,ATG,1990,6.738
Antigua and Barbuda,ATG,1995,5.629
Antigua and Barbuda,ATG,2000,4.346
Antigua and Barbuda,ATG,2005,3.458
Antigua and Barbuda,ATG,2010,3.065
Antigua and Barbuda,ATG,2016,2.848
Argentina,ARG,1990,4.753
Argentina,ARG,1995,3.433
Argentina,ARG,2000,2.546
Argentina,ARG,2005,2.101
Argentina,ARG,2010,1.826
Argentina,ARG,2016,1.492
Armenia,ARM,1990,8.825
Armenia,ARM,1995,8.63
Armenia,ARM,2000,4.154
Armenia,ARM,2005,1.838
Armenia,ARM,2010,1.002
Armenia,ARM,2016,0.659
Australia,AUS,1990,0.221
Australia,AUS,1995,0.245
Australia,AUS,2000,0.233
Australia,AUS,2005,0.244
Australia,AUS,2010,0.266
Australia,AUS,2016,0.281
Austria,AUT,1990,0.117
Austria,AUT,1995,0.086
Austria,AUT,2000,0.079
Austria,AUT,2005,0.094
Austria,AUT,2010,0.109
Austria,AUT,2016,0.095
Azerbaijan,AZE,1990,16.862
Azerbaijan,AZE,1995,15.958
Azerbaijan,AZE,2000,11.394
Azerbaijan,AZE,2005,6.755
Azerbaijan,AZE,2010,3.454
Azerbaijan,AZE,2016,2.192
Bahamas,BHS,1990,5.419
Bahamas,BHS,1995,4.637
Bahamas,BHS,2000,3.3
Bahamas,BHS,2005,2.645
Bahamas,BHS,2010,2.461
Bahamas,BHS,2016,2.538
Bahrain,BHR,1990,4.977
Bahrain,BHR,1995,3.927
Bahrain,BHR,2000,3.275
Bahrain,BHR,2005,2.851
Bahrain,BHR,2010,2.314
Bahrain,BHR,2016,1.997
Bangladesh,BGD,1990,217.977
Bangladesh,BGD,1995,157.568
Bangladesh,BGD,2000,101.479
Bangladesh,BGD,2005,74.416
Bangladesh,BGD,2010,52.621
Bangladesh,BGD,2016,35.956
Barbados,BRB,1990,4.298
Barbados,BRB,1995,3.935
Barbados,BRB,2000,3.283
Barbados,BRB,2005,2.959
Barbados,BRB,2010,2.684
Barbados,BRB,2016,2.706
Belarus,BLR,1990,0.993
Belarus,BLR,1995,1.022
Belarus,BLR,2000,0.794
Belarus,BLR,2005,0.375
Belarus,BLR,2010,0.233
Belarus,BLR,2016,0.171
Belgium,BEL,1990,0.279
Belgium,BEL,1995,0.3
Belgium,BEL,2000,0.373
Belgium,BEL,2005,0.488
Belgium,BEL,2010,0.524
Belgium,BEL,2016,0.462
Belize,BLZ,1990,16.412
Belize,BLZ,1995,13.509
Belize,BLZ,2000,11.428
Belize,BLZ,2005,9.204
Belize,BLZ,2010,8.133
Belize,BLZ,2016,7.228
Benin,BEN,1990,194.868
Benin,BEN,1995,182.578
Benin,BEN,2000,166.77
Benin,BEN,2005,150.306
Benin,BEN,2010,141.53
Benin,BEN,2016,117.435
