Entity,Code,Year,"Youth literacy rate, population 15-24 years, female (%) (%)"
Afghanistan,AFG,1979,11.1428003311157
Afghanistan,AFG,2011,32.113224029541
Afghanistan,AFG,2015,46.1059913635254
Albania,ALB,2001,99.4980773925781
Albania,ALB,2008,99.1213226318359
Albania,ALB,2011,98.8562393188477
Albania,ALB,2012,99.0201873779297
Albania,ALB,2015,99.0832595825195
Algeria,DZA,1987,62.2114791870117
Algeria,DZA,2002,86.1339874267578
Algeria,DZA,2006,89.1382369995117
Algeria,DZA,2008,91.7399291992188
Algeria,DZA,2015,96.2902603149414
American Samoa,ASM,1980,97.4436492919922
Angola,AGO,2001,63.1821212768555
Angola,AGO,2014,66.9823684692383
Angola,AGO,2015,67.2890625
Arab World,,1985,63.4230766296387
Arab World,,1986,63.4230766296387
Arab World,,1987,63.4230766296387
Arab World,,1988,63.4230766296387
Arab World,,1989,63.4230766296387
Arab World,,1990,63.4230766296387
Arab World,,1991,63.4230766296387
Arab World,,1992,63.4230766296387
Arab World,,1993,63.4230766296387
Arab World,,1994,63.4230766296387
Arab World,,1995,75.7459716796875
Arab World,,1996,75.7459716796875
Arab World,,1997,75.7459716796875
Arab World,,1998,75.7459716796875
Arab World,,1999,75.7459716796875
Arab World,,2000,75.7459716796875
Arab World,,2001,75.7459716796875
Arab World,,2002,75.7459716796875
Arab World,,2003,75.7459716796875
Arab World,,2004,75.7459716796875
Arab World,,2005,86.2646026611328
Arab World,,2006,86.2646026611328
Arab World,,2007,86.2646026611328
Arab World,,2008,86.2646026611328
Arab World,,2009,86.2646026611328
Arab World,,2010,86.2646026611328
Arab World,,2011,86.2646026611328
Arab World,,2012,86.2646026611328
Arab World,,2013,86.2646026611328
Arab World,,2014,86.2646026611328
Argentina,ARG,1980,97.3024826049805
Argentina,ARG,1991,98.5402069091797
Argentina,ARG,2001,99.1276702880859
Argentina,ARG,2014,99.4638290405273
Argentina,ARG,2015,99.4828414916992
Armenia,ARM,1989,99.9105682373047
Armenia,ARM,2001,99.8616714477539
Armenia,ARM,2011,99.8761901855469
Armenia,ARM,2015,99.87255859375
Aruba,ABW,2000,99.1663665771484
Aruba,ABW,2010,99.3230972290039
Aruba,ABW,2015,99.3683090209961
Azerbaijan,AZE,1999,99.9014892578125
Azerbaijan,AZE,2007,100
Azerbaijan,AZE,2009,99.9457931518555
