Entity,Code,Year,HAQ Index (IHME (2017))
Afghanistan,AFG,1990,24.7
Afghanistan,AFG,1995,24.5
Afghanistan,AFG,2000,24.8
Afghanistan,AFG,2005,27.1
Afghanistan,AFG,2010,29.4
Afghanistan,AFG,2015,32.5
Albania,ALB,1990,62.4
Albania,ALB,1995,65.1
Albania,ALB,2000,68.5
Albania,ALB,2005,71.6
Albania,ALB,2010,75.3
Albania,ALB,2015,78.2
Algeria,DZA,1990,48.2
Algeria,DZA,1995,52.6
Algeria,DZA,2000,56.2
Algeria,DZA,2005,59.6
Algeria,DZA,2010,62.2
Algeria,DZA,2015,63.7
American Samoa,ASM,1990,54.6
American Samoa,ASM,1995,55.6
American Samoa,ASM,2000,60.2
American Samoa,ASM,2005,61.7
American Samoa,ASM,2010,63.1
American Samoa,ASM,2015,63.3
Andean Latin America,,1990,43.2
Andean Latin America,,1995,47
Andean Latin America,,2000,53.5
Andean Latin America,,2005,58.1
Andean Latin America,,2010,60.9
Andean Latin America,,2015,64.1
Andorra,AND,1990,84.7
Andorra,AND,1995,88
Andorra,AND,2000,91.1
Andorra,AND,2005,92.6
Andorra,AND,2010,94
Andorra,AND,2015,94.6
Angola,AGO,1990,25.8
Angola,AGO,1995,28.1
Angola,AGO,2000,31.2
Angola,AGO,2005,35.6
Angola,AGO,2010,37.7
Angola,AGO,2015,40.7
Antigua and Barbuda,ATG,1990,56.6
Antigua and Barbuda,ATG,1995,57.8
Antigua and Barbuda,ATG,2000,60.3
Antigua and Barbuda,ATG,2005,62.5
Antigua and Barbuda,ATG,2010,64.9
Antigua and Barbuda,ATG,2015,66.7
Argentina,ARG,1990,57.4
Argentina,ARG,1995,60.3
Argentina,ARG,2000,63.5
Argentina,ARG,2005,65.3
Argentina,ARG,2010,66.6
Argentina,ARG,2015,68.4
Armenia,ARM,1990,56.8
Armenia,ARM,1995,55.6
Armenia,ARM,2000,59
Armenia,ARM,2005,60
Armenia,ARM,2010,63.7
Armenia,ARM,2015,67.5
Australasia,,1990,77.2
Australasia,,1995,80.1
Australasia,,2000,82.9
Australasia,,2005,85.3
Australasia,,2010,87.4
Australasia,,2015,89.1
Australia,AUS,1990,78
Australia,AUS,1995,80.8
Australia,AUS,2000,83.7
Australia,AUS,2005,86.2
Australia,AUS,2010,88.2
Australia,AUS,2015,89.8
Austria,AUT,1990,74.4
Austria,AUT,1995,78.2
Austria,AUT,2000,81.6
Austria,AUT,2005,84.2
Austria,AUT,2010,86.1
Austria,AUT,2015,88.2
Azerbaijan,AZE,1990,52.9
Azerbaijan,AZE,1995,51.8
Azerbaijan,AZE,2000,53.6
Azerbaijan,AZE,2005,55.4
Azerbaijan,AZE,2010,59.9
Azerbaijan,AZE,2015,64.5
Bahrain,BHR,1990,59.7
Bahrain,BHR,1995,63.2
Bahrain,BHR,2000,67.3
Bahrain,BHR,2005,71.3
Bahrain,BHR,2010,77.2
Bahrain,BHR,2015,79
Bangladesh,BGD,1990,32.6
Bangladesh,BGD,1995,35.8
Bangladesh,BGD,2000,39.6
Bangladesh,BGD,2005,44.3
Bangladesh,BGD,2010,48.7
Bangladesh,BGD,2015,51.7
Barbados,BRB,1990,55.9
Barbados,BRB,1995,59.5
Barbados,BRB,2000,62.6
Barbados,BRB,2005,64.3
Barbados,BRB,2010,65.5
Barbados,BRB,2015,66.8
Belarus,BLR,1990,63.9
Belarus,BLR,1995,63.2
Belarus,BLR,2000,65.6
Belarus,BLR,2005,68
Belarus,BLR,2010,71.7
Belarus,BLR,2015,74.4
Belgium,BEL,1990,75.4
Belgium,BEL,1995,78.8
Belgium,BEL,2000,81.6
Belgium,BEL,2005,84.6
Belgium,BEL,2010,86.3
Belgium,BEL,2015,87.9
Belize,BLZ,1990,49.7
Belize,BLZ,1995,50.5
Belize,BLZ,2000,50.6
Belize,BLZ,2005,53.7
Belize,BLZ,2010,56.3
Belize,BLZ,2015,58.3
Benin,BEN,1990,36.9
Benin,BEN,1995,37
Benin,BEN,2000,37.3
Benin,BEN,2005,40.4
Benin,BEN,2010,41.5
Benin,BEN,2015,43
Bermuda,BMU,1990,60.8
Bermuda,BMU,1995,64.8
Bermuda,BMU,2000,71.6
Bermuda,BMU,2005,74.1
Bermuda,BMU,2010,77
Bermuda,BMU,2015,79
Bhutan,BTN,1990,34.6
Bhutan,BTN,1995,37.6
Bhutan,BTN,2000,42.3
Bhutan,BTN,2005,46.2
Bhutan,BTN,2010,50.1
Bhutan,BTN,2015,52.7
Bolivia,BOL,1990,40.5
Bolivia,BOL,1995,43.8
Bolivia,BOL,2000,48.5
Bolivia,BOL,2005,53.3
Bolivia,BOL,2010,56.4
Bolivia,BOL,2015,59.2
Bosnia and Herzegovina,BIH,1990,60.9
Bosnia and Herzegovina,BIH,1995,62.1
Bosnia and Herzegovina,BIH,2000,68.8
Bosnia and Herzegovina,BIH,2005,72.1
Bosnia and Herzegovina,BIH,2010,75.3
Bosnia and Herzegovina,BIH,2015,78.2
Botswana,BWA,1990,44.9
Botswana,BWA,1995,45.4
Botswana,BWA,2000,43.7
Botswana,BWA,2005,43.9
Botswana,BWA,2010,48.6
Botswana,BWA,2015,51.1
Brazil,BRA,1990,50.1
Brazil,BRA,1995,53.8
Brazil,BRA,2000,57
Brazil,BRA,2005,59.9
Brazil,BRA,2010,62.6
Brazil,BRA,2015,64.9
Brunei,BRN,1990,62
Brunei,BRN,1995,64.3
Brunei,BRN,2000,66.7
Brunei,BRN,2005,68.6
Brunei,BRN,2010,69.5
Brunei,BRN,2015,70
Bulgaria,BGR,1990,63
Bulgaria,BGR,1995,63.2
Bulgaria,BGR,2000,64.8
