Entity,Code,Year,12.c.1 - Fossil-fuel pre-tax subsidies (consumption and production) as a proportion of total GDP (%) - ER_FFS_PRTSPR (%)
Afghanistan,AFG,2013,0.11447
Afghanistan,AFG,2015,0.11398
Africa,,2013,3.09995
Africa,,2015,1.68642
Albania,ALB,2013,1.49323
Albania,ALB,2015,0.41322
Algeria,DZA,2013,7.36209
Algeria,DZA,2015,3.68506
Americas,,2013,0.48834
Americas,,2015,0.28808
Angola,AGO,2013,3.66653
Angola,AGO,2015,0.67972
Antigua and Barbuda,ATG,2013,0.8
Antigua and Barbuda,ATG,2015,0.77606
Argentina,ARG,2013,1.94817
Argentina,ARG,2015,1.62324
Armenia,ARM,2013,0.05729
Armenia,ARM,2015,0.04022
Asia,,2013,1.33373
Asia,,2015,0.63493
"Asia, Central",,2013,6.14085
"Asia, Central",,2015,4.42254
Australia,AUS,2013,0.05137
Australia,AUS,2015,0.05333
Australia and New Zealand,,2013,0.04622
Australia and New Zealand,,2015,0.04792
Austria,AUT,2013,0.03255
Austria,AUT,2015,0.0311
Azerbaijan,AZE,2013,3.08295
Azerbaijan,AZE,2015,1.02849
Bahamas,BHS,2013,0.5
Bahamas,BHS,2015,0.46737
Bahrain,BHR,2013,7.25923
Bahrain,BHR,2015,4.61964
Bangladesh,BGD,2013,2.652
Bangladesh,BGD,2015,1.18558
Barbados,BRB,2013,0.2
Barbados,BRB,2015,0.18998
Belarus,BLR,2013,0.38216
Belarus,BLR,2015,0.12137
Belgium,BEL,2013,0.58314
Belgium,BEL,2015,0.56608
Belize,BLZ,2013,2.7
Belize,BLZ,2015,2.63106
Benin,BEN,2013,0
Benin,BEN,2015,0
Bolivia,BOL,2013,5.58438
Bolivia,BOL,2015,1.87697
Bosnia and Herzegovina,BIH,2013,0
Bosnia and Herzegovina,BIH,2015,0
Botswana,BWA,2013,0.64466
Botswana,BWA,2015,0.58777
Brazil,BRA,2013,0.1
Brazil,BRA,2015,0.0723
Brunei,BRN,2013,2.71577
Brunei,BRN,2015,0.78757
Bulgaria,BGR,2013,0.35829
Bulgaria,BGR,2015,0
Burkina Faso,BFA,2013,0.98951
Burkina Faso,BFA,2015,0.91522
Burundi,BDI,2013,0
Cambodia,KHM,2013,0
Cambodia,KHM,2015,0
Cameroon,CMR,2013,2.54927
Cameroon,CMR,2015,2.22588
Canada,CAN,2013,0.07323
Canada,CAN,2015,0.07482
Cape Verde,CPV,2013,2.41212
Cape Verde,CPV,2015,2.21383
Central America,,2013,0.87571
Central America,,2015,0.06991
Central and Southern Asia,,2013,5.01691
Central and Southern Asia,,2015,2.76923
Chile,CHL,2013,0
Chile,CHL,2015,0
China,CHN,2013,0.07619
China,CHN,2015,0
Colombia,COL,2013,0.2
Colombia,COL,2015,0.19542
Congo,COG,2013,4.68313
Congo,COG,2015,4.53668
Costa Rica,CRI,2013,0
Costa Rica,CRI,2015,0
Cote d'Ivoire,CIV,2013,2.63115
Cote d'Ivoire,CIV,2015,2.58739
Croatia,HRV,2013,0
Croatia,HRV,2015,0
Cyprus,CYP,2013,0
Cyprus,CYP,2015,0
Czech Republic,CZE,2013,0
Czech Republic,CZE,2015,0
Democratic Republic of Congo,COD,2013,1.92354
Democratic Republic of Congo,COD,2015,1.90523
Denmark,DNK,2013,0
Denmark,DNK,2015,0
Djibouti,DJI,2013,0.42553
