Entity,Code,Year,Market Income,Disposable Income
Australia,AUS,1981,0.405,0.282
Australia,AUS,1985,0.44,0.293
Australia,AUS,1989,0.44,0.304
Australia,AUS,1995,0.483,0.311
Australia,AUS,2001,0.498,0.32
Australia,AUS,2003,0.487,0.316
Australia,AUS,2008,0.491,0.336
Australia,AUS,2010,0.492,0.334
Austria,AUT,1994,0.447,0.282
Austria,AUT,1997,0.437,0.267
Austria,AUT,2000,0.433,0.258
Austria,AUT,2004,0.465,0.269
Belgium,BEL,1985,0.42,0.228
Belgium,BEL,1988,0.429,0.234
Belgium,BEL,1992,0.459,0.229
Belgium,BEL,1995,0.476,0.269
Belgium,BEL,1997,0.486,0.251
Belgium,BEL,2000,0.517,0.318
Canada,CAN,1981,0.384,0.286
Canada,CAN,1987,0.408,0.283
Canada,CAN,1991,0.429,0.282
Canada,CAN,1994,0.451,0.285
Canada,CAN,1997,0.452,0.292
Canada,CAN,1998,0.484,0.313
Canada,CAN,2000,0.476,0.318
Canada,CAN,2004,0.483,0.32
Canada,CAN,2007,0.481,0.318
Canada,CAN,2010,0.489,0.318
Czech Republic,CZE,1992,0.402,0.206
Czech Republic,CZE,1996,0.434,0.257
Czech Republic,CZE,2002,0.475,0.255
Czech Republic,CZE,2004,0.479,0.267
Czech Republic,CZE,2007,0.458,0.252
Czech Republic,CZE,2010,0.459,0.256
Denmark,DNK,1987,0.419,0.257
Denmark,DNK,1992,0.452,0.241
Denmark,DNK,1995,0.453,0.222
Denmark,DNK,2000,0.444,0.226
Denmark,DNK,2004,0.454,0.23
Denmark,DNK,2007,0.449,0.242
Denmark,DNK,2010,0.48,0.254
Estonia,EST,2000,,0.364
Estonia,EST,2004,0.508,0.35
Estonia,EST,2007,0.456,0.316
Estonia,EST,2010,0.495,0.326
Finland,FIN,1987,0.39,0.207
Finland,FIN,1991,0.409,0.209
Finland,FIN,1995,0.483,0.217
Finland,FIN,2000,0.481,0.256
Finland,FIN,2004,0.488,0.266
Finland,FIN,2007,0.477,0.267
Finland,FIN,2010,0.487,0.264
France,FRA,1978,0.45,0.319
France,FRA,1984,0.518,0.348
France,FRA,1989,0.489,0.293
France,FRA,1994,0.495,0.29
France,FRA,2000,0.491,0.278
France,FRA,2005,0.486,0.281
France,FRA,2010,0.511,0.292
Germany,DEU,1984,0.45,0.266
Germany,DEU,1989,0.445,0.259
Germany,DEU,1994,0.465,0.27
Germany,DEU,2000,0.479,0.267
Germany,DEU,2004,0.511,0.288
Germany,DEU,2007,0.523,0.294
Germany,DEU,2010,0.523,0.289
Greece,GRC,1995,0.477,0.355
Greece,GRC,2000,0.467,0.335
Greece,GRC,2004,0.472,0.329
Greece,GRC,2007,0.496,0.322
Greece,GRC,2010,0.532,0.338
Hungary,HUN,1991,0.478,0.289
Hungary,HUN,1994,0.554,0.322
Hungary,HUN,1999,0.518,0.292
Hungary,HUN,2005,0.538,0.291
Hungary,HUN,2007,0.611,0.277
Hungary,HUN,2009,0.618,0.279
Hungary,HUN,2012,0.624,0.293
Iceland,ISL,2004,0.377,0.257
Iceland,ISL,2007,0.385,0.28
Iceland,ISL,2010,0.405,0.246
Ireland,IRL,1987,,0.33
Ireland,IRL,1994,0.511,0.339
Ireland,IRL,1995,0.505,0.345
Ireland,IRL,1996,0.496,0.334
Ireland,IRL,2000,0.445,0.314
