Entity,Code,Year,Female share of employment in senior and middle management (%) (%)
Albania,ALB,2009,22.4699993133545
Argentina,ARG,2009,34.8199996948242
Argentina,ARG,2010,28.9400005340576
Argentina,ARG,2011,30.7099990844727
Argentina,ARG,2012,35.1100006103516
Argentina,ARG,2014,39.3899993896484
Aruba,ABW,2010,43.2799987792969
Australia,AUS,2004,26.5900001525879
Australia,AUS,2005,28.2999992370605
Australia,AUS,2006,28.5900001525879
Australia,AUS,2007,29.3099994659424
Australia,AUS,2008,30.7199993133545
Australia,AUS,2009,30.4699993133545
Australia,AUS,2010,29.6800003051758
Australia,AUS,2011,31.7299995422363
Australia,AUS,2012,31.0599994659424
Australia,AUS,2013,31.5699996948242
Australia,AUS,2014,32.2700004577637
Austria,AUT,2004,22.1800003051758
Austria,AUT,2005,21.5
Austria,AUT,2006,20.9599990844727
Austria,AUT,2007,21
Austria,AUT,2008,25.1900005340576
Austria,AUT,2009,23.25
Austria,AUT,2010,25.4200000762939
Austria,AUT,2011,26.0699996948242
Austria,AUT,2012,27.1299991607666
Austria,AUT,2013,26.3299999237061
Austria,AUT,2014,27.8500003814697
Austria,AUT,2015,27.8799991607666
Belarus,BLR,2009,46.9700012207031
Belgium,BEL,2004,26.9099998474121
Belgium,BEL,2005,30.2399997711182
Belgium,BEL,2006,31.1299991607666
Belgium,BEL,2007,33.5400009155273
Belgium,BEL,2008,31.8999996185303
Belgium,BEL,2009,34.5699996948242
Belgium,BEL,2010,34.7700004577637
Belgium,BEL,2011,30.4500007629395
Belgium,BEL,2012,31.6700000762939
Belgium,BEL,2013,30.75
Belgium,BEL,2014,31.2999992370605
Belgium,BEL,2015,31.0400009155273
Belize,BLZ,2015,36.6100006103516
Bosnia and Herzegovina,BIH,2014,24.1499996185303
Bosnia and Herzegovina,BIH,2015,24.1800003051758
Bulgaria,BGR,2004,41.4300003051758
Bulgaria,BGR,2005,40.6100006103516
Bulgaria,BGR,2006,37.560001373291
Bulgaria,BGR,2007,36.4099998474121
Bulgaria,BGR,2008,36.5099983215332
Bulgaria,BGR,2009,35.7900009155273
Bulgaria,BGR,2010,38.6300010681152
Bulgaria,BGR,2011,37
Bulgaria,BGR,2012,35.5
Bulgaria,BGR,2013,36
Bulgaria,BGR,2014,35.3600006103516
Bulgaria,BGR,2015,37.3800010681152
Cambodia,KHM,2010,14.1300001144409
Costa Rica,CRI,2010,29.6900005340576
Costa Rica,CRI,2012,29.2099990844727
Costa Rica,CRI,2013,36.5900001525879
Costa Rica,CRI,2015,41.2700004577637
Croatia,HRV,2004,17.5100002288818
Croatia,HRV,2005,28.2099990844727
Croatia,HRV,2006,27.4699993133545
Croatia,HRV,2007,22.7199993133545
Croatia,HRV,2008,32.0999984741211
Croatia,HRV,2009,37.2000007629395
Croatia,HRV,2010,27.4300003051758
Croatia,HRV,2011,23.5699996948242
Croatia,HRV,2012,25.7700004577637
Croatia,HRV,2013,23.8700008392334
Croatia,HRV,2014,24.3700008392334
Croatia,HRV,2015,25.7099990844727
Cyprus,CYP,2004,17
Cyprus,CYP,2005,17.0699996948242
Cyprus,CYP,2006,17.2299995422363
Cyprus,CYP,2007,17.6900005340576
Cyprus,CYP,2008,20.4400005340576
Cyprus,CYP,2009,13.7600002288818
Cyprus,CYP,2010,14.3199996948242
Cyprus,CYP,2011,14.6700000762939
Cyprus,CYP,2012,16.4400005340576
Cyprus,CYP,2013,18.7000007629395
Cyprus,CYP,2014,18.1399993896484
Cyprus,CYP,2015,25.2199993133545
Czech Republic,CZE,2004,30.2900009155273
Czech Republic,CZE,2005,31.5400009155273
Czech Republic,CZE,2006,30.6800003051758
Czech Republic,CZE,2007,29.4699993133545
Czech Republic,CZE,2008,29.2199993133545
Czech Republic,CZE,2009,28.7299995422363
Czech Republic,CZE,2010,27.75
Czech Republic,CZE,2011,24.0400009155273
Czech Republic,CZE,2012,23.1100006103516
Czech Republic,CZE,2013,24.5400009155273
Czech Republic,CZE,2014,26.6200008392334
Czech Republic,CZE,2015,27.7999992370605
Denmark,DNK,2004,20.6200008392334
Denmark,DNK,2005,21.3600006103516
Denmark,DNK,2006,20.3600006103516
Denmark,DNK,2007,25.2999992370605
Denmark,DNK,2008,19.8500003814697
Denmark,DNK,2009,20.3899993896484
Denmark,DNK,2010,19.4899997711182
Denmark,DNK,2011,28.6399993896484
Denmark,DNK,2012,28.8199996948242
Denmark,DNK,2013,27.4599990844727
Denmark,DNK,2014,26.2000007629395
Denmark,DNK,2015,26.8999996185303
Dominican Republic,DOM,2009,45.25
Dominican Republic,DOM,2010,45.9099998474121
Dominican Republic,DOM,2011,51.7799987792969
Dominican Republic,DOM,2012,55.810001373291
Dominican Republic,DOM,2013,47.3699989318848
Dominican Republic,DOM,2015,52.7000007629395
Ecuador,ECU,2011,44.0400009155273
Ecuador,ECU,2012,42.810001373291
Ecuador,ECU,2013,35.3400001525879
Ecuador,ECU,2014,36.3899993896484
Ecuador,ECU,2015,30.1399993896484
Ecuador,ECU,2016,33.9500007629395
El Salvador,SLV,2010,31.9899997711182
El Salvador,SLV,2013,42.689998626709
Estonia,EST,2004,41.2299995422363
Estonia,EST,2005,41.0400009155273
Estonia,EST,2006,39.6300010681152
Estonia,EST,2007,34.9099998474121
Estonia,EST,2008,36.5999984741211
Estonia,EST,2009,34.3400001525879
Estonia,EST,2010,38.3699989318848
Estonia,EST,2011,34.6300010681152
Estonia,EST,2012,31.6200008392334
Estonia,EST,2013,32.810001373291
Estonia,EST,2014,30.8400001525879
Estonia,EST,2015,27.8400001525879
Ethiopia,ETH,2009,18.6499996185303
Ethiopia,ETH,2010,19.1100006103516
Ethiopia,ETH,2011,20.7299995422363
Ethiopia,ETH,2012,20.8899993896484
Ethiopia,ETH,2013,21.0799999237061
Finland,FIN,2004,30.6800003051758
Finland,FIN,2005,32.6699981689453
Finland,FIN,2006,33.8499984741211
Finland,FIN,2007,32.2799987792969
Finland,FIN,2008,33.5800018310547
Finland,FIN,2009,34.7099990844727
Finland,FIN,2010,34.3400001525879
Finland,FIN,2011,31.0900001525879
Finland,FIN,2012,29.6700000762939
Finland,FIN,2013,29.4699993133545
Finland,FIN,2014,34.2599983215332
Finland,FIN,2015,33.4900016784668
France,FRA,2004,33.060001373291
France,FRA,2005,36.3400001525879
France,FRA,2006,37
France,FRA,2007,36.4599990844727
France,FRA,2008,36.7700004577637
France,FRA,2009,37.3800010681152
France,FRA,2010,38.5400009155273
France,FRA,2011,39.1399993896484
France,FRA,2012,39.189998626709
France,FRA,2013,35.5499992370605
France,FRA,2014,32.0099983215332
France,FRA,2015,30.9300003051758
Germany,DEU,2004,24.0799999237061
Germany,DEU,2005,24.2999992370605
Germany,DEU,2006,25.2999992370605
Germany,DEU,2007,25.7199993133545
Germany,DEU,2008,26.4500007629395
Germany,DEU,2009,27.3099994659424
Germany,DEU,2010,28.2800006866455
Germany,DEU,2011,27.9400005340576
Germany,DEU,2012,27.0599994659424
Germany,DEU,2013,27.5200004577637
Germany,DEU,2014,27.7700004577637
Germany,DEU,2015,28.0499992370605
Greece,GRC,2004,21.1900005340576
Greece,GRC,2005,23.6599998474121
Greece,GRC,2006,22.4899997711182
Greece,GRC,2007,22.7700004577637
Greece,GRC,2008,26.2800006866455
Greece,GRC,2009,27.0100002288818
Greece,GRC,2010,26.8999996185303
Greece,GRC,2011,22.0200004577637
Greece,GRC,2012,22.2399997711182
Greece,GRC,2013,25.8299999237061
Greece,GRC,2014,27.8299999237061
Greece,GRC,2015,24.6700000762939
Guatemala,GTM,2012,35.5699996948242
Guatemala,GTM,2013,21.8400001525879
Guatemala,GTM,2014,46.2200012207031
Guatemala,GTM,2015,30.2199993133545
Hungary,HUN,2004,36.6500015258789
Hungary,HUN,2005,39.4000015258789
Hungary,HUN,2006,40.939998626709
Hungary,HUN,2007,39.0400009155273
Hungary,HUN,2008,40.7799987792969
Hungary,HUN,2009,39.9000015258789
Hungary,HUN,2010,39.9599990844727
Hungary,HUN,2011,38.2200012207031
Hungary,HUN,2012,36.2599983215332
