Entity,Code,Year,"8.7.1 - Proportion of children engaged in economic activity, by sex and age  (%) - SL_TLF_CHLDEA - 5 to 17 years old - Both sexes (%)"
Afghanistan,AFG,2013,16.6
Albania,ALB,2010,2.8
Angola,AGO,2015,9.66647
Armenia,ARM,2015,3.9
Bangladesh,BGD,2013,5.9
Belize,BLZ,2013,2.2
Benin,BEN,2014,34.94
Brazil,BRA,2015,3.4
Burundi,BDI,2016,20.47946
Cambodia,KHM,2012,11.5
Cameroon,CMR,2014,33.36
Chad,TCD,2014,31.89
Chile,CHL,2012,2.3
Colombia,COL,2017,2.9
Congo,COG,2015,10.84182
Costa Rica,CRI,2016,1
Democratic Republic of Congo,COD,2013,20.63
Dominican Republic,DOM,2014,5.6
Egypt,EGY,2014,3.58057
El Salvador,SLV,2015,4.9
Gambia,GMB,2015,17.4
Georgia,GEO,2015,1.5
Guinea,GIN,2016,19.47184
Guinea-Bissau,GNB,2014,33.96166
Guyana,GUY,2014,9.64
Honduras,HND,2014,8
India,IND,2012,4.3
Jamaica,JAM,2016,2.7
Jordan,JOR,2016,1.2
Kyrgyzstan,KGZ,2014,15.27
Laos,LAO,2010,11.4
Liberia,LBR,2010,12.8
Malawi,MWI,2013,16.63
Mali,MLI,2015,32.36
Mexico,MEX,2015,3.8
Mongolia,MNG,2013,9.37482
Montenegro,MNE,2013,9.12589
Nepal,NPL,2014,19.03
Nigeria,NGA,2016,28.72
North Korea,PRK,2017,4
Panama,PAN,2014,2.4
Paraguay,PRY,2016,15.52444
Peru,PER,2015,13.3
Philippines,PHL,2011,4.3
Sao Tome and Principe,STP,2014,12.76
Senegal,SEN,2016,17.13698
Serbia,SRB,2014,6.71
Sudan,SDN,2014,15.27
Tanzania,TZA,2014,22.3
Togo,TGO,2013,18.55
Turkmenistan,TKM,2015,0.26104
Uganda,UGA,2017,13.2
Uruguay,URY,2010,3.7
Vietnam,VNM,2014,12.09
Zambia,ZMB,2012,20.2
