Entity,Code,Year,Basel Convention (%),Montreal Protocol (%),Rotterdam Convention (%),Stockholm Convention (%)
Afghanistan,AFG,2015,16.66667,100,9.80392,16.66667
Africa,,2015,41.17647,100,59.21569,43.91026
Albania,ALB,2015,33.33333,100,92.15686,50
Algeria,DZA,2015,66.66667,100,,50
Americas,,2015,60.10101,100,72.27857,48.95833
Andorra,AND,2015,100,100,,
Angola,AGO,2015,,100,,33.33333
Antigua and Barbuda,ATG,2015,16.66667,100,31.37255,33.33333
Argentina,ARG,2015,100,100,80.39216,66.66667
Armenia,ARM,2015,83.33333,100,37.2549,66.66667
Asia,,2015,58.14394,100,66.6122,49.1453
"Asia, Central",,2015,60.41667,100,,
Australia,AUS,2015,100,100,100,100
Australia and New Zealand,,2015,100,100,95.09804,83.33333
Austria,AUT,2015,100,100,100,83.33333
Azerbaijan,AZE,2015,100,100,,50
Bahamas,BHS,2015,16.66667,100,,16.66667
Bahrain,BHR,2015,100,100,41.17647,66.66667
Bangladesh,BGD,2015,50,100,,66.66667
Barbados,BRB,2015,100,100,,33.33333
Belarus,BLR,2015,50,100,,50
Belgium,BEL,2015,100,100,100,100
Belize,BLZ,2015,16.66667,100,84.31373,33.33333
Benin,BEN,2015,16.66667,100,78.43137,33.33333
Bhutan,BTN,2015,100,100,,
Bolivia,BOL,2015,100,100,31.37255,33.33333
Bosnia and Herzegovina,BIH,2015,33.33333,100,72.54902,16.66667
Botswana,BWA,2015,16.66667,100,9.80392,33.33333
Brazil,BRA,2015,66.66667,100,100,66.66667
Brunei,BRN,2015,16.66667,100,,
Bulgaria,BGR,2015,100,100,100,100
Burkina Faso,BFA,2015,16.66667,100,86.27451,33.33333
Burundi,BDI,2015,16.66667,100,66.66667,33.33333
Cambodia,KHM,2015,33.33333,100,9.80392,50
Cameroon,CMR,2015,16.66667,100,35.29412,66.66667
Canada,CAN,2015,100,100,100,83.33333
Cape Verde,CPV,2015,66.66667,100,100,33.33333
Caribbean,,2015,44.44444,100,,33.33333
Central African Republic,CAF,2015,66.66667,100,,66.66667
Central America,,2015,64.58333,100,77.94118,54.16667
Central and Southern Asia,,2015,55.76923,100,,45.45455
Chad,TCD,2015,16.66667,100,100,33.33333
Chile,CHL,2015,50,100,92.15686,50
China,CHN,2015,100,100,98.03922,50
Colombia,COL,2015,100,100,92.15686,66.66667
Comoros,COM,2015,50,100,,33.33333
Congo,COG,2015,83.33333,100,37.2549,33.33333
Cook Islands,COK,2015,16.66667,100,100,33.33333
Costa Rica,CRI,2015,66.66667,100,70.58824,66.66667
Cote d'Ivoire,CIV,2015,100,100,80.39216,50
Croatia,HRV,2015,100,100,100,66.66667
Cuba,CUB,2015,66.66667,100,88.23529,33.33333
Cyprus,CYP,2015,100,100,100,83.33333
Czech Republic,CZE,2015,100,100,100,50
Democratic Republic of Congo,COD,2015,33.33333,100,92.15686,66.66667
Denmark,DNK,2015,100,100,100,83.33333
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2015,80.20833,100,91.42727,71.9697
Djibouti,DJI,2015,16.66667,100,9.80392,33.33333
Dominica,DMA,2015,33.33333,100,31.37255,33.33333
Dominican Republic,DOM,2015,100,100,100,33.33333
Eastern Africa,,2015,36.27451,100,55.29412,45.09804
Eastern Asia,,2015,46.66667,100,78.43137,53.33333
Eastern Europe,,2015,75,100,78.64924,68.33333
Eastern and South-Eastern Asia,,2015,52.22222,100,67.78711,51.19048
Ecuador,ECU,2015,16.66667,100,88.23529,66.66667
Egypt,EGY,2015,66.66667,100,,33.33333
El Salvador,SLV,2015,50,100,92.15686,66.66667
Equatorial Guinea,GNQ,2015,16.66667,100,9.80392,
Eritrea,ERI,2015,66.66667,100,92.15686,50
Estonia,EST,2015,100,100,100,83.33333
Ethiopia,ETH,2015,16.66667,100,64.70588,50
Europe,,2015,78.96825,100,90.56704,70.08547
Europe and Northern America,,2015,79.45736,100,90.81527,70.41667
"Europe, Western",,2015,70.37037,100,99.01961,77.77778
Federated States of Micronesia,,2015,16.66667,100,,16.66667
Fiji,FJI,2015,,100,,33.33333
Finland,FIN,2015,100,100,100,100
France,FRA,2015,50,100,100,100
Gabon,GAB,2015,16.66667,100,17.64706,50
Gambia,GMB,2015,16.66667,100,100,33.33333
Georgia,GEO,2015,100,100,72.54902,66.66667
Germany,DEU,2015,100,100,100,100
Ghana,GHA,2015,16.66667,100,80.39216,33.33333
Greece,GRC,2015,100,100,100,0
Grenada,GRD,2015,,100,,
Guatemala,GTM,2015,100,100,37.2549,66.66667
Guinea,GIN,2015,16.66667,100,80.39216,50
Guinea-Bissau,GNB,2015,100,100,98.03922,33.33333
Guyana,GUY,2015,83.33333,100,84.31373,33.33333
Haiti,HTI,2015,16.66667,100,,
Honduras,HND,2015,83.33333,100,74.5098,50
Hungary,HUN,2015,100,100,100,33.33333
Iceland,ISL,2015,16.66667,100,,50
India,IND,2015,16.66667,100,94.11765,83.33333
Indonesia,IDN,2015,50,100,43.13726,50
Iran,IRN,2015,83.33333,100,94.11765,50
Iraq,IRQ,2015,50,100,,
Ireland,IRL,2015,83.33333,100,100,83.33333
Israel,ISR,2015,50,100,90.19608,
Italy,ITA,2015,83.33333,100,100,
Jamaica,JAM,2015,66.66667,100,84.31373,33.33333
Japan,JPN,2015,83.33333,100,100,100
Jordan,JOR,2015,16.66667,100,84.31373,33.33333
Kazakhstan,KAZ,2015,33.33333,100,41.17647,33.33333
Kenya,KEN,2015,16.66667,100,62.7451,83.33333
Kiribati,KIR,2015,16.66667,100,,33.33333
Kuwait,KWT,2015,16.66667,100,68.62745,33.33333
Kyrgyzstan,KGZ,2015,83.33333,100,86.27451,33.33333
Landlocked developing countries,,2015,43.61111,100,51.45098,44.64286
Laos,LAO,2015,16.66667,100,19.60784,50
Latin America and the Caribbean	,,2015,58.85417,100,71.28852,47.84946
Latvia,LVA,2015,100,100,100,66.66667
Least Developed Countries (LDCs),,2015,35.83333,100,,41.47287
Lebanon,LBN,2015,16.66667,100,72.54902,33.33333
Lesotho,LSO,2015,16.66667,100,9.80392,33.33333
Liberia,LBR,2015,16.66667,100,43.13726,33.33333
Libya,LBY,2015,33.33333,100,64.70588,16.66667
Liechtenstein,LIE,2015,50,100,92.15686,50
Lithuania,LTU,2015,100,100,100,66.66667
Luxembourg,LUX,2015,83.33333,100,100,33.33333
Macedonia,MKD,2015,16.66667,100,92.15686,50
Madagascar,MDG,2015,100,100,92.15686,50
Malawi,MWI,2015,16.66667,100,84.31373,50
Malaysia,MYS,2015,100,100,100,
Maldives,MDV,2015,16.66667,100,9.80392,16.66667
Mali,MLI,2015,16.66667,100,64.70588,66.66667
Malta,MLT,2015,100,100,,
Marshall Islands,MHL,2015,16.66667,100,9.80392,33.33333
Mauritania,MRT,2015,16.66667,100,94.11765,50
Mauritius,MUS,2015,50,100,84.31373,66.66667
Melanesia,OWID_MNS,2015,,100,,29.16667
Mexico,MEX,2015,83.33333,100,92.15686,66.66667
Micronesia (country),FSM,2015,26.66667,100,,26.66667
Middle Africa,,2015,33.33333,100,43.13726,47.91667
Moldova,MDA,2015,33.33333,100,78.43137,50
Monaco,MCO,2015,16.66667,100,,66.66667
Mongolia,MNG,2015,16.66667,100,64.70588,50
Montenegro,MNE,2015,100,100,0,33.33333
Morocco,MAR,2015,83.33333,100,80.39216,50
Mozambique,MOZ,2015,50,100,31.37255,50
Myanmar,MMR,2015,,100,,50
Namibia,NAM,2015,16.66667,100,9.80392,33.33333
Nauru,NRU,2015,16.66667,100,,33.33333
Nepal,NPL,2015,50,100,31.37255,66.66667
Netherlands,NLD,2015,66.66667,100,100,66.66667
New Zealand,NZL,2015,100,100,90.19608,66.66667
Nicaragua,NIC,2015,50,100,74.5098,33.33333
Niger,NER,2015,16.66667,100,82.35294,33.33333
Nigeria,NGA,2015,100,100,70.58824,66.66667
Niue,NIU,2015,,100,,33.33333
North Korea,PRK,2015,16.66667,100,56.86275,33.33333
Northern Africa,,2015,61.11111,100,,38.88889
Northern Africa and Western Asia,,2015,64.39394,100,,46.66667
Northern America,,2015,,100,,
Northern Europe,,2015,90,100,99.34641,83.33333
Norway,NOR,2015,100,100,94.11765,100
Oceania,,2015,,100,,35.71429
Oceania (exc. Australia and New Zealand),,2015,,100,,27.77778
Oman,OMN,2015,66.66667,100,84.31373,50
Pakistan,PAK,2015,100,100,64.70588,33.33333
Palau,PLW,2015,66.66667,100,,16.66667
Panama,PAN,2015,66.66667,100,98.03922,50
Papua New Guinea,PNG,2015,16.66667,100,,33.33333
Paraguay,PRY,2015,83.33333,100,49.01961,50
Peru,PER,2015,50,100,92.15686,66.66667
Philippines,PHL,2015,100,100,62.7451,50
Poland,POL,2015,100,100,100,100
Polynesia,OWID_PYA,2015,,100,,27.77778
Portugal,PRT,2015,100,100,100,50
Qatar,QAT,2015,100,100,86.27451,50
Romania,ROU,2015,50,100,100,100
Russia,RUS,2015,50,100,19.60784,66.66667
Rwanda,RWA,2015,100,100,54.90196,33.33333
Saint Kitts and Nevis,KNA,2015,16.66667,100,15.68628,33.33333
Saint Lucia,LCA,2015,66.66667,100,,33.33333
Saint Vincent and the Grenadines,VCT,2015,16.66667,100,9.80392,33.33333
Samoa,WSM,2015,16.66667,100,64.70588,33.33333
San Marino,SMR,2015,,100,,
Sao Tome and Principe,STP,2015,16.66667,100,9.80392,33.33333
Saudi Arabia,SAU,2015,16.66667,100,64.70588,16.66667
Senegal,SEN,2015,16.66667,100,64.70588,50
Serbia,SRB,2015,100,100,100,50
Seychelles,SYC,2015,33.33333,100,,33.33333
Sierra Leone,SLE,2015,,100,,33.33333
Singapore,SGP,2015,100,100,92.15686,50
Slovakia,SVK,2015,100,100,100,66.66667
Slovenia,SVN,2015,100,100,100,100
Small Island Developing States (SIDS),,2015,40.86022,100,,32.35294
Solomon Islands,SLB,2015,,100,,0
Somalia,SOM,2015,16.66667,100,9.80392,16.66667
South Africa,ZAF,2015,83.33333,100,84.31373,66.66667
South America,,2015,69.44444,100,78.92157,56.94444
South Eastern Asia,,2015,59.25926,100,,
South Korea,KOR,2015,16.66667,100,72.54902,33.33333
South Sudan,SSD,2015,,100,,
Southern Africa,,2015,43.33333,100,24.70588,43.33333
Southern Asia,,2015,53.7037,100,53.22129,47.91667
Southern Europe,,2015,79.48718,100,86.98752,
Spain,ESP,2015,66.66667,100,100,100
Sri Lanka,LKA,2015,50,100,68.62745,50
Sub-Saharan Africa,,2015,38.51852,100,58.35668,44.56522
Sudan,SDN,2015,16.66667,100,68.62745,33.33333
Suriname,SUR,2015,16.66667,100,56.86275,33.33333
Swaziland,SWZ,2015,83.33333,100,9.80392,50
Sweden,SWE,2015,100,100,100,100
Switzerland,CHE,2015,66.66667,100,100,100
Syria,SYR,2015,16.66667,100,76.47059,33.33333
Tajikistan,TJK,2015,,100,,50
Tanzania,TZA,2015,16.66667,100,64.70588,50
Thailand,THA,2015,100,100,84.31373,66.66667
Timor,TLS,2015,,100,,
Togo,TGO,2015,100,100,72.54902,50
Tonga,TON,2015,16.66667,100,21.56863,33.33333
Trinidad and Tobago,TTO,2015,16.66667,100,64.70588,50
Tunisia,TUN,2015,100,100,,50
Turkey,TUR,2015,50,100,,50
Turkmenistan,TKM,2015,41.66667,100,,
Tuvalu,TUV,2015,,100,,16.66667
Uganda,UGA,2015,16.66667,100,39.21569,50
Ukraine,UKR,2015,66.66667,100,9.80392,66.66667
United Arab Emirates,ARE,2015,83.33333,100,92.15686,66.66667
United Kingdom,GBR,2015,100,100,100,100
United States,USA,2015,,100,,
Uruguay,URY,2015,83.33333,100,92.15686,66.66667
Uzbekistan,UZB,2015,83.33333,100,,
Vanuatu,VUT,2015,,100,,50
Vatican,VAT,2015,,100,,
Venezuela,VEN,2015,83.33333,100,88.23529,83.33333
Vietnam,VNM,2015,16.66667,100,60.78431,50
Western Africa,,2015,42.22222,100,79.73856,42.70833
Western Asia,,2015,62.7451,100,73.80952,48.88889
World,OWID_WRL,2015,57.4537,100,71.02683,51.13636
Yemen,YEM,2015,100,100,62.7451,33.33333
Zambia,ZMB,2015,16.66667,100,21.56863,50
Zimbabwe,ZWE,2015,16.66667,100,50.98039,33.33333
