Entity,Code,Year,"Forest, timber ($)","Forest, non-timber ($)",Protected areas ($),Pastureland ($),Oil ($),Natural gas ($),Coal ($),Metals and minerals ($),Human capital ($),Net foreign assets ($),Produced capital (including urban land) ($),Cropland ($)
East Asia & Pacific,,1995,486.73,1101.71,387.56,726.86,347.86,31.17,86.29,154.86,56828.89,-275.27,15049.75,3085.95
East Asia & Pacific,,2000,374.2,1051.91,462.96,823.62,347.37,25.19,42.23,174.74,59380.02,100.24,18672.47,3649.53
East Asia & Pacific,,2005,290.43,1017.48,608.22,1108.49,532.67,66.55,578.01,421.46,57499.9,707.4,23823.79,4166.56
East Asia & Pacific,,2010,399.5,971.11,709.53,1342.12,760.83,128.23,1919.64,1875.02,72468.28,1618.62,31541.47,5076.02
East Asia & Pacific,,2014,375.31,956.19,900.42,1657.93,742,154.9,1809.49,2164.18,85078.97,1783.94,39184.56,5981.87
East Asia & Pacific (developing countries),,1995,505.86,331.54,392.57,657.95,367.53,29.9,75.58,68.59,20770.87,-433.18,5201.58,3292.26
East Asia & Pacific (developing countries),,2000,383.34,320.76,474.19,785.99,353.29,23.02,30.09,70.86,24193.36,-310.34,7294.32,3888.48
East Asia & Pacific (developing countries),,2005,290.57,321.52,627.17,1092.34,552.7,63.03,541.2,225.57,25085.78,131.4,10713.76,4451.76
East Asia & Pacific (developing countries),,2010,405.31,319.06,731.05,1352.09,766.5,114.38,1845.08,1200.49,41612.11,688.91,16945.22,5443.3
East Asia & Pacific (developing countries),,2014,385.79,315.91,940.77,1707.13,776.63,147.33,1756.39,1308.81,53387.05,404.48,24017.84,6432.9
Europe & Central Asia,,1995,584.37,1421.78,1257.73,3105.14,1767.24,1556.47,306.52,153.58,176534.96,-657,90557.94,3749.93
Europe & Central Asia,,2000,554.87,1445.16,1459.73,2877.58,2531.79,1354.29,133.68,104.06,193916.37,-1392.06,95220.23,3095.62
Europe & Central Asia,,2005,544.87,1451.13,1521.7,2563.13,4621.49,2662.65,459.74,306.37,208334.07,-1927.23,106041.79,2935.75
Europe & Central Asia,,2010,473.84,1453.91,1572.04,2455.68,5985.36,2386.79,890.72,1287.69,221080.49,-2629.5,119124.64,2875.63
Europe & Central Asia,,2014,468.07,1446.96,1703.72,2670.16,5955.71,2201.75,601.8,1314.63,227581.23,-1595.24,122870.25,3058.64
Europe & Central Asia (developing countries),,1995,328.48,516.9,324.86,5049.28,642.8,1077.81,428.68,202.78,14559.64,-839.24,23547.47,6127.62
Europe & Central Asia (developing countries),,2000,268.54,521.27,351.45,4874.38,849.69,548.59,135.49,145.76,15987.81,-1646.08,20506.9,4732.08
Europe & Central Asia (developing countries),,2005,218.57,530.35,544.03,4398.93,2462.86,1120.41,484.01,457.83,20565.65,-1867.53,22950.35,4628.96
Europe & Central Asia (developing countries),,2010,200.73,532.5,647.38,4356.71,4611.08,1314.07,930.03,1588.28,24064.12,-2873.33,26115.37,4579.23
Europe & Central Asia (developing countries),,2014,232.59,529.13,892.28,4893.95,4858.91,1340.81,633.43,1582.06,26115.66,-3324.52,27760.36,5015.13
High income: OECD,,1995,681.6,4778.62,1101.13,2245.08,754.37,454.23,498.05,452.2,412757.08,-1305.86,126197.86,2570.02
High income: OECD,,2000,630.01,4670.69,1175.77,1950.92,750.46,622.31,602.06,424.9,461959.38,-2894.09,145414.64,2494.21
High income: OECD,,2005,532.73,4544.82,1096.63,1754.32,1385.01,1232.41,1161.64,813.99,474872.07,-2945.79,168508.3,2271.71
High income: OECD,,2010,521.16,4413.1,1323.26,1837.44,2090.41,1102.46,2328.35,2985.68,472946.49,-3248.77,185602.77,2639.97
High income: OECD,,2014,499.62,4365.55,1600.4,2031.31,2049.48,344.93,2122.26,3494.51,499926.65,-5464.47,195928.6,3017.02
High income: non-OECD,,1995,945.52,1888.69,2040.92,1892.74,20060.97,3948.36,414.87,281,59375.97,3642.02,68725.65,2667.41
High income: non-OECD,,2000,871.89,1817.33,2407.05,1938.5,24229.06,3801.69,233.91,218.82,69451.04,6845.57,51475.23,2270.64
High income: non-OECD,,2005,922.18,1741.08,2480.31,1970.21,39450.5,7308.94,741.46,609.85,84507.29,7403.06,49684.31,2665.45
High income: non-OECD,,2010,670.18,1644.32,2149.35,1862.78,54857.39,6783.59,1347.97,2363.23,107517.68,9137.39,54769.14,2409.79
High income: non-OECD,,2014,601.95,1567.29,1851.41,1700.36,61935.38,7076.14,846.48,2215.85,111792.78,14005.04,59095.86,2309.61
Latin America & Caribbean,,1995,698.11,5474.82,1575.74,3840.68,2170.45,79.73,12.52,787.11,70897.94,-1927.14,25468.54,3214.53
Latin America & Caribbean,,2000,546.78,4939.94,1724.61,3280.72,2021.56,73.7,2.44,637.2,74398.19,-2722.65,25714.61,3061.79
Latin America & Caribbean,,2005,608.62,4493.1,2430.13,3686.29,3097.38,134.57,46.12,1631.05,78924.92,-2328.08,27858.75,3670.56
Latin America & Caribbean,,2010,607.69,4144.56,3187.88,3939.55,3893.74,191.16,155.41,4366.74,85812.83,-2690.25,30133.34,3810.88
