Entity,Code,Year,"Primary completion rate, gender parity index (GPI) (GPI)"
Afghanistan,AFG,1974,0.153280004858971
Afghanistan,AFG,1977,0.185310006141663
Afghanistan,AFG,1978,0.196439996361732
Afghanistan,AFG,1980,0.211219996213913
Afghanistan,AFG,1981,0.249070003628731
Afghanistan,AFG,1982,0.425159990787506
Afghanistan,AFG,1984,0.437790006399155
Afghanistan,AFG,1985,0.422239989042282
Afghanistan,AFG,1993,0.35291999578476
Albania,ALB,1996,1.00136005878448
Albania,ALB,2000,1.00692999362946
Albania,ALB,2001,1.00358998775482
Albania,ALB,2003,1.00268995761871
Albania,ALB,2004,1.00092005729675
Albania,ALB,2007,1.01198995113373
Albania,ALB,2008,0.993680000305176
Albania,ALB,2009,0.992150008678436
Albania,ALB,2010,0.972119987010956
Albania,ALB,2011,0.991760015487671
Albania,ALB,2012,0.982439994812012
Albania,ALB,2013,0.942579984664917
Albania,ALB,2014,0.999890029430389
Algeria,DZA,1972,0.564440011978149
Algeria,DZA,1973,0.583809971809387
Algeria,DZA,1974,0.574150025844574
Algeria,DZA,1975,0.608900010585785
Algeria,DZA,1976,0.630360007286072
Algeria,DZA,1977,0.64955997467041
Algeria,DZA,1978,0.658540010452271
Algeria,DZA,1979,0.676590025424957
Algeria,DZA,1980,0.707819998264313
Algeria,DZA,1981,0.69488000869751
Algeria,DZA,1982,0.750079989433289
Algeria,DZA,1983,0.75669002532959
Algeria,DZA,1984,0.748399972915649
Algeria,DZA,1985,0.73691999912262
Algeria,DZA,1986,0.767520010471344
Algeria,DZA,1987,0.789870023727417
Algeria,DZA,1988,0.799709975719452
Algeria,DZA,1989,0.80783998966217
Algeria,DZA,1990,0.817260026931763
Algeria,DZA,1991,0.855669975280762
Algeria,DZA,1992,0.860870003700256
Algeria,DZA,1993,0.864440023899078
Algeria,DZA,1994,0.877590000629425
Algeria,DZA,1995,0.899439990520477
Algeria,DZA,1996,0.917540013790131
Algeria,DZA,1997,0.950389981269836
Algeria,DZA,1999,0.969110012054443
Algeria,DZA,2000,0.993749976158142
Algeria,DZA,2001,0.993120014667511
Algeria,DZA,2002,0.995019972324371
Algeria,DZA,2003,0.989440023899078
Algeria,DZA,2004,1.00406002998352
Algeria,DZA,2005,0.992009997367859
Algeria,DZA,2006,0.976599991321564
Algeria,DZA,2007,1.01531004905701
Algeria,DZA,2008,0.899999976158142
Algeria,DZA,2009,1.01614999771118
Algeria,DZA,2010,0.991760015487671
Algeria,DZA,2011,0.988740026950836
Algeria,DZA,2012,0.988870024681091
Algeria,DZA,2013,0.989130020141602
Algeria,DZA,2014,1.00022995471954
Angola,AGO,2008,0.799520015716553
Angola,AGO,2009,0.804750025272369
Angola,AGO,2010,0.752449989318848
Angola,AGO,2011,0.577849984169006
Antigua and Barbuda,ATG,1975,1.01658999919891
Antigua and Barbuda,ATG,1976,0.956219971179962
Antigua and Barbuda,ATG,1992,0.868480026721954
Antigua and Barbuda,ATG,2008,0.980369985103607
Antigua and Barbuda,ATG,2009,1.0008499622345
Antigua and Barbuda,ATG,2010,0.990890026092529
Antigua and Barbuda,ATG,2011,0.924290001392365
Antigua and Barbuda,ATG,2014,0.829299986362457
Arab World,,1970,0.622699975967407
Arab World,,1971,0.621819972991943
Arab World,,1972,0.623470008373261
Arab World,,1973,0.62788999080658
Arab World,,1974,0.635900020599365
Arab World,,1975,0.635609984397888
Arab World,,1976,0.645449995994568
Arab World,,1977,0.648410022258759
