Entity,Code,Year,Any Opioids,Cocaine,Heroin,Opioid Pain Relievers
United States,USA,1999,2.951325655,1.401586413,0.718762219,1.477863193
United States,USA,2000,2.979489803,1.256014228,0.652815521,1.559385657
United States,USA,2001,3.330888987,1.345058799,0.624278545,1.939860344
United States,USA,2002,4.143239498,1.598955989,0.726292431,2.592262506
United States,USA,2003,4.460063934,1.792091608,0.716974497,2.93580389
United States,USA,2004,4.697660446,1.858914375,0.6413818,3.366400719
United States,USA,2005,5.0477705,2.100728035,0.679826438,3.697930813
United States,USA,2006,5.880087852,2.496146679,0.699779034,4.599170208
United States,USA,2007,6.14644146,2.161794662,0.796398222,4.783037186
United States,USA,2008,6.439457417,1.686649799,1.000019908,4.866917133
United States,USA,2009,6.65707159,1.417993426,1.068547726,5.08423996
United States,USA,2010,6.816914082,1.352198005,0.981418371,5.382607937
United States,USA,2011,7.310451984,1.501941085,1.410817146,5.42797184
United States,USA,2012,7.377108574,1.402555108,1.886952519,5.097797394
United States,USA,2013,7.922078609,1.5635432,2.611281633,5.134329319
United States,USA,2014,8.992556572,1.699818373,3.319275856,5.930686474
United States,USA,2015,10.31204414,2.114076614,4.047721386,7.042143822
