Entity,Code,Year,GAVI eligibility
Afghanistan,AFG,2019,GAVI eligible
Albania,ALB,2019,GAVI not eligible
Algeria,DZA,2019,GAVI not eligible
American Samoa,ASM,2019,GAVI not eligible
Andorra,AND,2019,GAVI not eligible
Angola,AGO,2019,GAVI not eligible
Antigua and Barbuda,ATG,2019,GAVI not eligible
Argentina,ARG,2019,GAVI not eligible
Armenia,ARM,2019,GAVI not eligible
Australia,AUS,2019,GAVI not eligible
Austria,AUT,2019,GAVI not eligible
Azerbaijan,AZE,2019,GAVI not eligible
Bahamas,BHS,2019,GAVI not eligible
Bahrain,BHR,2019,GAVI not eligible
Bangladesh,BGD,2019,GAVI eligible
Barbados,BRB,2019,GAVI not eligible
Belarus,BLR,2019,GAVI not eligible
Belgium,BEL,2019,GAVI not eligible
Belize,BLZ,2019,GAVI not eligible
Benin,BEN,2019,GAVI eligible
Bermuda,BMU,2019,GAVI not eligible
Bhutan,BTN,2019,GAVI not eligible
Bolivia,BOL,2019,GAVI not eligible
Bosnia and Herzegovina,BIH,2019,GAVI not eligible
Botswana,BWA,2019,GAVI not eligible
Brazil,BRA,2019,GAVI not eligible
Brunei,BRN,2019,GAVI not eligible
Bulgaria,BGR,2019,GAVI not eligible
Burkina Faso,BFA,2019,GAVI eligible
Burundi,BDI,2019,GAVI eligible
Cambodia,KHM,2019,GAVI eligible
Cameroon,CMR,2019,GAVI eligible
Canada,CAN,2019,GAVI not eligible
Cape Verde,CPV,2019,GAVI not eligible
Central African Republic,CAF,2019,GAVI eligible
Chad,TCD,2019,GAVI eligible
Chile,CHL,2019,GAVI not eligible
China,CHN,2019,GAVI not eligible
Colombia,COL,2019,GAVI not eligible
Comoros,COM,2019,GAVI eligible
Congo,COG,2019,GAVI eligible
Costa Rica,CRI,2019,GAVI not eligible
Cote d'Ivoire,CIV,2019,GAVI eligible
Croatia,HRV,2019,GAVI not eligible
Cuba,CUB,2019,GAVI not eligible
Cyprus,CYP,2019,GAVI not eligible
Czech Republic,CZE,2019,GAVI not eligible
Democratic Republic of Congo,COD,2019,GAVI eligible
Denmark,DNK,2019,GAVI not eligible
Djibouti,DJI,2019,GAVI eligible
Dominica,DMA,2019,GAVI not eligible
Dominican Republic,DOM,2019,GAVI not eligible
Ecuador,ECU,2019,GAVI not eligible
Egypt,EGY,2019,GAVI not eligible
El Salvador,SLV,2019,GAVI not eligible
Equatorial Guinea,GNQ,2019,GAVI not eligible
Eritrea,ERI,2019,GAVI eligible
Estonia,EST,2019,GAVI not eligible
Ethiopia,ETH,2019,GAVI eligible
Fiji,FJI,2019,GAVI not eligible
Finland,FIN,2019,GAVI not eligible
France,FRA,2019,GAVI not eligible
Gabon,GAB,2019,GAVI not eligible
Gambia,GMB,2019,GAVI eligible
Georgia,GEO,2019,GAVI not eligible
Germany,DEU,2019,GAVI not eligible
Ghana,GHA,2019,GAVI eligible
Greece,GRC,2019,GAVI not eligible
Greenland,GRL,2019,GAVI not eligible
Grenada,GRD,2019,GAVI not eligible
Guam,GUM,2019,GAVI not eligible
Guatemala,GTM,2019,GAVI not eligible
Guinea,GIN,2019,GAVI eligible
Guinea-Bissau,GNB,2019,GAVI eligible
Guyana,GUY,2019,GAVI not eligible
Haiti,HTI,2019,GAVI eligible
Honduras,HND,2019,GAVI not eligible
Hungary,HUN,2019,GAVI not eligible
Iceland,ISL,2019,GAVI not eligible
India,IND,2019,GAVI eligible
Indonesia,IDN,2019,GAVI not eligible
Iran,IRN,2019,GAVI not eligible
Iraq,IRQ,2019,GAVI not eligible
Ireland,IRL,2019,GAVI not eligible
Israel,ISR,2019,GAVI not eligible
Italy,ITA,2019,GAVI not eligible
Jamaica,JAM,2019,GAVI not eligible
Japan,JPN,2019,GAVI not eligible
Jordan,JOR,2019,GAVI not eligible
Kazakhstan,KAZ,2019,GAVI not eligible
Kenya,KEN,2019,GAVI eligible
Kiribati,KIR,2019,GAVI not eligible
Kuwait,KWT,2019,GAVI not eligible
Kyrgyzstan,KGZ,2019,GAVI eligible
Laos,LAO,2019,GAVI eligible
Latvia,LVA,2019,GAVI not eligible
Lebanon,LBN,2019,GAVI not eligible
Lesotho,LSO,2019,GAVI eligible
Liberia,LBR,2019,GAVI eligible
Libya,LBY,2019,GAVI not eligible
Lithuania,LTU,2019,GAVI not eligible
Luxembourg,LUX,2019,GAVI not eligible
Macedonia,MKD,2019,GAVI not eligible
Madagascar,MDG,2019,GAVI eligible
Malawi,MWI,2019,GAVI eligible
Malaysia,MYS,2019,GAVI not eligible
Maldives,MDV,2019,GAVI not eligible
Mali,MLI,2019,GAVI eligible
Malta,MLT,2019,GAVI not eligible
Marshall Islands,MHL,2019,GAVI not eligible
Mauritania,MRT,2019,GAVI eligible
Mauritius,MUS,2019,GAVI not eligible
Mexico,MEX,2019,GAVI not eligible
Micronesia (country),FSM,2019,GAVI not eligible
Moldova,MDA,2019,GAVI not eligible
Mongolia,MNG,2019,GAVI not eligible
Montenegro,MNE,2019,GAVI not eligible
Morocco,MAR,2019,GAVI not eligible
Mozambique,MOZ,2019,GAVI eligible
Myanmar,MMR,2019,GAVI eligible
Namibia,NAM,2019,GAVI not eligible
Nepal,NPL,2019,GAVI eligible
Netherlands,NLD,2019,GAVI not eligible
New Zealand,NZL,2019,GAVI not eligible
Nicaragua,NIC,2019,GAVI eligible
Niger,NER,2019,GAVI eligible
Nigeria,NGA,2019,GAVI eligible
North Korea,PRK,2019,GAVI eligible
Northern Mariana Islands,MNP,2019,GAVI not eligible
Norway,NOR,2019,GAVI not eligible
Oman,OMN,2019,GAVI not eligible
Pakistan,PAK,2019,GAVI eligible
Palestine,PSE,2019,GAVI not eligible
Panama,PAN,2019,GAVI not eligible
Papua New Guinea,PNG,2019,GAVI eligible
Paraguay,PRY,2019,GAVI not eligible
Peru,PER,2019,GAVI not eligible
Philippines,PHL,2019,GAVI not eligible
Poland,POL,2019,GAVI not eligible
Portugal,PRT,2019,GAVI not eligible
Puerto Rico,PRI,2019,GAVI not eligible
Qatar,QAT,2019,GAVI not eligible
Romania,ROU,2019,GAVI not eligible
Russia,RUS,2019,GAVI not eligible
Rwanda,RWA,2019,GAVI eligible
Saint Lucia,LCA,2019,GAVI not eligible
Saint Vincent and the Grenadines,VCT,2019,GAVI not eligible
Samoa,WSM,2019,GAVI not eligible
Sao Tome and Principe,STP,2019,GAVI eligible
Saudi Arabia,SAU,2019,GAVI not eligible
Senegal,SEN,2019,GAVI eligible
Serbia,SRB,2019,GAVI not eligible
Seychelles,SYC,2019,GAVI not eligible
Sierra Leone,SLE,2019,GAVI eligible
Singapore,SGP,2019,GAVI not eligible
Slovakia,SVK,2019,GAVI not eligible
Slovenia,SVN,2019,GAVI not eligible
Solomon Islands,SLB,2019,GAVI eligible
Somalia,SOM,2019,GAVI eligible
South Africa,ZAF,2019,GAVI not eligible
South Korea,KOR,2019,GAVI not eligible
South Sudan,SSD,2019,GAVI eligible
Spain,ESP,2019,GAVI not eligible
Sri Lanka,LKA,2019,GAVI not eligible
Sudan,SDN,2019,GAVI not eligible
Suriname,SUR,2019,GAVI not eligible
Swaziland,SWZ,2019,GAVI not eligible
Sweden,SWE,2019,GAVI not eligible
Switzerland,CHE,2019,GAVI not eligible
Syria,SYR,2019,GAVI eligible
Taiwan,TWN,2019,GAVI not eligible
Tajikistan,TJK,2019,GAVI eligible
Tanzania,TZA,2019,GAVI eligible
Thailand,THA,2019,GAVI not eligible
Timor,TLS,2019,GAVI not eligible
Togo,TGO,2019,GAVI eligible
Tonga,TON,2019,GAVI not eligible
Trinidad and Tobago,TTO,2019,GAVI not eligible
Tunisia,TUN,2019,GAVI not eligible
Turkey,TUR,2019,GAVI not eligible
Turkmenistan,TKM,2019,GAVI not eligible
Uganda,UGA,2019,GAVI eligible
Ukraine,UKR,2019,GAVI not eligible
United Arab Emirates,ARE,2019,GAVI not eligible
United Kingdom,GBR,2019,GAVI not eligible
United States,USA,2019,GAVI not eligible
United States Virgin Islands,VIR,2019,GAVI not eligible
Uruguay,URY,2019,GAVI not eligible
Uzbekistan,UZB,2019,GAVI eligible
Vanuatu,VUT,2019,GAVI not eligible
Venezuela,VEN,2019,GAVI not eligible
Vietnam,VNM,2019,GAVI eligible
Yemen,YEM,2019,GAVI eligible
Zambia,ZMB,2019,GAVI eligible
Zimbabwe,ZWE,2019,GAVI eligible
