Entity,Code,Year,"Mortality caused by road traffic injury (per 100,000 people) (per 100,000 people)"
Afghanistan,AFG,2000,15.5
Afghanistan,AFG,2005,15.3
Afghanistan,AFG,2010,15.3
Afghanistan,AFG,2015,15.2
Albania,ALB,2000,15.4
Albania,ALB,2005,15.9
Albania,ALB,2010,15.4
Albania,ALB,2015,13.6
Algeria,DZA,2000,23.5
Algeria,DZA,2005,24
Algeria,DZA,2010,24.7
Algeria,DZA,2015,23.7
Angola,AGO,2000,20
Angola,AGO,2005,20.5
Angola,AGO,2010,20.8
Angola,AGO,2015,24.4
Antigua and Barbuda,ATG,2000,8.9
Antigua and Barbuda,ATG,2005,5.9
Antigua and Barbuda,ATG,2010,5.7
Antigua and Barbuda,ATG,2015,11.5
Arab World,,2000,19.3163162287513
Arab World,,2005,19.8256918615344
Arab World,,2010,20.626398634617
Arab World,,2015,19.7845533204005
Argentina,ARG,2000,11.4
Argentina,ARG,2005,11.3
Argentina,ARG,2010,12.9
Argentina,ARG,2015,14.1
Armenia,ARM,2000,19.8
Armenia,ARM,2005,16.6
Armenia,ARM,2010,16
Armenia,ARM,2015,15.7
Australia,AUS,2000,9.5
Australia,AUS,2005,8.1
Australia,AUS,2010,6.4
Australia,AUS,2015,5.4
Austria,AUT,2000,12.2
Austria,AUT,2005,9.3
Austria,AUT,2010,6.7
Austria,AUT,2015,5.7
Azerbaijan,AZE,2000,8
Azerbaijan,AZE,2005,13.8
Azerbaijan,AZE,2010,11
Azerbaijan,AZE,2015,10
Bahamas,BHS,2000,19.2
Bahamas,BHS,2005,16.9
Bahamas,BHS,2010,10.3
Bahamas,BHS,2015,11
Bahrain,BHR,2000,12.4
Bahrain,BHR,2005,15.8
Bahrain,BHR,2010,10.8
Bahrain,BHR,2015,7.1
Bangladesh,BGD,2000,14
Bangladesh,BGD,2005,14.3
Bangladesh,BGD,2010,14.1
Bangladesh,BGD,2015,12.8
Barbados,BRB,2000,14.2
Barbados,BRB,2005,8.8
Barbados,BRB,2010,8.5
Barbados,BRB,2015,5.5
Belarus,BLR,2000,19
Belarus,BLR,2005,24.3
Belarus,BLR,2010,22.7
Belarus,BLR,2015,12.6
Belgium,BEL,2000,14.8
Belgium,BEL,2005,11
Belgium,BEL,2010,8.1
Belgium,BEL,2015,7.1
Belize,BLZ,2000,30.8
Belize,BLZ,2005,34.6
Belize,BLZ,2010,13.5
Belize,BLZ,2015,21.3
Benin,BEN,2000,28
Benin,BEN,2005,29.2
Benin,BEN,2010,29.8
Benin,BEN,2015,27.7
Bhutan,BTN,2000,16.1
Bhutan,BTN,2005,17.3
Bhutan,BTN,2010,17.6
Bhutan,BTN,2015,15
Bolivia,BOL,2000,14
Bolivia,BOL,2005,15.1
Bolivia,BOL,2010,16
Bolivia,BOL,2015,23.3
Bosnia and Herzegovina,BIH,2000,18.4
Bosnia and Herzegovina,BIH,2005,17.3
Bosnia and Herzegovina,BIH,2010,17
Bosnia and Herzegovina,BIH,2015,16.6
Botswana,BWA,2000,24.5
Botswana,BWA,2005,22.4
Botswana,BWA,2010,23.8
Botswana,BWA,2015,21
Brazil,BRA,2000,15.9
Brazil,BRA,2005,18.2
Brazil,BRA,2010,20.8
Brazil,BRA,2015,22.6
Brunei,BRN,2000,15.6
Brunei,BRN,2005,14.2
Brunei,BRN,2010,7.3
Brunei,BRN,2015,8
Bulgaria,BGR,2000,12.6
Bulgaria,BGR,2005,12.4
Bulgaria,BGR,2010,10.5
Bulgaria,BGR,2015,7.6
Burkina Faso,BFA,2000,24.9
Burkina Faso,BFA,2005,29
Burkina Faso,BFA,2010,30.4
Burkina Faso,BFA,2015,30.7
Burundi,BDI,2000,29.9
Burundi,BDI,2005,30.9
Burundi,BDI,2010,31.5
Burundi,BDI,2015,32.7
Cambodia,KHM,2000,20
Cambodia,KHM,2005,19.2
Cambodia,KHM,2010,20.7
Cambodia,KHM,2015,19
Cameroon,CMR,2000,27.2
Cameroon,CMR,2005,28.4
Cameroon,CMR,2010,29.2
Cameroon,CMR,2015,28.1
Canada,CAN,2000,9.4
Canada,CAN,2005,9.4
Canada,CAN,2010,7.3
Canada,CAN,2015,5.8
Cape Verde,CPV,2000,22.8
Cape Verde,CPV,2005,21.7
Cape Verde,CPV,2010,21.9
Cape Verde,CPV,2015,21.3
Caribbean small states,,2000,15.693916476935
Caribbean small states,,2005,16.9108755423628
Caribbean small states,,2010,13.1814516708494
Caribbean small states,,2015,12.6386032606438
Central African Republic,CAF,2000,29.7
Central African Republic,CAF,2005,29.8
Central African Republic,CAF,2010,29.9
Central African Republic,CAF,2015,31.8
Central Europe and the Baltics,,2000,15.8837284248306
Central Europe and the Baltics,,2005,14.8459595555836
Central Europe and the Baltics,,2010,10.5370801411745
Central Europe and the Baltics,,2015,8.64385053960743
Chad,TCD,2000,25.5
Chad,TCD,2005,25.1
Chad,TCD,2010,28.2
Chad,TCD,2015,24.3
Chile,CHL,2000,17.3
Chile,CHL,2005,17
Chile,CHL,2010,12.1
Chile,CHL,2015,11.6
China,CHN,2000,21.7
China,CHN,2005,21.2
China,CHN,2010,20.7
China,CHN,2015,19.4
Colombia,COL,2000,20.4
Colombia,COL,2005,17.6
Colombia,COL,2010,17.8
Colombia,COL,2015,18.9
Comoros,COM,2000,27.9
Comoros,COM,2005,28.2
Comoros,COM,2010,28.5
Comoros,COM,2015,28.6
Congo,COG,2000,25.8
Congo,COG,2005,26.4
Congo,COG,2010,27.4
Congo,COG,2015,26.7
Costa Rica,CRI,2000,17.8
Costa Rica,CRI,2005,14.2
Costa Rica,CRI,2010,13.6
Costa Rica,CRI,2015,14.9
Cote d'Ivoire,CIV,2000,27.7
Cote d'Ivoire,CIV,2005,26.3
Cote d'Ivoire,CIV,2010,26.1
Cote d'Ivoire,CIV,2015,24
Croatia,HRV,2000,14.6
Croatia,HRV,2005,13.6
Croatia,HRV,2010,10.4
Croatia,HRV,2015,9.2
Cuba,CUB,2000,15.7
Cuba,CUB,2005,11.4
Cuba,CUB,2010,8.3
Cuba,CUB,2015,7.6
Cyprus,CYP,2000,11.6
Cyprus,CYP,2005,11.4
Cyprus,CYP,2010,7.6
Cyprus,CYP,2015,6.5
Czech Republic,CZE,2000,14.5
Czech Republic,CZE,2005,12.6
Czech Republic,CZE,2010,7.6
Czech Republic,CZE,2015,6.5
Democratic Republic of Congo,COD,2000,28.6
Democratic Republic of Congo,COD,2005,31.8
Democratic Republic of Congo,COD,2010,34.4
Democratic Republic of Congo,COD,2015,33.5
Denmark,DNK,2000,9.5
Denmark,DNK,2005,6.4
Denmark,DNK,2010,4.9
Denmark,DNK,2015,3.4
Djibouti,DJI,2000,27.3
Djibouti,DJI,2005,28.9
Djibouti,DJI,2010,31.2
Djibouti,DJI,2015,24.9
Dominican Republic,DOM,2000,28.1
Dominican Republic,DOM,2005,27.5
Dominican Republic,DOM,2010,25.7
Dominican Republic,DOM,2015,27.8
Early-demographic dividend,,2000,16.5337854794312
Early-demographic dividend,,2005,17.5057149344747
Early-demographic dividend,,2010,18.6161829992485
Early-demographic dividend,,2015,18.9904050045957
East Asia & Pacific,,2000,20.1028471389522
East Asia & Pacific,,2005,19.3407865440647
East Asia & Pacific,,2010,18.7153110022212
East Asia & Pacific,,2015,17.8609819871661
East Asia & Pacific (IDA & IBRD),,2000,20.7392029063222
East Asia & Pacific (IDA & IBRD),,2005,20.3317928291818
East Asia & Pacific (IDA & IBRD),,2010,19.9949574676485
East Asia & Pacific (IDA & IBRD),,2015,19.1040769986317
East Asia & Pacific (excluding high income),,2000,20.7399706122016
East Asia & Pacific (excluding high income),,2005,20.3301306657971
East Asia & Pacific (excluding high income),,2010,20.0050267688164
East Asia & Pacific (excluding high income),,2015,19.1238423745158
Ecuador,ECU,2000,13.7
Ecuador,ECU,2005,16.7
Ecuador,ECU,2010,24.4
Ecuador,ECU,2015,20.7
Egypt,EGY,2000,11.4
Egypt,EGY,2005,11.2
Egypt,EGY,2010,14.9
Egypt,EGY,2015,13.3
El Salvador,SLV,2000,35.6
