Entity,Code,Year,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal) (Rate)"
Albania,ALB,1990,5.33483423454112
Albania,ALB,2000,3.92925307722818
Albania,ALB,2006,7.72422655751253
Algeria,DZA,1970,19.5829076180202
Algeria,DZA,1975,20.7493161813618
Algeria,DZA,1980,23.3387110355055
Algeria,DZA,1985,25.3041761622266
Algeria,DZA,1990,20.7370941043687
Algeria,DZA,2001,19.9343786538259
Algeria,DZA,2012,21.9547845687789
Angola,AGO,1987,50.8156350540869
Angola,AGO,2000,44.167953228452
Angola,AGO,2005,66.158504613032
Antigua and Barbuda,ATG,1990,407.25000631762
Antigua and Barbuda,ATG,2005,225.007938362868
Antigua and Barbuda,ATG,2012,265.472758104159
Arab World,,1975,1.37837191551898
Arab World,,1980,4.89041643312534
Arab World,,1985,3.21204534127691
Arab World,,1990,3.78587946281126
Arab World,,1991,23.9326056797825
Arab World,,1992,14.4979404061449
Arab World,,1994,53.551350253894
Arab World,,1995,2.8977593372421
Arab World,,1999,39.4569477216427
Arab World,,2000,4.42256933524101
Arab World,,2001,17.125840409838
Arab World,,2002,9.75267340640708
Arab World,,2003,41.9940317937827
Arab World,,2005,30.6054802710068
Arab World,,2006,20.9572900294464
Arab World,,2007,24.7622448758439
Arab World,,2010,3.70891350167975
Arab World,,2011,3.56748606588002
Arab World,,2012,18.2100366170305
Arab World,,2015,27.3608794205022
Argentina,ARG,1976,6.99518722422986
Argentina,ARG,1995,9.34258958355323
Argentina,ARG,2011,11.9146141648289
Armenia,ARM,1995,1.14784108585936
Armenia,ARM,2002,3.08447059601928
Armenia,ARM,2007,3.45456340116123
Armenia,ARM,2012,3.53403456300794
Armenia,ARM,2015,3.50826423738961
Australia,AUS,1996,32.4614824973
Australia,AUS,2001,40.2390646486487
Australia,AUS,2005,53.725429044078
Australia,AUS,2012,78.8306203312068
Australia,AUS,2015,78.2938245163893
Austria,AUT,1980,62.3751214344869
Austria,AUT,1985,62.6329890617606
Austria,AUT,1990,68.3822929863531
