Entity,Code,Year, ($)
Albania,ALB,1981,0
Albania,ALB,1984,0.201115
Albania,ALB,1987,0.427196
Albania,ALB,1990,0.6844845
Albania,ALB,1993,1.5680035
Albania,ALB,1996,4.1769505
Albania,ALB,1999,10.9996035
Albania,ALB,2002,8.2491825
Albania,ALB,2005,3.757383
Albania,ALB,2008,1.4320775
Albania,ALB,2010,3.0271275
Albania,ALB,2011,3.62007
Albania,ALB,2012,4.42453
Albania,ALB,2013,4.0223
Angola,AGO,1981,1137.68675
Angola,AGO,1984,1235.350968
Angola,AGO,1987,1315.899606
Angola,AGO,1990,1390.129766
Angola,AGO,1993,1494.336463
Angola,AGO,1996,1597.972409
Angola,AGO,1999,1696.96676
Angola,AGO,2002,1826.668598
Angola,AGO,2005,1981.083308
Angola,AGO,2008,1312.612416
Angola,AGO,2010,1433.345218
Angola,AGO,2011,1466.763596
Angola,AGO,2012,1463.402895
Angola,AGO,2013,1392.07642
Argentina,ARG,1981,36.281146
Argentina,ARG,1984,15.803478
Argentina,ARG,1987,0
Argentina,ARG,1990,102.668514
Argentina,ARG,1993,259.4556875
Argentina,ARG,1996,625.14864
Argentina,ARG,1999,576.50655
Argentina,ARG,2002,1314.964768
Argentina,ARG,2005,555.078787
Argentina,ARG,2008,362.8648595
Argentina,ARG,2010,252.260625
Argentina,ARG,2011,218.499658
Argentina,ARG,2012,205.2142785
Argentina,ARG,2013,256.282925
Armenia,ARM,1981,19.4422725
Armenia,ARM,1984,29.4328335
Armenia,ARM,1987,44.390935
Armenia,ARM,1990,63.338742
Armenia,ARM,1993,202.859846
Armenia,ARM,1996,105.962639
Armenia,ARM,1999,87.2166405
Armenia,ARM,2002,68.3201525
Armenia,ARM,2005,18.9956585
Armenia,ARM,2008,6.613216
Armenia,ARM,2010,8.416316
Armenia,ARM,2011,8.650719
Armenia,ARM,2012,6.819879
Armenia,ARM,2013,11.611964
Azerbaijan,AZE,1981,9.550882
Azerbaijan,AZE,1984,10.935108
Azerbaijan,AZE,1987,12.423359
Azerbaijan,AZE,1990,13.903288
Azerbaijan,AZE,1993,49.932
Azerbaijan,AZE,1996,101.711484
Azerbaijan,AZE,1999,52.574235
Azerbaijan,AZE,2002,0
Azerbaijan,AZE,2005,0
Azerbaijan,AZE,2008,9.720096
Azerbaijan,AZE,2010,13.1799675
Azerbaijan,AZE,2011,8.903153
Azerbaijan,AZE,2012,8.384415
Azerbaijan,AZE,2013,8.492601
Bangladesh,BGD,1981,5020.77356
Bangladesh,BGD,1984,5394.808624
Bangladesh,BGD,1987,6357.460135
Bangladesh,BGD,1990,7599.603242
Bangladesh,BGD,1993,7182.629432
Bangladesh,BGD,1996,6964.244895
Bangladesh,BGD,1999,7375.199125
Bangladesh,BGD,2002,6698.313305
Bangladesh,BGD,2005,4658.731885
Bangladesh,BGD,2008,3752.615188
Bangladesh,BGD,2010,3480.414357
Bangladesh,BGD,2011,2766.13571
Bangladesh,BGD,2012,2433.405506
Bangladesh,BGD,2013,2016.32351
Belarus,BLR,1981,4.040331
Belarus,BLR,1984,4.8108095
