Entity,Code,Year,Personal contacts (%),Direct applications (%),Adverts (%),Agencies (%),Other (%)
Austria,AUT,1996,27.1,51.9,9.9,6.4,4.8
Belgium,BEL,1996,25.9,36.9,14.8,10.7,11.6
Denmark,DNK,1996,17.7,33.6,31.3,5.7,11.8
Finland,FIN,1996,13.3,57.6,19,10.2,0
France,FRA,1996,34.4,27.4,9.6,10.6,18.1
Germany,DEU,1996,32.2,11.5,17.7,10.2,28.4
Greece,GRC,1996,41,36,7,1.6,14.3
Ireland,IRL,1996,26.4,39.7,17.9,10.6,5.4
Italy,ITA,1996,25.5,37.1,5.1,8.1,24.1
Luxembourg,LUX,1996,37.2,31.1,21.4,7.9,2.4
Netherlands,NLD,1996,17.3,17.4,29.6,18,17.7
Portugal,PRT,1996,38.5,40.8,8.2,3.1,9.4
Spain,ESP,1996,45,30.1,5.9,6.4,12.7
United Kingdom,GBR,1996,23,31.7,25.8,16,3.6
