Entity,Code,Year,Suite of Food Security Indicators - Prevalence of severe food insecurity in the total population (percent) (3-year average) - 210401 - Value - 6121 - % (%)
Afghanistan,AFG,2015,15.4
Afghanistan,AFG,2016,16
Afghanistan,AFG,2017,18.3
Africa,,2015,19.7
Africa,,2016,21.3
Africa,,2017,22.1
Albania,ALB,2015,10.1
Albania,ALB,2016,10.5
Albania,ALB,2017,11.1
Angola,AGO,2015,22.2
Argentina,ARG,2015,5.8
Argentina,ARG,2016,8.7
Argentina,ARG,2017,11.3
Armenia,ARM,2015,3.2
Armenia,ARM,2016,4
Armenia,ARM,2017,4
Asia,,2015,6.4
Asia,,2016,6.2
Asia,,2017,6.7
"Asia, Central",,2015,2.2
"Asia, Central",,2016,2.7
"Asia, Central",,2017,3.2
Australia,AUS,2015,2.7
Australia,AUS,2016,3.2
Australia,AUS,2017,3.5
Australia & New Zealand,,2015,2.7
Australia & New Zealand,,2016,3.2
Australia & New Zealand,,2017,3.6
Austria,AUT,2015,1.1
Austria,AUT,2016,1.2
Austria,AUT,2017,1.2
Bangladesh,BGD,2015,11
Bangladesh,BGD,2016,10.6
Bangladesh,BGD,2017,10.2
Belgium,BEL,2015,3.1
Belgium,BEL,2016,3.3
Belgium,BEL,2017,3.6
Bosnia and Herzegovina,BIH,2015,1.4
Bosnia and Herzegovina,BIH,2016,1.5
Bosnia and Herzegovina,BIH,2017,1.1
Botswana,BWA,2015,35
Botswana,BWA,2016,39.8
Botswana,BWA,2017,41.3
Bulgaria,BGR,2015,1.7
Bulgaria,BGR,2016,2.2
Bulgaria,BGR,2017,2.1
Burkina Faso,BFA,2015,9.1
Cambodia,KHM,2015,17.1
Cambodia,KHM,2016,14.4
Cambodia,KHM,2017,14.2
Cameroon,CMR,2015,35.6
Cameroon,CMR,2016,41.1
Cameroon,CMR,2017,44.2
Canada,CAN,2015,0.6
Canada,CAN,2016,0.6
Cape Verde,CPV,2017,9.6
Central America,,2015,10.5
Central America,,2016,10.5
Central America,,2017,10.6
Central and Southern Asia,,2015,11.9
Central and Southern Asia,,2016,11
Central and Southern Asia,,2017,11.7
Chile,CHL,2017,3.4
China,CHN,2015,0.6
China,CHN,2016,0.8
China,CHN,2017,1.1
Costa Rica,CRI,2015,4.8
Costa Rica,CRI,2016,4.8
Costa Rica,CRI,2017,5.2
Cote d'Ivoire,CIV,2016,28.6
Croatia,HRV,2015,0.7
Croatia,HRV,2016,0.8
Croatia,HRV,2017,0.9
Czech Republic,CZE,2015,0.6
Denmark,DNK,2015,0.8
Denmark,DNK,2016,1
Denmark,DNK,2017,1
East Asia (exc China),,2017,0.6
Eastern Africa,,2015,25.7
Eastern Africa,,2016,27.3
Eastern Africa,,2017,27.5
Eastern Asia,,2015,0.6
Eastern Asia,,2016,0.8
Eastern Asia,,2017,1
Eastern Europe,,2015,1.2
Eastern Europe,,2016,1.1
Eastern Europe,,2017,1
Eastern and South-Eastern Asia,,2015,1.6
Eastern and South-Eastern Asia,,2016,1.9
Eastern and South-Eastern Asia,,2017,2.2
Ecuador,ECU,2015,7.1
Ecuador,ECU,2016,7.1
Ecuador,ECU,2017,7.1
Egypt,EGY,2015,9.4
Egypt,EGY,2016,10.1
Egypt,EGY,2017,10.1
El Salvador,SLV,2015,13.5
El Salvador,SLV,2016,13
El Salvador,SLV,2017,12.7
Estonia,EST,2015,1.1
Estonia,EST,2016,1
Estonia,EST,2017,1.3
Europe,,2015,1.6
Europe,,2016,1.5
Europe,,2017,1.2
Europe and Northern America,,2015,1.4
Europe and Northern America,,2016,1.3
Europe and Northern America,,2017,1.1
"Europe, Western",,2015,1.3
"Europe, Western",,2016,1.2
"Europe, Western",,2017,1
Finland,FIN,2015,2.3
Finland,FIN,2016,2.2
Finland,FIN,2017,2
France,FRA,2015,1.5
France,FRA,2016,1.2
France,FRA,2017,0.8
Gambia,GMB,2016,31.3
Gambia,GMB,2017,31.3
Georgia,GEO,2015,7
Georgia,GEO,2016,8
Georgia,GEO,2017,7.6
Germany,DEU,2015,0.9
Germany,DEU,2016,0.8
Germany,DEU,2017,0.7
Ghana,GHA,2015,7.9
Ghana,GHA,2016,7.9
Ghana,GHA,2017,7.9
Greece,GRC,2015,2.3
Greece,GRC,2016,2.8
Greece,GRC,2017,2.8
Guatemala,GTM,2015,15.6
Guatemala,GTM,2016,16.5
Guatemala,GTM,2017,16.4
Guinea,GIN,2015,41.3
Guinea,GIN,2016,43.1
Guinea,GIN,2017,46.5
High income,,2015,1.8
High income,,2016,1.9
High income,,2017,1.9
Honduras,HND,2015,18.5
Honduras,HND,2016,17.3
Honduras,HND,2017,17.7
Hong Kong,HKG,2015,0.8
Hong Kong,HKG,2016,0.6
Hong Kong,HKG,2017,0.5
Hungary,HUN,2015,1.2
Hungary,HUN,2016,1
Hungary,HUN,2017,0.8
Iceland,ISL,2015,1.7
Iceland,ISL,2016,1.6
Iceland,ISL,2017,1.5
Indonesia,IDN,2016,1.1
Indonesia,IDN,2017,1
Ireland,IRL,2015,3.6
Ireland,IRL,2016,2.7
Ireland,IRL,2017,2.8
Israel,ISR,2015,1.1
Israel,ISR,2016,1
Israel,ISR,2017,1.2
Italy,ITA,2015,1.1
Italy,ITA,2016,1
Italy,ITA,2017,1
Japan,JPN,2017,0.6
Kazakhstan,KAZ,2015,0.9
Kazakhstan,KAZ,2016,1.4
Kazakhstan,KAZ,2017,1.9
Kenya,KEN,2015,19.1
Kenya,KEN,2016,19.1
Kenya,KEN,2017,19.1
Kyrgyzstan,KGZ,2015,4.7
Kyrgyzstan,KGZ,2016,4.4
Kyrgyzstan,KGZ,2017,5.1
Land Locked Developing Countries,,2015,17.4
Land Locked Developing Countries,,2016,18.7
Land Locked Developing Countries,,2017,19.6
Latvia,LVA,2015,1.4
Latvia,LVA,2016,1.3
Latvia,LVA,2017,1.2
Least Developed Countries,,2015,20.3
Least Developed Countries,,2016,21.7
Least Developed Countries,,2017,22.4
Lesotho,LSO,2015,50.1
Lesotho,LSO,2016,50
Lesotho,LSO,2017,50
Liberia,LBR,2015,62.4
Liberia,LBR,2016,61.7
Liberia,LBR,2017,62.2
Lithuania,LTU,2015,0.5
Low income,,2015,23
Low income,,2016,25
Low income,,2017,25.8
Lower middle income,,2015,10.7
Lower middle income,,2016,10.3
Lower middle income,,2017,10.9
Luxembourg,LUX,2015,1.2
Luxembourg,LUX,2016,1
Luxembourg,LUX,2017,0.8
Macedonia,MKD,2015,3.7
Macedonia,MKD,2016,3.2
Macedonia,MKD,2017,3.2
Malawi,MWI,2015,51.7
Malawi,MWI,2016,51.7
Malawi,MWI,2017,51.7
Mauritius,MUS,2015,5.2
Mauritius,MUS,2016,5.9
Mauritius,MUS,2017,6.2
Mexico,MEX,2015,9
Mexico,MEX,2016,8.9
Mexico,MEX,2017,8.9
Moldova,MDA,2015,1.6
Moldova,MDA,2016,2.1
Moldova,MDA,2017,2.8
Mongolia,MNG,2015,3.2
Mongolia,MNG,2016,4.7
Mongolia,MNG,2017,5.4
Montenegro,MNE,2015,2.2
Montenegro,MNE,2016,2.3
Montenegro,MNE,2017,2.1
Mozambique,MOZ,2015,39.5
Mozambique,MOZ,2016,42.1
Mozambique,MOZ,2017,42.5
Namibia,NAM,2015,41.4
Namibia,NAM,2016,39.8
Namibia,NAM,2017,39
Nepal,NPL,2015,8.8
Nepal,NPL,2016,7.8
Nepal,NPL,2017,7.8
Netherlands,NLD,2015,1.5
Netherlands,NLD,2016,1.7
Netherlands,NLD,2017,1.3
New Zealand,NZL,2015,2.7
New Zealand,NZL,2016,3.2
New Zealand,NZL,2017,4.1
Niger,NER,2015,31
Niger,NER,2016,42.4
Niger,NER,2017,51.7
Nigeria,NGA,2015,6.5
Nigeria,NGA,2016,6.5
North Africa (exc Sudan),,2015,8.4
North Africa (exc Sudan),,2016,8.9
North Africa (exc Sudan),,2017,9.1
Northern Africa,,2015,8.4
Northern Africa,,2016,8.9
Northern Africa,,2017,9.1
Northern Africa and Western Asia,,2015,8.7
Northern Africa and Western Asia,,2016,9.2
Northern Africa and Western Asia,,2017,9.5
Northern America,,2015,1
Northern America,,2016,1
Northern America,,2017,1
Northern Europe,,2015,3.1
Northern Europe,,2016,2.7
Northern Europe,,2017,1.7
Norway,NOR,2015,1.1
Norway,NOR,2016,1.2
Norway,NOR,2017,1.1
Palestine,PSE,2017,4.4
Philippines,PHL,2015,11.2
Philippines,PHL,2016,12.9
Philippines,PHL,2017,15
Poland,POL,2015,1.7
Poland,POL,2016,1.1
Poland,POL,2017,0.7
Portugal,PRT,2015,4.2
Portugal,PRT,2016,3.7
Portugal,PRT,2017,3.2
Romania,ROU,2015,5.5
Romania,ROU,2016,4.7
Romania,ROU,2017,4
Saint Lucia,LCA,2015,4.5
Saint Lucia,LCA,2016,4.5
Saint Lucia,LCA,2017,4.5
Serbia,SRB,2015,1.3
Serbia,SRB,2016,1.8
Serbia,SRB,2017,1.6
Seychelles,SYC,2015,3.2
Seychelles,SYC,2016,3.2
Seychelles,SYC,2017,3.2
Sierra Leone,SLE,2015,62.2
Sierra Leone,SLE,2016,70.6
Sierra Leone,SLE,2017,72.7
Singapore,SGP,2015,0.7
Singapore,SGP,2016,0.8
Singapore,SGP,2017,1
Slovakia,SVK,2015,0.5
South Africa,ZAF,2015,22
South Africa,ZAF,2016,25.5
South Africa,ZAF,2017,29.2
South America,,2015,6
South America,,2016,7.1
South America,,2017,8.2
South Asia (exc India),,2015,9.9
South Asia (exc India),,2016,9.3
South Asia (exc India),,2017,9.2
South Eastern Asia,,2015,4.1
South Eastern Asia,,2016,4.6
South Eastern Asia,,2017,5.1
Southern Africa,,2015,24.3
Southern Africa,,2016,27.4
Southern Africa,,2017,30.7
Southern Asia,,2015,12.2
Southern Asia,,2016,11.3
Southern Asia,,2017,12
Southern Europe,,2015,1.6
Southern Europe,,2016,1.7
Southern Europe,,2017,1.7
Spain,ESP,2015,1.2
Spain,ESP,2016,1.4
Spain,ESP,2017,1.5
Sub-Saharan Africa,,2015,22.3
Sub-Saharan Africa,,2016,24.1
Sub-Saharan Africa,,2017,25.1
Sub-Saharan Africa (inc. Sudan),,2015,21.8
Sub-Saharan Africa (inc. Sudan),,2016,23.6
Sub-Saharan Africa (inc. Sudan),,2017,24.4
Swaziland,SWZ,2017,29.5
Sweden,SWE,2015,0.8
Sweden,SWE,2016,1
Sweden,SWE,2017,1
Switzerland,CHE,2015,1.1
Switzerland,CHE,2016,1.3
Switzerland,CHE,2017,0.8
Taiwan,TWN,2015,0.5
Taiwan,TWN,2016,0.5
Taiwan,TWN,2017,0.5
Tajikistan,TJK,2015,5.3
Tajikistan,TJK,2016,7.8
Tajikistan,TJK,2017,9.6
Tanzania,TZA,2015,30.9
Tanzania,TZA,2016,36.2
Tanzania,TZA,2017,36.9
Togo,TGO,2015,34.3
Togo,TGO,2016,34
Togo,TGO,2017,32.2
Ukraine,UKR,2015,1.8
Ukraine,UKR,2016,1.9
Ukraine,UKR,2017,1.8
United Kingdom,GBR,2015,4
United Kingdom,GBR,2016,3.4
United Kingdom,GBR,2017,1.8
United States,USA,2015,1.1
United States,USA,2016,1.1
United States,USA,2017,1
Upper middle income,,2015,7.5
Upper middle income,,2016,8.1
Upper middle income,,2017,8.7
Uruguay,URY,2015,6.6
Uruguay,URY,2016,7.3
Uruguay,URY,2017,7.6
Vietnam,VNM,2015,1.8
Vietnam,VNM,2016,2.3
Vietnam,VNM,2017,2.3
Western Africa,,2015,14.6
Western Africa,,2016,16.2
Western Africa,,2017,17.3
Western Asia,,2015,8.9
Western Asia,,2016,9.5
Western Asia,,2017,9.8
World,OWID_WRL,2015,7.9
World,OWID_WRL,2016,8.2
World,OWID_WRL,2017,8.7
