Entity,Code,Year,Historical urban fraction estimate per region (HYDE 3.1 (2010)) (%)
Antarctica,ATA,"10,000 BCE",0
Antarctica,ATA,"5,000 BCE",0
Antarctica,ATA,0,0
Antarctica,ATA,500,0
Antarctica,ATA,1000,0
Antarctica,ATA,1500,0
Antarctica,ATA,1600,0
Antarctica,ATA,1700,0
Antarctica,ATA,1800,0
Antarctica,ATA,1900,0
Antarctica,ATA,1950,0
Antarctica,ATA,2000,0
Asia-Stan,,"10,000 BCE",0
Asia-Stan,,"5,000 BCE",0
Asia-Stan,,0,0
Asia-Stan,,500,0
Asia-Stan,,1000,0
Asia-Stan,,1500,0.1
Asia-Stan,,1600,0.30000001
Asia-Stan,,1700,0.80000001
Asia-Stan,,1800,1.6
Asia-Stan,,1900,11.8
Asia-Stan,,1950,33.599998
Asia-Stan,,2000,41.700001
Brazil,BRA,"10,000 BCE",0
Brazil,BRA,"5,000 BCE",0
Brazil,BRA,0,0
Brazil,BRA,500,0
Brazil,BRA,1000,0
Brazil,BRA,1500,0.40000001
Brazil,BRA,1600,1.2
Brazil,BRA,1700,3.5999999
Brazil,BRA,1800,9.1999998
Brazil,BRA,1900,22.9
Brazil,BRA,1950,36.200001
Brazil,BRA,2000,81.199997
Canada,CAN,"10,000 BCE",0
Canada,CAN,"5,000 BCE",0
Canada,CAN,0,0
Canada,CAN,500,0
Canada,CAN,1000,0
Canada,CAN,1500,0.2
Canada,CAN,1600,0.69999999
Canada,CAN,1700,2
Canada,CAN,1800,7.9000001
Canada,CAN,1900,37.5
Canada,CAN,1950,60.900002
Canada,CAN,2000,79.5
Central Europe,,"10,000 BCE",0
Central Europe,,"5,000 BCE",0
Central Europe,,0,0
Central Europe,,500,0
Central Europe,,1000,0
Central Europe,,1500,3.2
Central Europe,,1600,3.9000001
Central Europe,,1700,3.2
Central Europe,,1800,4.3000002
Central Europe,,1900,18.700001
Central Europe,,1950,34.599998
Central Europe,,2000,60
China,CHN,"10,000 BCE",0
China,CHN,"5,000 BCE",0.30000001
China,CHN,0,1
China,CHN,500,3.2
China,CHN,1000,5
China,CHN,1500,6.5
China,CHN,1600,7
China,CHN,1700,5.9000001
China,CHN,1800,6
China,CHN,1900,6.5999999
China,CHN,1950,13.4
China,CHN,2000,36.900002
Eastern Africa,,"10,000 BCE",0
Eastern Africa,,"5,000 BCE",0
Eastern Africa,,0,0
Eastern Africa,,500,0
Eastern Africa,,1000,0
Eastern Africa,,1500,0
Eastern Africa,,1600,0.1
Eastern Africa,,1700,0.40000001
Eastern Africa,,1800,1.2
Eastern Africa,,1900,3.2
Eastern Africa,,1950,5
Eastern Africa,,2000,17.9
Greenland,GRL,"10,000 BCE",0
Greenland,GRL,"5,000 BCE",0
Greenland,GRL,0,0
Greenland,GRL,500,0
Greenland,GRL,1000,0
Greenland,GRL,1500,0.1
Greenland,GRL,1600,0.2
Greenland,GRL,1700,0.5
Greenland,GRL,1800,3.2
Greenland,GRL,1900,19.700001
Greenland,GRL,1950,49
Greenland,GRL,2000,81.599998
India,IND,"10,000 BCE",0
India,IND,"5,000 BCE",0
India,IND,0,1.7
India,IND,500,2.5
India,IND,1000,3.4000001
India,IND,1500,4.4000001
India,IND,1600,4.5999999
India,IND,1700,4.9000001
India,IND,1800,6.4000001
India,IND,1900,10
India,IND,1950,15.5
India,IND,2000,27.5
Indonesia,IDN,"10,000 BCE",0
Indonesia,IDN,"5,000 BCE",0
Indonesia,IDN,0,0
Indonesia,IDN,500,0
Indonesia,IDN,1000,0
Indonesia,IDN,1500,0.1
Indonesia,IDN,1600,0.40000001
Indonesia,IDN,1700,1.1
Indonesia,IDN,1800,2.9000001
Indonesia,IDN,1900,7.5999999
