Entity,Code,Year,Pri_adj_Enroll_% – Lee-Lee (2016) (%)
Afghanistan,AFG,1820,0
Afghanistan,AFG,1825,0
Afghanistan,AFG,1830,0
Afghanistan,AFG,1835,0
Afghanistan,AFG,1840,0
Afghanistan,AFG,1845,0
Afghanistan,AFG,1850,0
Afghanistan,AFG,1855,0
Afghanistan,AFG,1860,0
Afghanistan,AFG,1865,0
Afghanistan,AFG,1870,0
Afghanistan,AFG,1875,0
Afghanistan,AFG,1880,0
Afghanistan,AFG,1885,0
Afghanistan,AFG,1890,0
Afghanistan,AFG,1895,0
Afghanistan,AFG,1900,0
Afghanistan,AFG,1905,0
Afghanistan,AFG,1910,0
Afghanistan,AFG,1915,0
Afghanistan,AFG,1920,0
Afghanistan,AFG,1925,0
Afghanistan,AFG,1930,0
Afghanistan,AFG,1935,0
Afghanistan,AFG,1940,0
Afghanistan,AFG,1945,2.8
Afghanistan,AFG,1950,3.5
Afghanistan,AFG,1955,4.7
Afghanistan,AFG,1960,7.3
Afghanistan,AFG,1965,12.9
Afghanistan,AFG,1970,17
Afghanistan,AFG,1975,21
Afghanistan,AFG,1980,29
Afghanistan,AFG,1985,15
Afghanistan,AFG,1990,19.4
Afghanistan,AFG,1995,46.1
Afghanistan,AFG,2000,17.6
Afghanistan,AFG,2005,82.3
Afghanistan,AFG,2010,83.2
Albania,ALB,1820,0.1
Albania,ALB,1825,0.2
Albania,ALB,1830,0.2
Albania,ALB,1835,0.3
Albania,ALB,1840,0.4
Albania,ALB,1845,0.5
Albania,ALB,1850,0.7
Albania,ALB,1855,0.8
Albania,ALB,1860,1.1
Albania,ALB,1865,1.4
Albania,ALB,1870,1.8
Albania,ALB,1875,2.3
Albania,ALB,1880,2.9
Albania,ALB,1885,3.8
Albania,ALB,1890,4.8
Albania,ALB,1895,6.1
Albania,ALB,1900,7.7
Albania,ALB,1905,9.7
Albania,ALB,1910,12.2
Albania,ALB,1915,15.2
Albania,ALB,1920,18.8
Albania,ALB,1925,20.7
Albania,ALB,1930,21.8
Albania,ALB,1935,37.2
Albania,ALB,1940,32.5
Albania,ALB,1945,81.7
Albania,ALB,1950,100
Albania,ALB,1955,100
Albania,ALB,1960,76.7
Albania,ALB,1965,83.7
Albania,ALB,1970,95
Albania,ALB,1975,100
Albania,ALB,1980,100
Albania,ALB,1985,93.6
Albania,ALB,1990,91.4
Albania,ALB,1995,91.4
Albania,ALB,2000,98
Albania,ALB,2005,97.8
Albania,ALB,2010,98.5
Algeria,DZA,1820,0.6
Algeria,DZA,1825,0.8
Algeria,DZA,1830,1
Algeria,DZA,1835,1.2
Algeria,DZA,1840,1.5
Algeria,DZA,1845,1.9
Algeria,DZA,1850,2.3
Algeria,DZA,1855,2.9
Algeria,DZA,1860,3.6
Algeria,DZA,1865,5.7
Algeria,DZA,1870,6.1
Algeria,DZA,1875,7.6
Algeria,DZA,1880,8
Algeria,DZA,1885,9.5
Algeria,DZA,1890,10.8
Algeria,DZA,1895,11.9
Algeria,DZA,1900,12.7
Algeria,DZA,1905,13
Algeria,DZA,1910,14.3
Algeria,DZA,1915,15.6
Algeria,DZA,1920,13.5
Algeria,DZA,1925,14.3
Algeria,DZA,1930,17.5
Algeria,DZA,1935,19.1
Algeria,DZA,1940,20.8
Algeria,DZA,1945,19.6
Algeria,DZA,1950,21.4
Algeria,DZA,1955,25.6
Algeria,DZA,1960,38.1
Algeria,DZA,1965,56.3
Algeria,DZA,1970,62.9
Algeria,DZA,1975,77
Algeria,DZA,1980,81
Algeria,DZA,1985,86
Algeria,DZA,1990,88
Algeria,DZA,1995,97.4
Algeria,DZA,2000,88.4
Algeria,DZA,2005,95
Algeria,DZA,2010,100
Argentina,ARG,1820,2.2
Argentina,ARG,1825,2.8
Argentina,ARG,1830,3.5
Argentina,ARG,1835,4.5
Argentina,ARG,1840,5.7
Argentina,ARG,1845,7.1
Argentina,ARG,1850,8.9
Argentina,ARG,1855,11.2
Argentina,ARG,1860,13.9
Argentina,ARG,1865,17.1
Argentina,ARG,1870,20.9
Argentina,ARG,1875,18.6
Argentina,ARG,1880,16.3
Argentina,ARG,1885,25.3
Argentina,ARG,1890,31.5
Argentina,ARG,1895,24.3
Argentina,ARG,1900,39.6
Argentina,ARG,1905,46.7
Argentina,ARG,1910,50.5
Argentina,ARG,1915,58.7
Argentina,ARG,1920,65.8
Argentina,ARG,1925,65.8
Argentina,ARG,1930,66.9
Argentina,ARG,1935,73.9
Argentina,ARG,1940,79.7
Argentina,ARG,1945,79.3
Argentina,ARG,1950,81.3
Argentina,ARG,1955,86.8
Argentina,ARG,1960,89
Argentina,ARG,1965,92
Argentina,ARG,1970,96
Argentina,ARG,1975,96
Argentina,ARG,1980,90.6
Argentina,ARG,1985,97.8
Argentina,ARG,1990,100
Argentina,ARG,1995,100
Argentina,ARG,2000,100
Argentina,ARG,2005,100
Argentina,ARG,2010,100
Australia,AUS,1820,35.2
Australia,AUS,1825,37.7
Australia,AUS,1830,40.3
Australia,AUS,1835,43
Australia,AUS,1840,45.8
Australia,AUS,1845,48.5
Australia,AUS,1850,51.3
Australia,AUS,1855,54.1
Australia,AUS,1860,56.8
Australia,AUS,1865,66.6
Australia,AUS,1870,76.5
Australia,AUS,1875,88.2
Australia,AUS,1880,100
Australia,AUS,1885,98.4
Australia,AUS,1890,96.8
Australia,AUS,1895,98.4
Australia,AUS,1900,100
Australia,AUS,1905,100
Australia,AUS,1910,100
Australia,AUS,1915,100
Australia,AUS,1920,100
Australia,AUS,1925,100
Australia,AUS,1930,100
Australia,AUS,1935,99.5
Australia,AUS,1940,99
Australia,AUS,1945,98.6
Australia,AUS,1950,98.1
Australia,AUS,1955,100
Australia,AUS,1960,81.5
Australia,AUS,1965,78.3
Australia,AUS,1970,91
Australia,AUS,1975,96
Australia,AUS,1980,100
Australia,AUS,1985,97
