Entity,Code,Year,1.5.4 - Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies (%) - SG_DSR_SILS (%)
Afghanistan,AFG,2017,0
Albania,ALB,2018,0
Angola,AGO,2015,44.44
Angola,AGO,2016,44.44
Angola,AGO,2017,44.44
Angola,AGO,2018,44.44
Armenia,ARM,2017,16.02
Australia,AUS,2018,23.46
Bhutan,BTN,2018,51.28
Bosnia and Herzegovina,BIH,2017,0
Bosnia and Herzegovina,BIH,2018,0
Botswana,BWA,2017,21.88
Botswana,BWA,2018,28.13
Bulgaria,BGR,2015,0
Bulgaria,BGR,2016,0
Bulgaria,BGR,2017,0
Bulgaria,BGR,2018,0
Burundi,BDI,2015,55.83
Chile,CHL,2015,20.29
Chile,CHL,2016,22.03
Chile,CHL,2017,29.57
Chile,CHL,2018,55.65
Colombia,COL,2015,73.77
Colombia,COL,2016,78.68
Colombia,COL,2017,80.31
Colombia,COL,2018,81.94
Comoros,COM,2017,100
Costa Rica,CRI,2015,100
Costa Rica,CRI,2016,100
Costa Rica,CRI,2017,100
Costa Rica,CRI,2018,100
Croatia,HRV,2017,0
Czech Republic,CZE,2015,100
Czech Republic,CZE,2016,100
Czech Republic,CZE,2017,100
Ecuador,ECU,2015,78.73
Ecuador,ECU,2016,82.81
Ecuador,ECU,2017,86.43
Ecuador,ECU,2018,94.57
Egypt,EGY,2016,18.52
Egypt,EGY,2017,33.33
Estonia,EST,2015,100
Estonia,EST,2016,100
Estonia,EST,2017,100
Estonia,EST,2018,100
Finland,FIN,2015,100
Finland,FIN,2016,100
Finland,FIN,2017,100
Gambia,GMB,2017,100
Gambia,GMB,2018,100
Georgia,GEO,2017,0
Georgia,GEO,2018,0
Indonesia,IDN,2015,0
Indonesia,IDN,2016,2.92
Indonesia,IDN,2017,8.75
Indonesia,IDN,2018,5.06
Iraq,IRQ,2018,100
Ireland,IRL,2015,100
Ireland,IRL,2016,100
Ireland,IRL,2017,100
Japan,JPN,2015,100
Japan,JPN,2016,100
Japan,JPN,2017,100
Japan,JPN,2018,100
Jordan,JOR,2016,0
Jordan,JOR,2017,0
Jordan,JOR,2018,0
Kazakhstan,KAZ,2017,100
Kazakhstan,KAZ,2018,100
Kuwait,KWT,2015,100
Kuwait,KWT,2016,100
Kuwait,KWT,2017,100
Lebanon,LBN,2016,0
Lebanon,LBN,2017,0
Lebanon,LBN,2018,0
Malawi,MWI,2015,11.76
Malawi,MWI,2016,11.76
Malawi,MWI,2017,20.59
Malawi,MWI,2018,55.88
Malaysia,MYS,2015,100
Malaysia,MYS,2016,100
Malaysia,MYS,2017,100
Malaysia,MYS,2018,100
Mexico,MEX,2015,62.5
Mexico,MEX,2016,75
Mexico,MEX,2017,75
Mexico,MEX,2018,100
Monaco,MCO,2017,100
Monaco,MCO,2018,100
Mongolia,MNG,2015,0
Mongolia,MNG,2016,9.09
Mongolia,MNG,2017,27.27
Montenegro,MNE,2016,0
Montenegro,MNE,2017,0
Montenegro,MNE,2018,0
Mozambique,MOZ,2017,100
Myanmar,MMR,2015,100
Myanmar,MMR,2016,100
Myanmar,MMR,2017,100
Namibia,NAM,2015,100
Namibia,NAM,2016,100
Namibia,NAM,2017,100
Nepal,NPL,2015,23.71
Nepal,NPL,2016,24.45
Nepal,NPL,2017,1.59
Nepal,NPL,2018,7.44
Netherlands,NLD,2017,100
New Zealand,NZL,2015,100
New Zealand,NZL,2016,100
New Zealand,NZL,2017,100
New Zealand,NZL,2018,100
Niger,NER,2015,51.46
Niger,NER,2016,72.84
Niger,NER,2017,84.67
Niger,NER,2018,84.67
Norway,NOR,2017,97.05
Palestine,PSE,2015,100
Palestine,PSE,2016,100
Palestine,PSE,2017,100
Peru,PER,2017,30.69
Romania,ROU,2018,0
Serbia,SRB,2017,0
Serbia,SRB,2018,4.6
Slovenia,SVN,2015,0
Slovenia,SVN,2016,0
Slovenia,SVN,2017,0
Slovenia,SVN,2018,100
Somalia,SOM,2017,28.57
Somalia,SOM,2018,42.86
South Africa,ZAF,2015,92.31
South Africa,ZAF,2016,92.31
South Africa,ZAF,2017,92.31
South Korea,KOR,2015,100
South Korea,KOR,2016,100
South Korea,KOR,2017,100
Swaziland,SWZ,2015,32.58
Swaziland,SWZ,2016,33.71
Swaziland,SWZ,2017,34.28
Swaziland,SWZ,2018,34.28
Sweden,SWE,2015,0
Sweden,SWE,2016,0
Sweden,SWE,2017,0
Sweden,SWE,2018,0
Switzerland,CHE,2017,50
Tajikistan,TJK,2017,0
Tanzania,TZA,2015,11.17
Tanzania,TZA,2016,11.7
Tanzania,TZA,2017,14.36
Tanzania,TZA,2018,17.02
Thailand,THA,2015,0
Thailand,THA,2016,31.84
Thailand,THA,2017,35.42
Thailand,THA,2018,35.42
Togo,TGO,2016,0
Togo,TGO,2017,0
Togo,TGO,2018,0
Uganda,UGA,2017,32.14
Ukraine,UKR,2015,100
Ukraine,UKR,2016,100
Ukraine,UKR,2017,100
Ukraine,UKR,2018,100
Uruguay,URY,2017,100
Uruguay,URY,2018,100
Zimbabwe,ZWE,2017,83.33
Zimbabwe,ZWE,2018,90.28
