Entity,Code,Year,Deaths (deaths)
Albania,ALB,1994,421
Albania,ALB,1995,306
Albania,ALB,1996,256
Albania,ALB,1997,266
Albania,ALB,1998,308
Albania,ALB,1999,274
Albania,ALB,2000,280
Albania,ALB,2001,297
Albania,ALB,2002,250
Albania,ALB,2003,260
Albania,ALB,2004,315
Albania,ALB,2005,308
Albania,ALB,2006,277
Albania,ALB,2007,384
Albania,ALB,2008,303
Albania,ALB,2009,378
Albania,ALB,2010,353
Albania,ALB,2011,322
Albania,ALB,2012,334
Albania,ALB,2013,295
Albania,ALB,2014,264
Albania,ALB,2015,270
Armenia,ARM,1997,261
Armenia,ARM,1998,316
Armenia,ARM,1999,229
Armenia,ARM,2000,214
Armenia,ARM,2001,237
Armenia,ARM,2002,235
Armenia,ARM,2003,252
Armenia,ARM,2004,259
Armenia,ARM,2005,310
Armenia,ARM,2006,332
Armenia,ARM,2007,371
Armenia,ARM,2008,407
Armenia,ARM,2009,325
Armenia,ARM,2010,294
Armenia,ARM,2011,327
Armenia,ARM,2012,311
Armenia,ARM,2013,316
Armenia,ARM,2014,297
Armenia,ARM,2015,346
Australia,AUS,1970,3798
Australia,AUS,1971,3590
Australia,AUS,1972,3422
Australia,AUS,1973,3679
Australia,AUS,1974,3572
Australia,AUS,1975,3694
Australia,AUS,1976,3583
Australia,AUS,1977,3578
Australia,AUS,1978,3705
Australia,AUS,1979,3508
Australia,AUS,1980,3272
Australia,AUS,1981,3321
Australia,AUS,1982,3252
Australia,AUS,1983,2755
Australia,AUS,1984,2822
Australia,AUS,1985,2941
Australia,AUS,1986,2888
Australia,AUS,1987,2772
Australia,AUS,1988,2887
Australia,AUS,1989,2800
Australia,AUS,1990,2331
Australia,AUS,1991,2113
Australia,AUS,1992,1974
Australia,AUS,1993,1953
Australia,AUS,1994,1928
Australia,AUS,1995,2017
Australia,AUS,1996,1970
Australia,AUS,1997,1767
Australia,AUS,1998,1755
Australia,AUS,1999,1764
Australia,AUS,2000,1817
Australia,AUS,2001,1737
Australia,AUS,2002,1715
Australia,AUS,2003,1621
Australia,AUS,2004,1583
Australia,AUS,2005,1627
Australia,AUS,2006,1598
Australia,AUS,2007,1603
Australia,AUS,2008,1437
Australia,AUS,2009,1491
Australia,AUS,2010,1353
Australia,AUS,2011,1277
Australia,AUS,2012,1300
Australia,AUS,2013,1187
Australia,AUS,2014,1150
Australia,AUS,2015,1205
Australia,AUS,2016,1295
Austria,AUT,1970,2507
Austria,AUT,1971,2782
Austria,AUT,1972,2948
Austria,AUT,1973,2765
Austria,AUT,1974,2499
Austria,AUT,1975,2467
Austria,AUT,1976,2131
Austria,AUT,1977,2091
Austria,AUT,1978,2112
Austria,AUT,1979,2129
Austria,AUT,1980,1951
Austria,AUT,1981,1898
Austria,AUT,1982,1883
Austria,AUT,1983,1967
Austria,AUT,1984,1814
Austria,AUT,1985,1524
Austria,AUT,1986,1495
Austria,AUT,1987,1469
Austria,AUT,1988,1620
Austria,AUT,1989,1570
Austria,AUT,1990,1558
Austria,AUT,1991,1551
Austria,AUT,1992,1403
Austria,AUT,1993,1283
Austria,AUT,1994,1338
Austria,AUT,1995,1210
Austria,AUT,1996,1027
Austria,AUT,1997,1105
Austria,AUT,1998,963
Austria,AUT,1999,1079
Austria,AUT,2000,976
Austria,AUT,2001,958
Austria,AUT,2002,956
Austria,AUT,2003,931
Austria,AUT,2004,878
Austria,AUT,2005,768
Austria,AUT,2006,730
Austria,AUT,2007,691
Austria,AUT,2008,679
Austria,AUT,2009,633
Austria,AUT,2010,552
Austria,AUT,2011,523
Austria,AUT,2012,531
Austria,AUT,2013,455
Austria,AUT,2014,430
Austria,AUT,2015,479
Austria,AUT,2016,432
Azerbaijan,AZE,1991,1281
Azerbaijan,AZE,1992,1265
Azerbaijan,AZE,1993,1152
Azerbaijan,AZE,1994,1107
Azerbaijan,AZE,1995,990
Azerbaijan,AZE,1996,763
Azerbaijan,AZE,1997,605
Azerbaijan,AZE,1998,594
Azerbaijan,AZE,1999,554
Azerbaijan,AZE,2000,596
Azerbaijan,AZE,2001,559
Azerbaijan,AZE,2002,642
Azerbaijan,AZE,2003,724
Azerbaijan,AZE,2004,811
Azerbaijan,AZE,2005,1065
Azerbaijan,AZE,2006,1027
Azerbaijan,AZE,2007,1107
Azerbaijan,AZE,2008,1052
Azerbaijan,AZE,2009,930
Azerbaijan,AZE,2010,925
Azerbaijan,AZE,2011,1016
Azerbaijan,AZE,2012,1168
Azerbaijan,AZE,2013,1164
Azerbaijan,AZE,2014,1124
Azerbaijan,AZE,2015,894
Azerbaijan,AZE,2016,759
Belarus,BLR,1990,2211
Belarus,BLR,1991,2332
Belarus,BLR,1992,2151
Belarus,BLR,1993,1738
Belarus,BLR,1994,1670
Belarus,BLR,1995,1781
Belarus,BLR,1996,1727
Belarus,BLR,1997,1726
Belarus,BLR,1998,1843
Belarus,BLR,1999,1764
Belarus,BLR,2000,1594
Belarus,BLR,2001,1594
Belarus,BLR,2002,1728
Belarus,BLR,2003,1763
Belarus,BLR,2004,1688
Belarus,BLR,2005,1673
Belarus,BLR,2006,1726
Belarus,BLR,2007,1518
Belarus,BLR,2008,1564
Belarus,BLR,2009,1322
Belgium,BEL,1970,2950
Belgium,BEL,1971,3070
Belgium,BEL,1972,3130
Belgium,BEL,1973,2920
Belgium,BEL,1974,2670
Belgium,BEL,1975,2346
Belgium,BEL,1976,2490
Belgium,BEL,1977,2520
Belgium,BEL,1978,2590
Belgium,BEL,1979,2330
Belgium,BEL,1980,2396
Belgium,BEL,1981,2216
Belgium,BEL,1982,2064
Belgium,BEL,1983,2090
Belgium,BEL,1984,1893
Belgium,BEL,1985,1801
Belgium,BEL,1986,1951
Belgium,BEL,1987,1922
Belgium,BEL,1988,1967
Belgium,BEL,1989,1993
Belgium,BEL,1990,1976
Belgium,BEL,1991,1874
Belgium,BEL,1992,1672
Belgium,BEL,1993,1660
Belgium,BEL,1994,1692
Belgium,BEL,1995,1505
Belgium,BEL,1996,1356
Belgium,BEL,1997,1364
Belgium,BEL,1998,1500
Belgium,BEL,1999,1397
Belgium,BEL,2000,1470
Belgium,BEL,2001,1486
Belgium,BEL,2002,1353
Belgium,BEL,2003,1216
Belgium,BEL,2004,1163
Belgium,BEL,2005,1089
Belgium,BEL,2006,1069
Belgium,BEL,2007,1067
Belgium,BEL,2008,944
Belgium,BEL,2009,943
Belgium,BEL,2010,841
Belgium,BEL,2011,862
Belgium,BEL,2012,770
Belgium,BEL,2013,724
Belgium,BEL,2014,727
Belgium,BEL,2015,732
Belgium,BEL,2016,637
Bosnia and Herzegovina,BIH,1989,592
Bosnia and Herzegovina,BIH,1994,149
Bosnia and Herzegovina,BIH,1995,215
Bosnia and Herzegovina,BIH,1996,199
Bosnia and Herzegovina,BIH,1997,230
Bosnia and Herzegovina,BIH,2003,460
Bosnia and Herzegovina,BIH,2004,437
Bosnia and Herzegovina,BIH,2005,384
Bosnia and Herzegovina,BIH,2006,403
Bosnia and Herzegovina,BIH,2007,430
Bosnia and Herzegovina,BIH,2008,434
Bosnia and Herzegovina,BIH,2009,382
Bosnia and Herzegovina,BIH,2011,356
Bosnia and Herzegovina,BIH,2012,303
Bosnia and Herzegovina,BIH,2013,334
Bulgaria,BGR,1970,838
Bulgaria,BGR,1971,889
Bulgaria,BGR,1972,934
Bulgaria,BGR,1973,946
Bulgaria,BGR,1974,960
Bulgaria,BGR,1975,1030
Bulgaria,BGR,1976,1021
Bulgaria,BGR,1977,1040
Bulgaria,BGR,1978,1153
Bulgaria,BGR,1979,1149
Bulgaria,BGR,1980,1199
Bulgaria,BGR,1981,1219
Bulgaria,BGR,1982,1229
Bulgaria,BGR,1983,1123
Bulgaria,BGR,1984,1119
Bulgaria,BGR,1985,1113
Bulgaria,BGR,1986,1070
Bulgaria,BGR,1987,1153
Bulgaria,BGR,1988,1153
Bulgaria,BGR,1989,1280
Bulgaria,BGR,1990,1567
Bulgaria,BGR,1991,1114
Bulgaria,BGR,1992,1299
Bulgaria,BGR,1993,1307
Bulgaria,BGR,1994,1390
Bulgaria,BGR,1995,1264
Bulgaria,BGR,1996,1014
Bulgaria,BGR,1997,915
Bulgaria,BGR,1998,1003
Bulgaria,BGR,1999,1047
Bulgaria,BGR,2000,1012
Bulgaria,BGR,2001,1011
Bulgaria,BGR,2002,959
Bulgaria,BGR,2003,960
Bulgaria,BGR,2004,943
Bulgaria,BGR,2005,957
Bulgaria,BGR,2006,1043
Bulgaria,BGR,2007,1006
Bulgaria,BGR,2008,1061
Bulgaria,BGR,2009,901
Bulgaria,BGR,2010,776
Bulgaria,BGR,2011,657
Bulgaria,BGR,2012,601
Bulgaria,BGR,2013,601
Bulgaria,BGR,2014,660
Bulgaria,BGR,2015,708
Bulgaria,BGR,2016,708
Canada,CAN,1970,5080
Canada,CAN,1971,5573
Canada,CAN,1972,6221
Canada,CAN,1973,6706
Canada,CAN,1974,6290
Canada,CAN,1975,6061
Canada,CAN,1976,5307
Canada,CAN,1977,5253
Canada,CAN,1978,5429
Canada,CAN,1979,5863
Canada,CAN,1980,5461
Canada,CAN,1981,5383
Canada,CAN,1982,4169
Canada,CAN,1983,4216
Canada,CAN,1984,4120
Canada,CAN,1985,4362
Canada,CAN,1986,4063
Canada,CAN,1987,4238
Canada,CAN,1988,4154
Canada,CAN,1989,4238
Canada,CAN,1990,3963
Canada,CAN,1991,3690
Canada,CAN,1992,3501
Canada,CAN,1993,3615
Canada,CAN,1994,3230
Canada,CAN,1995,3313
Canada,CAN,1996,3129
Canada,CAN,1997,3076
Canada,CAN,1998,2919
Canada,CAN,1999,2980
Canada,CAN,2000,2904
Canada,CAN,2001,2758
Canada,CAN,2002,2921
Canada,CAN,2003,2777
Canada,CAN,2004,2735
Canada,CAN,2005,2898
Canada,CAN,2006,2871
Canada,CAN,2007,2753
Canada,CAN,2008,2431
Canada,CAN,2009,2216
Canada,CAN,2010,2238
Canada,CAN,2011,2023
Canada,CAN,2012,2079
Canada,CAN,2013,1954
Canada,CAN,2014,1852
Canada,CAN,2015,1858
China,CHN,2004,107077
China,CHN,2005,98738
China,CHN,2006,89455
China,CHN,2007,81649
China,CHN,2008,73484
China,CHN,2009,67759
China,CHN,2010,65225
China,CHN,2011,62387
China,CHN,2012,59997
China,CHN,2013,58539
China,CHN,2014,58523
China,CHN,2015,58022
Croatia,HRV,1970,1166
Croatia,HRV,1971,1289
Croatia,HRV,1972,1444
Croatia,HRV,1973,1303
Croatia,HRV,1974,1336
Croatia,HRV,1975,1169
Croatia,HRV,1976,1111
Croatia,HRV,1977,1412
Croatia,HRV,1978,1533
Croatia,HRV,1979,1605
Croatia,HRV,1980,1603
Croatia,HRV,1981,1459
Croatia,HRV,1982,1400
Croatia,HRV,1983,1322
Croatia,HRV,1984,1294
Croatia,HRV,1985,1125
Croatia,HRV,1986,1256
Croatia,HRV,1987,1311
Croatia,HRV,1988,1312
Croatia,HRV,1989,1321
Croatia,HRV,1990,1360
Croatia,HRV,1991,1020
Croatia,HRV,1992,975
Croatia,HRV,1993,855
Croatia,HRV,1994,804
Croatia,HRV,1995,800
Croatia,HRV,1996,721
Croatia,HRV,1997,714
Croatia,HRV,1998,646
Croatia,HRV,1999,662
Croatia,HRV,2000,655
Croatia,HRV,2001,647
Croatia,HRV,2002,627
Croatia,HRV,2003,701
Croatia,HRV,2004,608
Croatia,HRV,2005,597
Croatia,HRV,2006,614
Croatia,HRV,2007,619
Croatia,HRV,2008,664
Croatia,HRV,2009,548
Croatia,HRV,2010,426
Croatia,HRV,2011,418
Croatia,HRV,2012,393
Croatia,HRV,2013,368
Croatia,HRV,2014,308
Croatia,HRV,2015,348
Croatia,HRV,2016,307
Czech Republic,CZE,1993,1524
Czech Republic,CZE,1994,1637
Czech Republic,CZE,1995,1588
Czech Republic,CZE,1996,1568
Czech Republic,CZE,1997,1597
Czech Republic,CZE,1998,1360
Czech Republic,CZE,1999,1455
Czech Republic,CZE,2000,1486
Czech Republic,CZE,2001,1334
Czech Republic,CZE,2002,1431
Czech Republic,CZE,2003,1447
