Entity,Code,Year,"Informal employment, female (% of total non-agricultural employment) (% of total non-agricultural employment)"
Albania,ALB,2011,33.4900016784668
Albania,ALB,2012,33.4900016784668
Albania,ALB,2013,24.1299991607666
Angola,AGO,2004,80.5199966430664
Angola,AGO,2011,79.5299987792969
Argentina,ARG,2004,62.0499992370605
Argentina,ARG,2005,60.3499984741211
Argentina,ARG,2006,57.3899993896484
Argentina,ARG,2008,51.6699981689453
Argentina,ARG,2009,50.2900009155273
Argentina,ARG,2010,49.5
Argentina,ARG,2011,48.6100006103516
Argentina,ARG,2012,48.0499992370605
Argentina,ARG,2013,46.75
Argentina,ARG,2014,46.4700012207031
Argentina,ARG,2017,47.4300003051758
Armenia,ARM,2014,30.1000003814697
Armenia,ARM,2015,19.0699996948242
Armenia,ARM,2016,19.1499996185303
Bangladesh,BGD,2010,89.129997253418
Bangladesh,BGD,2013,87.6900024414063
Bangladesh,BGD,2017,91.8600006103516
Benin,BEN,2011,97.6999969482422
Bolivia,BOL,2005,95.0699996948242
Bolivia,BOL,2006,95.5199966430664
Bolivia,BOL,2007,80.8099975585938
Bolivia,BOL,2008,82.4499969482422
Bolivia,BOL,2009,79.5599975585938
Bolivia,BOL,2011,79.3300018310547
Bolivia,BOL,2012,77.6600036621094
Bolivia,BOL,2013,75.0199966430664
Bolivia,BOL,2014,79.5999984741211
Bolivia,BOL,2015,80.1500015258789
Bolivia,BOL,2016,78.9599990844727
Bolivia,BOL,2017,79.7200012207031
Brazil,BRA,2009,43.8300018310547
Brazil,BRA,2011,38.6100006103516
Brazil,BRA,2012,37.8699989318848
Brazil,BRA,2013,36.1599998474121
Brazil,BRA,2014,36.9700012207031
Brazil,BRA,2015,36.9099998474121
Brunei,BRN,2014,30.25
Cambodia,KHM,2012,93.7900009155273
Cameroon,CMR,2007,86.620002746582
Chile,CHL,2010,44.4700012207031
Chile,CHL,2011,44.4799995422363
Chile,CHL,2012,41.9599990844727
Chile,CHL,2013,40.6199989318848
Chile,CHL,2014,41.439998626709
Chile,CHL,2015,40.8300018310547
Chile,CHL,2016,41.1300010681152
Chile,CHL,2017,41.6800003051758
Colombia,COL,2010,65.1800003051758
Colombia,COL,2011,64.6699981689453
Colombia,COL,2012,64.5100021362305
Colombia,COL,2013,62.4799995422363
Colombia,COL,2014,60.8800010681152
Colombia,COL,2015,60.3899993896484
Colombia,COL,2016,59.1199989318848
Colombia,COL,2017,58.1100006103516
Costa Rica,CRI,2011,37.2000007629395
Costa Rica,CRI,2012,41.4799995422363
Costa Rica,CRI,2013,43.6300010681152
Costa Rica,CRI,2014,42.8699989318848
Costa Rica,CRI,2015,43.6500015258789
Costa Rica,CRI,2016,39.7099990844727
Costa Rica,CRI,2017,40.0400009155273
Cote d'Ivoire,CIV,2012,95.0199966430664
Cote d'Ivoire,CIV,2013,98.1500015258789
Cote d'Ivoire,CIV,2016,93.8000030517578
Democratic Republic of Congo,COD,2005,97.879997253418
Dominican Republic,DOM,2005,67.9199981689453
Dominican Republic,DOM,2006,63.3199996948242
Dominican Republic,DOM,2007,56.3400001525879
Dominican Republic,DOM,2008,57.6500015258789
Dominican Republic,DOM,2010,53.6699981689453
Dominican Republic,DOM,2011,52.5400009155273
Dominican Republic,DOM,2012,54.6500015258789
Dominican Republic,DOM,2013,55
Dominican Republic,DOM,2014,52.9799995422363
Dominican Republic,DOM,2015,52.1599998474121
Dominican Republic,DOM,2016,52.9300003051758
Ecuador,ECU,2001,77.1399993896484
Ecuador,ECU,2003,76.3600006103516
Ecuador,ECU,2004,76.5999984741211
Ecuador,ECU,2005,76.5999984741211
Ecuador,ECU,2006,76.629997253418
Ecuador,ECU,2007,76.6100006103516
Ecuador,ECU,2008,76.1399993896484
Ecuador,ECU,2009,72.6600036621094
Ecuador,ECU,2010,68.2300033569336
Ecuador,ECU,2011,65.5
Ecuador,ECU,2012,63.8499984741211
Ecuador,ECU,2013,62.5200004577637
Ecuador,ECU,2014,60.6500015258789
Ecuador,ECU,2015,62.0900001525879
Ecuador,ECU,2016,64.8199996948242
Ecuador,ECU,2017,67.0800018310547
Egypt,EGY,2008,20.1499996185303
Egypt,EGY,2009,21.1100006103516
Egypt,EGY,2010,25.4599990844727
Egypt,EGY,2011,22.7800006866455
Egypt,EGY,2012,22.9200000762939
Egypt,EGY,2013,24.2800006866455
Egypt,EGY,2015,30.4899997711182
Egypt,EGY,2016,35.310001373291
El Salvador,SLV,2010,71.8300018310547
El Salvador,SLV,2011,71.7200012207031
El Salvador,SLV,2012,72.25
El Salvador,SLV,2013,72.0400009155273
El Salvador,SLV,2014,70
El Salvador,SLV,2015,69.3399963378906
El Salvador,SLV,2016,71.870002746582
Gambia,GMB,2012,77.6100006103516
Ghana,GHA,2006,93.5599975585938
Ghana,GHA,2013,91.8499984741211
Ghana,GHA,2015,88.3199996948242
Guatemala,GTM,2003,82.6999969482422
Guatemala,GTM,2004,81.620002746582
Guatemala,GTM,2010,81.120002746582
Guatemala,GTM,2011,80.2300033569336
Guatemala,GTM,2012,82.4000015258789
Guatemala,GTM,2013,79.0999984741211
Guatemala,GTM,2014,77.3099975585938
Guatemala,GTM,2015,76.5699996948242
Guatemala,GTM,2016,79.0699996948242
Honduras,HND,2006,65.0500030517578
Honduras,HND,2007,63.4500007629395
Honduras,HND,2008,71.9700012207031
Honduras,HND,2009,72.0100021362305
Honduras,HND,2010,74.4400024414063
Honduras,HND,2011,75.3199996948242
Honduras,HND,2012,77.7900009155273
Honduras,HND,2013,78.0500030517578
Honduras,HND,2014,76.129997253418
Honduras,HND,2015,77.3199996948242
Honduras,HND,2016,77.120002746582
India,IND,2010,71.6699981689453
India,IND,2012,70.3000030517578
Indonesia,IDN,2016,69.3600006103516
Indonesia,IDN,2017,80.2900009155273
Liberia,LBR,2010,86.3399963378906
Maldives,MDV,2016,50.1800003051758
Mali,MLI,2014,95.75
Mali,MLI,2015,96.9300003051758
Mauritius,MUS,2012,47.7700004577637
Mauritius,MUS,2013,49.2900009155273
Mauritius,MUS,2014,53.560001373291
Mauritius,MUS,2015,51.560001373291
Mauritius,MUS,2016,51.0699996948242
Mongolia,MNG,2008,24.1299991607666
Mongolia,MNG,2009,20.5400009155273
Mongolia,MNG,2010,25.2299995422363
Mongolia,MNG,2011,32.2200012207031
Mongolia,MNG,2012,34.4000015258789
Mongolia,MNG,2013,34.7099990844727
Mongolia,MNG,2014,26.8199996948242
Mongolia,MNG,2015,26.3299999237061
Mongolia,MNG,2016,26.9400005340576
Mozambique,MOZ,2015,92.25
Myanmar,MMR,2015,82.6800003051758
Myanmar,MMR,2017,79.1699981689453
Namibia,NAM,2012,44.7999992370605
Namibia,NAM,2013,49.2799987792969
Namibia,NAM,2014,47.4900016784668
Namibia,NAM,2016,61.8600006103516
Nepal,NPL,2008,99.4400024414063
Nicaragua,NIC,2012,78.6900024414063
Niger,NER,2011,95.1900024414063
Pakistan,PAK,2009,64.0599975585938
Pakistan,PAK,2010,65.9100036621094
Pakistan,PAK,2011,66.3499984741211
Pakistan,PAK,2013,65.4100036621094
Pakistan,PAK,2014,71.9199981689453
Pakistan,PAK,2015,73.1699981689453
Palestine,PSE,2010,38.8199996948242
Palestine,PSE,2011,40.6199989318848
Palestine,PSE,2012,40.1599998474121
Palestine,PSE,2013,43.1699981689453
Palestine,PSE,2014,46.7999992370605
Palestine,PSE,2015,48.2999992370605
Palestine,PSE,2016,45.5499992370605
Palestine,PSE,2017,46
Panama,PAN,2011,37.9000015258789
Panama,PAN,2012,38.7099990844727
Panama,PAN,2013,40.0699996948242
Panama,PAN,2014,39.3699989318848
Panama,PAN,2015,40.1699981689453
Panama,PAN,2016,40.5099983215332
Paraguay,PRY,2008,73.5800018310547
Paraguay,PRY,2009,73.9199981689453
Paraguay,PRY,2010,74.2399978637695
Paraguay,PRY,2011,69.0500030517578
Paraguay,PRY,2012,68.8199996948242
Paraguay,PRY,2013,67.4000015258789
Paraguay,PRY,2014,66.0100021362305
Paraguay,PRY,2015,66.7399978637695
