Entity,Code,Year,Gas (terawatt-hours)
Africa,,1966,1.12616190522
Africa,,1967,-0.12424660455000058
Africa,,1968,0.14330019637000113
Africa,,1969,1.8030299986199978
Africa,,1970,3.028325209740002
Africa,,1971,2.884938695509998
Africa,,1972,6.265393230610002
Africa,,1973,14.881134505870001
Africa,,1974,4.966695949030004
Africa,,1975,9.11989008711
Africa,,1976,7.343012481119992
Africa,,1977,7.25280095526999
Africa,,1978,29.13570690202002
Africa,,1979,51.47291814389001
Africa,,1980,38.07116122689999
Africa,,1981,41.577178824399994
Africa,,1982,18.242392690900033
Africa,,1983,24.541798240299954
Africa,,1984,-11.372566460999963
Africa,,1985,18.939966603699986
Africa,,1986,34.42845554159999
Africa,,1987,10.113154575099998
Africa,,1988,35.06018341820004
Africa,,1989,13.026500510900007
Africa,,1990,27.174343292200035
Africa,,1991,2.9902086057999213
Africa,,1992,19.634664417500062
Africa,,1993,-8.626280009100071
Africa,,1994,19.18397493590004
Africa,,1995,29.415545356900054
Africa,,1996,22.9482504067999
Africa,,1997,-9.71621197549996
Africa,,1998,24.861458210600063
Africa,,1999,4.682613067499915
Africa,,2000,52.8027488308
Africa,,2001,85.84379759110004
Africa,,2002,38.59797231490006
Africa,,2003,42.46033636879997
Africa,,2004,64.16975557030003
Africa,,2005,29.46337001029997
Africa,,2006,35.65320037460003
Africa,,2007,55.05062732959993
Africa,,2008,39.7242576842001
Africa,,2009,7.977944143599871
Africa,,2010,33.404033039200044
Africa,,2011,82.91557293109986
Africa,,2012,78.99098232960023
Africa,,2013,14.885608113300123
Africa,,2014,32.57535204299984
Africa,,2015,82.01513681200004
Africa,,2016,69.49608727699979
Africa,,2017,57.65876508200017
Africa,,2018,92.20678027999998
Algeria,DZA,1966,0.28875000052999944
Algeria,DZA,1967,-0.2310000027500001
Algeria,DZA,1968,0.3849999968300013
Algeria,DZA,1969,2.4784375035799995
Algeria,DZA,1970,-0.6208125052099991
Algeria,DZA,1971,1.3186250074599979
Algeria,DZA,1972,1.7806249897000015
Algeria,DZA,1973,5.029062510200001
Algeria,DZA,1974,2.8153124906299993
Algeria,DZA,1975,7.8155000019399985
Algeria,DZA,1976,5.197499997910004
Algeria,DZA,1977,2.2137500079399928
Algeria,DZA,1978,21.752500001160016
Algeria,DZA,1979,23.86999998954
Algeria,DZA,1980,27.912500008590015
Algeria,DZA,1981,32.82124999433999
Algeria,DZA,1982,19.153749961499983
Algeria,DZA,1983,15.3037499932
Algeria,DZA,1984,-21.463749989000007
Algeria,DZA,1985,-1.4437499444999844
Algeria,DZA,1986,14.630000019099981
Algeria,DZA,1987,3.8499999683000397
Algeria,DZA,1988,21.84874997419999
Algeria,DZA,1989,-11.453750024900017
Algeria,DZA,1990,12.416249987900017
Algeria,DZA,1991,-2.4062499074999835
Algeria,DZA,1992,6.256249992099953
Algeria,DZA,1993,-20.405000029699977
Algeria,DZA,1994,9.624999978900007
Algeria,DZA,1995,14.052500041299965
Algeria,DZA,1996,5.4862500217000445
Algeria,DZA,1997,-13.66750005610001
Algeria,DZA,1998,6.641249977299992
Algeria,DZA,1999,4.427500062400014
Algeria,DZA,2000,-14.095812487300037
Algeria,DZA,2001,6.3091874261000385
Algeria,DZA,2002,-2.483249927800017
Algeria,DZA,2003,11.092812509700025
Algeria,DZA,2004,5.967500003200001
Algeria,DZA,2005,11.660687499499971
Algeria,DZA,2006,4.93762500790001
Algeria,DZA,2007,5.309314458100005
Algeria,DZA,2008,10.23506046770001
Algeria,DZA,2009,18.075750026199984
Algeria,DZA,2010,-8.8453750205
Algeria,DZA,2011,14.697375051400002
Algeria,DZA,2012,30.771125014999996
Algeria,DZA,2013,22.474374892000014
Algeria,DZA,2014,39.70312504379996
Algeria,DZA,2015,18.306749970800013
Algeria,DZA,2016,6.737500089900038
Algeria,DZA,2017,2.8875000052999553
Algeria,DZA,2018,38.49999991560003
Argentina,ARG,1966,3.423199995339999
Argentina,ARG,1967,2.0422500039599996
Argentina,ARG,1968,5.300124990340009
Argentina,ARG,1969,-0.19449999207001412
Argentina,ARG,1970,6.739424994460002
Argentina,ARG,1971,4.6582750013900025
Argentina,ARG,1972,7.721649995699998
Argentina,ARG,1973,9.783350000029998
Argentina,ARG,1974,4.716625002499995
Argentina,ARG,1975,2.100600005070021
Argentina,ARG,1976,10.989249999709983
Argentina,ARG,1977,4.376250001840006
Argentina,ARG,1978,-2.820250007129985
Argentina,ARG,1979,2.820250007129985
Argentina,ARG,1980,9.238750001300005
Argentina,ARG,1981,5.056999956639999
Argentina,ARG,1982,15.949000070800011
