Entity,Code,Year,15.6.1 - Countries that are parties to the Nagoya Protocol (1 = YES; 0 = NO) - ER_CBD_NAGOYA (Number)
Afghanistan,AFG,2012,0
Albania,ALB,2012,1
Algeria,DZA,2012,0
Andorra,AND,2012,0
Angola,AGO,2012,1
Antigua and Barbuda,ATG,2012,1
Argentina,ARG,2012,1
Armenia,ARM,2012,0
"Asia, Central",,2015,3
"Asia, Central",,2018,3
Australia,AUS,2012,0
Australia and New Zealand,,2015,0
Australia and New Zealand,,2018,0
Austria,AUT,2012,1
Azerbaijan,AZE,2012,0
Bahamas,BHS,2012,0
Bahrain,BHR,2012,0
Bangladesh,BGD,2012,0
Barbados,BRB,2012,0
Belarus,BLR,2012,1
Belgium,BEL,2012,1
Belize,BLZ,2012,0
Benin,BEN,2012,1
Bhutan,BTN,2012,1
Bolivia,BOL,2012,1
Bosnia and Herzegovina,BIH,2012,0
Botswana,BWA,2012,1
Brazil,BRA,2012,0
Brunei,BRN,2012,0
Bulgaria,BGR,2012,1
Burkina Faso,BFA,2012,1
Burundi,BDI,2012,1
Cambodia,KHM,2012,1
Cameroon,CMR,2012,1
Canada,CAN,2012,0
Cape Verde,CPV,2012,0
Central African Republic,CAF,2012,1
Central and Southern Asia,,2015,6
Central and Southern Asia,,2018,8
Chad,TCD,2012,1
Chile,CHL,2012,0
China,CHN,2012,1
Colombia,COL,2012,0
Comoros,COM,2012,1
Congo,COG,2012,1
Cook Islands,COK,2012,0
Costa Rica,CRI,2012,0
Cote d'Ivoire,CIV,2012,1
Croatia,HRV,2012,1
Cuba,CUB,2012,1
Cyprus,CYP,2012,0
Czech Republic,CZE,2012,1
Democratic Republic of Congo,COD,2012,1
Denmark,DNK,2012,1
Djibouti,DJI,2012,1
Dominica,DMA,2012,0
Dominican Republic,DOM,2012,1
Eastern Asia,,2015,1
Eastern Asia,,2018,2
Eastern and South-Eastern Asia,,2015,7
Eastern and South-Eastern Asia,,2018,11
Ecuador,ECU,2012,1
Egypt,EGY,2012,1
El Salvador,SLV,2012,0
Equatorial Guinea,GNQ,2012,0
Eritrea,ERI,2012,0
Estonia,EST,2012,1
Ethiopia,ETH,2012,1
Europe,,2015,9
Europe,,2018,25
Europe and Northern America,,2015,9
Europe and Northern America,,2018,25
Federated States of Micronesia,,2012,1
Fiji,FJI,2012,1
Finland,FIN,2012,1
France,FRA,2012,1
Gabon,GAB,2012,1
Gambia,GMB,2012,1
Georgia,GEO,2012,0
Germany,DEU,2012,1
Ghana,GHA,2012,0
Greece,GRC,2012,0
Grenada,GRD,2012,0
Guatemala,GTM,2012,1
Guinea,GIN,2012,1
Guinea-Bissau,GNB,2012,1
Guyana,GUY,2012,1
Haiti,HTI,2012,0
Honduras,HND,2012,1
Hungary,HUN,2012,1
Iceland,ISL,2012,0
India,IND,2012,1
Indonesia,IDN,2012,1
Iran,IRN,2012,0
Iraq,IRQ,2012,0
Ireland,IRL,2012,0
Israel,ISR,2012,0
Italy,ITA,2012,0
Jamaica,JAM,2012,0
Japan,JPN,2012,1
Jordan,JOR,2012,1
Kazakhstan,KAZ,2012,1
Kenya,KEN,2012,1
Kiribati,KIR,2012,0
Kuwait,KWT,2012,1
Kyrgyzstan,KGZ,2012,1
Landlocked developing countries,,2015,15
Landlocked developing countries,,2018,24
Laos,LAO,2012,1
Latin America and the Caribbean	,,2015,9
Latin America and the Caribbean	,,2018,15
Latvia,LVA,2012,0
Least Developed Countries (LDCs),,2015,25
Least Developed Countries (LDCs),,2018,38
Lebanon,LBN,2012,1
Lesotho,LSO,2012,1
Liberia,LBR,2012,1
Libya,LBY,2012,0
Liechtenstein,LIE,2012,0
Lithuania,LTU,2012,0
Luxembourg,LUX,2012,1
Macedonia,MKD,2012,0
Madagascar,MDG,2012,1
Malawi,MWI,2012,1
Malaysia,MYS,2012,1
Maldives,MDV,2012,0
Mali,MLI,2012,1
Malta,MLT,2012,1
Marshall Islands,MHL,2012,1
Mauritania,MRT,2012,1
Mauritius,MUS,2012,1
Mexico,MEX,2012,1
Moldova,MDA,2012,1
Monaco,MCO,2012,0
Mongolia,MNG,2012,1
Montenegro,MNE,2012,0
Morocco,MAR,2012,0
Mozambique,MOZ,2012,1
Myanmar,MMR,2012,1
Namibia,NAM,2012,1
Nauru,NRU,2012,0
Nepal,NPL,2012,1
Netherlands,NLD,2012,1
New Zealand,NZL,2012,0
Nicaragua,NIC,2012,0
Niger,NER,2012,1
Nigeria,NGA,2012,0
Niue,NIU,2012,0
North Korea,PRK,2012,0
Northern Africa,,2015,2
Northern Africa,,2018,2
Northern America,,2015,0
Northern America,,2018,0
Norway,NOR,2012,1
Oceania,,2015,5
Oceania,,2018,7
Oceania (exc. Australia and New Zealand),,2015,5
Oceania (exc. Australia and New Zealand),,2018,7
Oman,OMN,2012,0
Pakistan,PAK,2012,1
Palau,PLW,2012,1
Palestine,PSE,2012,0
Panama,PAN,2012,1
Papua New Guinea,PNG,2012,0
Paraguay,PRY,2012,0
Peru,PER,2012,1
Philippines,PHL,2012,1
Poland,POL,2012,0
Portugal,PRT,2012,1
Qatar,QAT,2012,1
Romania,ROU,2012,0
Russia,RUS,2012,0
Rwanda,RWA,2012,1
Saint Kitts and Nevis,KNA,2012,1
Saint Lucia,LCA,2012,0
Saint Vincent and the Grenadines,VCT,2012,0
Samoa,WSM,2012,1
San Marino,SMR,2012,0
Sao Tome and Principe,STP,2012,1
Saudi Arabia,SAU,2012,0
Senegal,SEN,2012,1
Serbia,SRB,2012,1
Seychelles,SYC,2012,1
Sierra Leone,SLE,2012,1
Singapore,SGP,2012,0
Slovakia,SVK,2012,1
Slovenia,SVN,2012,0
Small Island Developing States (SIDS),,2015,12
Small Island Developing States (SIDS),,2018,17
Solomon Islands,SLB,2012,0
Somalia,SOM,2012,0
South Africa,ZAF,2012,1
South Eastern Asia,,2015,6
South Eastern Asia,,2018,9
South Korea,KOR,2012,1
South Sudan,SSD,2012,0
Southern Asia,,2015,3
Southern Asia,,2018,5
Spain,ESP,2012,1
Sri Lanka,LKA,2012,0
Sub-Saharan Africa,,2015,28
Sub-Saharan Africa,,2018,41
Sudan,SDN,2012,1
Suriname,SUR,2012,0
Swaziland,SWZ,2012,1
Sweden,SWE,2012,1
Switzerland,CHE,2012,1
Syria,SYR,2012,1
Tajikistan,TJK,2012,1
Tanzania,TZA,2012,1
Thailand,THA,2012,0
Timor,TLS,2012,0
Togo,TGO,2012,1
Tonga,TON,2012,0
Trinidad and Tobago,TTO,2012,0
Tunisia,TUN,2012,0
Turkey,TUR,2012,0
Turkmenistan,TKM,2012,0
Tuvalu,TUV,2012,1
Uganda,UGA,2012,1
Ukraine,UKR,2012,0
United Arab Emirates,ARE,2012,1
United Kingdom,GBR,2012,1
United States,USA,2012,0
Uruguay,URY,2012,1
Uzbekistan,UZB,2012,0
Vanuatu,VUT,2012,1
Vatican,VAT,2012,0
Venezuela,VEN,2013,1
Vietnam,VNM,2014,1
Western Asia,,2015,3
Western Asia,,2018,6
World,OWID_WRL,2015,69
World,OWID_WRL,2018,115
Yemen,YEM,2015,0
Zambia,ZMB,2016,1
Zimbabwe,ZWE,2017,1
