Entity,Code,Year,Coal Consumption - Mtoe (terawatt-hours)
Africa,,1965,335.5804016966467
Africa,,1966,331.3610134025187
Africa,,1967,341.0004713171893
Africa,,1968,355.39385738042006
Africa,,1969,357.4942115423544
Africa,,1970,367.9580227497192
Africa,,1971,388.71730871107985
Africa,,1972,392.43156322760404
Africa,,1973,414.9010833653067
Africa,,1974,432.131849537268
Africa,,1975,459.06731026439587
Africa,,1976,481.93690601752826
Africa,,1977,492.9118584002083
Africa,,1978,477.9242128574671
Africa,,1979,504.54755970669015
Africa,,1980,543.879962727227
Africa,,1981,636.1899733330638
Africa,,1982,702.5608991413457
Africa,,1983,710.0347805310636
Africa,,1984,762.6058883890864
Africa,,1985,787.1658893870642
Africa,,1986,805.3560964009224
Africa,,1987,828.319732288599
Africa,,1988,890.1608047806747
Africa,,1989,835.6208618412426
Africa,,1990,877.8098615125164
Africa,,1991,853.1945685110425
Africa,,1992,858.3007481735468
Africa,,1993,871.6152063943182
Africa,,1994,894.1687307428622
Africa,,1995,921.8028401045237
Africa,,1996,934.5518385296646
Africa,,1997,958.3213991566239
Africa,,1998,936.3072787396048
Africa,,1999,965.480620024126
Africa,,2000,963.2739150849898
Africa,,2001,975.5876620605403
Africa,,2002,934.1009274201984
Africa,,2003,1016.7126421051282
Africa,,2004,1118.2899990813512
Africa,,2005,1038.031247750718
Africa,,2006,1052.766008909654
Africa,,2007,1070.1837124193653
Africa,,2008,1179.483909700217
Africa,,2009,1174.4275442732835
Africa,,2010,1164.1430809515305
Africa,,2011,1144.633398513144
Africa,,2012,1116.0859456038786
Africa,,2013,1130.6379358739414
Africa,,2014,1184.5230543077168
Africa,,2015,1136.0252929046346
Africa,,2016,1152.6155812729169
Africa,,2017,1135.3913265968522
Africa,,2018,1179.6984125785075
Algeria,DZA,1965,0.8141000000000002
Algeria,DZA,1966,0.7908400000000001
Algeria,DZA,1967,0.60476
Algeria,DZA,1968,0.63965
Algeria,DZA,1969,0.8141000000000002
Algeria,DZA,1970,0.9652900000000001
Algeria,DZA,1971,0.26749
Algeria,DZA,1972,0.23260000000000003
Algeria,DZA,1973,0.26749
Algeria,DZA,1974,0.22097
Algeria,DZA,1975,0.27912000000000003
Algeria,DZA,1976,0.54661
Algeria,DZA,1977,0.70943
Algeria,DZA,1978,0.36053
Algeria,DZA,1979,0.83736
Algeria,DZA,1980,0.7443200000000001
Algeria,DZA,1981,0.52335
Algeria,DZA,1982,9.71105
Algeria,DZA,1983,8.66435
Algeria,DZA,1984,9.60638
Algeria,DZA,1985,10.02506
Algeria,DZA,1986,10.29255
Algeria,DZA,1987,12.304540000000001
Algeria,DZA,1988,11.571850000000001
Algeria,DZA,1989,9.78083
Algeria,DZA,1990,7.664170000000001
Algeria,DZA,1991,7.908400000000001
Algeria,DZA,1992,9.39704
Algeria,DZA,1993,7.652540000000001
Algeria,DZA,1994,7.2106
Algeria,DZA,1995,7.2106
Algeria,DZA,1996,3.39596
Algeria,DZA,1997,5.954560000000001
Algeria,DZA,1998,6.373240000000001
Algeria,DZA,1999,6.82681
Algeria,DZA,2000,5.64055
Algeria,DZA,2001,6.512800000000001
Algeria,DZA,2002,8.54805
Algeria,DZA,2003,7.04778
Algeria,DZA,2004,8.40849
Algeria,DZA,2005,6.90822
Algeria,DZA,2006,10.257660000000001
Algeria,DZA,2007,8.80391
Algeria,DZA,2008,8.80391
Algeria,DZA,2009,5.65218
Algeria,DZA,2010,3.6053
Algeria,DZA,2011,3.1982500000000003
Algeria,DZA,2012,3.39596
Algeria,DZA,2013,1.8375400000000002
Algeria,DZA,2014,2.08177
Algeria,DZA,2015,1.54679
Algeria,DZA,2016,0.5698700000000001
Algeria,DZA,2017,2.11666
Algeria,DZA,2018,2.11666
Argentina,ARG,1965,8.455049186518222
Argentina,ARG,1966,6.971818298860046
Argentina,ARG,1967,7.840396988836102
Argentina,ARG,1968,7.619035275495471
Argentina,ARG,1969,9.122169996314266
Argentina,ARG,1970,11.722598380005964
Argentina,ARG,1971,10.277542028654782
Argentina,ARG,1972,8.651294898829944
Argentina,ARG,1973,9.496521978894506
Argentina,ARG,1974,11.825921862357568
Argentina,ARG,1975,11.510940291236158
Argentina,ARG,1976,11.64258520941617
Argentina,ARG,1977,11.00850308113062
Argentina,ARG,1978,13.419195359558945
Argentina,ARG,1979,12.501673828738303
Argentina,ARG,1980,11.144589626234863
Argentina,ARG,1981,10.560467206889587
Argentina,ARG,1982,10.666076149838716
Argentina,ARG,1983,9.679963225289931
Argentina,ARG,1984,7.185223693573063
Argentina,ARG,1985,10.599605761728865
Argentina,ARG,1986,12.109349330288072
Argentina,ARG,1987,13.439672780633833
Argentina,ARG,1988,13.772349638372248
Argentina,ARG,1989,14.90276817764186
Argentina,ARG,1990,12.266132187086354
Argentina,ARG,1991,10.794012477295873
Argentina,ARG,1992,12.16816363779679
Argentina,ARG,1993,8.06998722
Argentina,ARG,1994,7.065106990109182
Argentina,ARG,1995,7.414152414461529
Argentina,ARG,1996,7.766816144207845
Argentina,ARG,1997,6.1277140165116055
Argentina,ARG,1998,8.237409361613002
Argentina,ARG,1999,9.885469541269137
Argentina,ARG,2000,7.512647303292917
Argentina,ARG,2001,6.1568522801649905
Argentina,ARG,2002,4.5862964916402085
Argentina,ARG,2003,5.593864633008101
Argentina,ARG,2004,9.519819419961674
Argentina,ARG,2005,10.961644949653884
Argentina,ARG,2006,9.923820577341116
Argentina,ARG,2007,14.360361099340802
Argentina,ARG,2008,17.516068732655715
Argentina,ARG,2009,9.620938057736936
Argentina,ARG,2010,13.472080049759562
Argentina,ARG,2011,14.61864526440268
