Entity,Code,Year,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%) (%)"
Afghanistan,AFG,2000,34.4
Afghanistan,AFG,2005,34.1
Afghanistan,AFG,2010,31.7
Afghanistan,AFG,2015,29.8
Afghanistan,AFG,2016,29.8
Albania,ALB,2000,19.4
Albania,ALB,2005,18.8
Albania,ALB,2010,18.6
Albania,ALB,2015,17.4
Albania,ALB,2016,17
Algeria,DZA,2000,21.1
Algeria,DZA,2005,17.6
Algeria,DZA,2010,15.4
Algeria,DZA,2015,14.4
Algeria,DZA,2016,14.2
Angola,AGO,2000,24
Angola,AGO,2005,21.3
Angola,AGO,2010,18.1
Angola,AGO,2015,16.9
Angola,AGO,2016,16.5
Antigua and Barbuda,ATG,2000,23.4
Antigua and Barbuda,ATG,2005,21.6
Antigua and Barbuda,ATG,2010,21.6
Antigua and Barbuda,ATG,2015,22.6
Antigua and Barbuda,ATG,2016,22.6
Arab World,,2000,24.1182117573436
Arab World,,2005,22.9626996613278
Arab World,,2010,21.774767208962
Arab World,,2015,20.9890583024007
Arab World,,2016,20.7729440718742
Argentina,ARG,2000,20.6
Argentina,ARG,2005,18.9
Argentina,ARG,2010,17.8
Argentina,ARG,2015,16.1
Argentina,ARG,2016,15.8
Armenia,ARM,2000,27.8
Armenia,ARM,2005,26.5
Armenia,ARM,2010,25.9
Armenia,ARM,2015,23
Armenia,ARM,2016,22.3
Australia,AUS,2000,13.1
Australia,AUS,2005,11.4
Australia,AUS,2010,10
Australia,AUS,2015,9.3
Australia,AUS,2016,9.1
Austria,AUT,2000,15.3
Austria,AUT,2005,12.7
Austria,AUT,2010,12.2
Austria,AUT,2015,11.5
Austria,AUT,2016,11.4
Azerbaijan,AZE,2000,29.3
Azerbaijan,AZE,2005,29
Azerbaijan,AZE,2010,24.8
Azerbaijan,AZE,2015,22.5
Azerbaijan,AZE,2016,22.2
Bahamas,BHS,2000,20.1
Bahamas,BHS,2005,18.5
Bahamas,BHS,2010,16.9
Bahamas,BHS,2015,15.6
Bahamas,BHS,2016,15.5
Bahrain,BHR,2000,23.5
Bahrain,BHR,2005,18.1
Bahrain,BHR,2010,13.8
Bahrain,BHR,2015,11.7
Bahrain,BHR,2016,11.3
Bangladesh,BGD,2000,21.4
Bangladesh,BGD,2005,21.8
Bangladesh,BGD,2010,22.2
Bangladesh,BGD,2015,21.7
Bangladesh,BGD,2016,21.6
Barbados,BRB,2000,21
Barbados,BRB,2005,18.8
Barbados,BRB,2010,18
Barbados,BRB,2015,16.3
Barbados,BRB,2016,16.2
Belarus,BLR,2000,34
Belarus,BLR,2005,34.7
Belarus,BLR,2010,31
Belarus,BLR,2015,24.5
Belarus,BLR,2016,23.7
Belgium,BEL,2000,15.2
Belgium,BEL,2005,13.5
Belgium,BEL,2010,12.8
Belgium,BEL,2015,11.6
Belgium,BEL,2016,11.4
Belize,BLZ,2000,26.2
Belize,BLZ,2005,24.3
Belize,BLZ,2010,23.2
Belize,BLZ,2015,22.4
Belize,BLZ,2016,22.1
Benin,BEN,2000,20
Benin,BEN,2005,20.1
Benin,BEN,2010,19.8
Benin,BEN,2015,19.7
Benin,BEN,2016,19.6
Bhutan,BTN,2000,30.8
Bhutan,BTN,2005,27.8
Bhutan,BTN,2010,25.1
Bhutan,BTN,2015,23.7
Bhutan,BTN,2016,23.3
Bolivia,BOL,2000,23
Bolivia,BOL,2005,20.8
Bolivia,BOL,2010,18.8
Bolivia,BOL,2015,17.4
Bolivia,BOL,2016,17.2
Bosnia and Herzegovina,BIH,2000,24.4
Bosnia and Herzegovina,BIH,2005,22.8
Bosnia and Herzegovina,BIH,2010,20.9
Bosnia and Herzegovina,BIH,2015,18.2
Bosnia and Herzegovina,BIH,2016,17.8
