Entity,Code,Year,Borrowed from an employer (% age 15+) (Percent),Borrowed from family or friends (% age 15+) (Percent),Borrowed from a financial institution (% age 15+) (Percent),Borrowed from a private informal lender (% age 15+) (Percent),Borrowed from a store by buying on credit (% age 15+) (Percent)
Afghanistan,AFG,2011,7.990335,30.21982,7.402193,6.361696,8.756367
Albania,ALB,2011,1.205019,10.74834,7.533031,2.054774,2.453305
Algeria,DZA,2011,2.688675,24.84018,1.498464,1.579038,3.134223
Angola,AGO,2011,5.58709,26.20268,7.940878,4.921017,5.215181
Argentina,ARG,2011,1.012304,7.088284,6.591724,0.8828124,3.744465
Armenia,ARM,2011,5.519813,32.35658,18.85763,3.047894,24.94883
Australia,AUS,2011,2.631046,12.59346,16.9835,1.14552,23.74312
Austria,AUT,2011,0.6067356,5.95094,8.25117,0.3391693,6.387725
Azerbaijan,AZE,2011,5.264688,26.86442,17.65567,2.593714,20.08539
Bahrain,BHR,2011,0.7886628,20.65457,21.86955,11.20858,3.254281
Bangladesh,BGD,2011,0.7351319,10.50593,23.3309,6.787088,14.24312
Belarus,BLR,2011,2.075406,38.68527,16.05446,1.817355,13.62533
Belgium,BEL,2011,0.3856112,5.422146,10.51079,0.753974,2.59928
Benin,BEN,2011,1.49632,32.45926,4.192724,8.66868,0.4241414
Bolivia,BOL,2011,1.659652,8.430002,16.62139,3.167007,1.356516
Bosnia and Herzegovina,BIH,2011,1.248332,15.63964,13.02882,1.06586,6.280313
Botswana,BWA,2011,2.93575,46.50013,5.598415,5.364439,5.329909
Brazil,BRA,2011,1.095958,15.62672,6.332926,0.9855535,3.636923
Bulgaria,BGR,2011,1.678014,21.60564,7.808241,1.436194,6.632778
Burkina Faso,BFA,2011,1.072065,31.16426,3.098094,3.130294,1.858791
Burundi,BDI,2011,5.312137,43.86067,1.692742,12.40377,5.625738
Cambodia,KHM,2011,4.106882,38.87873,19.47153,12.75513,11.90805
Cameroon,CMR,2011,1.479892,45.00753,4.452032,8.321576,2.271879
Canada,CAN,2011,1.313827,15.98184,20.30042,2.406008,14.87751
Central African Republic,CAF,2011,1.86513,20.42518,0.9095538,5.272849,2.142129
Chad,TCD,2011,8.923318,30.80777,6.192786,11.01542,4.665961
Chile,CHL,2011,2.256358,9.410056,7.780398,0.9618824,8.065921
China,CHN,2011,1.478744,24.98504,7.256366,1.061082,2.090715
Colombia,COL,2011,3.174721,18.27064,11.94677,6.460855,7.266154
