Entity,Code,Year,"16.a.1 - Countries with National Human Rights Institutions in compliance with the Paris Principles, A status (1 = YES; 0 = NO) - SG_NHR_IMPLN"
Afghanistan,AFG,2010,1
Afghanistan,AFG,2015,1
Afghanistan,AFG,2016,1
Afghanistan,AFG,2017,1
Afghanistan,AFG,2018,1
Albania,ALB,2005,1
Albania,ALB,2010,1
Albania,ALB,2015,1
Albania,ALB,2016,1
Albania,ALB,2017,1
Albania,ALB,2018,1
Algeria,DZA,2000,1
Algeria,DZA,2005,1
Argentina,ARG,2000,1
Argentina,ARG,2005,1
Argentina,ARG,2010,1
Argentina,ARG,2015,1
Argentina,ARG,2016,1
Argentina,ARG,2017,1
Argentina,ARG,2018,1
Armenia,ARM,2010,1
Armenia,ARM,2015,1
Armenia,ARM,2016,1
Armenia,ARM,2017,1
Armenia,ARM,2018,1
Australia,AUS,2000,1
Australia,AUS,2005,1
Australia,AUS,2010,1
Australia,AUS,2015,1
Australia,AUS,2016,1
Australia,AUS,2017,1
Australia,AUS,2018,1
Azerbaijan,AZE,2010,1
Azerbaijan,AZE,2015,1
Azerbaijan,AZE,2016,1
Azerbaijan,AZE,2017,1
Bolivia,BOL,2000,1
Bolivia,BOL,2005,1
Bolivia,BOL,2010,1
Bolivia,BOL,2015,1
Bolivia,BOL,2016,1
Bolivia,BOL,2017,1
Bolivia,BOL,2018,1
Bosnia and Herzegovina,BIH,2005,1
Bosnia and Herzegovina,BIH,2010,1
Bosnia and Herzegovina,BIH,2015,1
Bosnia and Herzegovina,BIH,2016,1
Bosnia and Herzegovina,BIH,2017,1
Bosnia and Herzegovina,BIH,2018,1
Burundi,BDI,2015,1
Burundi,BDI,2016,1
Cameroon,CMR,2000,1
Cameroon,CMR,2005,1
Cameroon,CMR,2010,1
Cameroon,CMR,2015,1
Cameroon,CMR,2016,1
Cameroon,CMR,2017,1
Cameroon,CMR,2018,1
Canada,CAN,2000,1
Canada,CAN,2005,1
Canada,CAN,2010,1
Canada,CAN,2015,1
Canada,CAN,2016,1
Canada,CAN,2017,1
Canada,CAN,2018,1
Chad,TCD,2000,1
Chad,TCD,2005,1
Chile,CHL,2015,1
Chile,CHL,2016,1
Chile,CHL,2017,1
Chile,CHL,2018,1
Colombia,COL,2005,1
Colombia,COL,2010,1
Colombia,COL,2015,1
Colombia,COL,2016,1
Colombia,COL,2017,1
Colombia,COL,2018,1
Costa Rica,CRI,2000,1
Costa Rica,CRI,2005,1
Costa Rica,CRI,2010,1
Costa Rica,CRI,2015,1
Costa Rica,CRI,2016,1
Costa Rica,CRI,2017,1
Costa Rica,CRI,2018,1
Croatia,HRV,2010,1
Croatia,HRV,2015,1
Croatia,HRV,2016,1
Croatia,HRV,2017,1
Croatia,HRV,2018,1
Democratic Republic of Congo,COD,2018,1
Denmark,DNK,2005,1
Denmark,DNK,2010,1
Denmark,DNK,2015,1
Denmark,DNK,2016,1
Denmark,DNK,2017,1
Denmark,DNK,2018,1
Ecuador,ECU,2000,1
Ecuador,ECU,2005,1
Ecuador,ECU,2010,1
Ecuador,ECU,2015,1
Ecuador,ECU,2016,1
Ecuador,ECU,2017,1
Ecuador,ECU,2018,1
Egypt,EGY,2010,1
Egypt,EGY,2015,1
Egypt,EGY,2016,1
Egypt,EGY,2017,1
Egypt,EGY,2018,1
El Salvador,SLV,2010,1
El Salvador,SLV,2015,1
El Salvador,SLV,2016,1
El Salvador,SLV,2017,1
El Salvador,SLV,2018,1
Fiji,FJI,2000,1
Fiji,FJI,2005,1
Finland,FIN,2015,1
Finland,FIN,2016,1
Finland,FIN,2017,1
Finland,FIN,2018,1
France,FRA,2000,1
France,FRA,2005,1
France,FRA,2010,1
France,FRA,2015,1
France,FRA,2016,1
France,FRA,2017,1
France,FRA,2018,1
Georgia,GEO,2010,1
Georgia,GEO,2015,1
Georgia,GEO,2016,1
Georgia,GEO,2017,1
Georgia,GEO,2018,1
Germany,DEU,2005,1
Germany,DEU,2010,1
Germany,DEU,2015,1
Germany,DEU,2016,1
Germany,DEU,2017,1
Germany,DEU,2018,1
Ghana,GHA,2005,1
Ghana,GHA,2010,1
Ghana,GHA,2015,1
Ghana,GHA,2016,1
Ghana,GHA,2017,1
Ghana,GHA,2018,1
Greece,GRC,2000,1
Greece,GRC,2005,1
Greece,GRC,2010,1
Greece,GRC,2015,1
Greece,GRC,2016,1
Greece,GRC,2017,1
Greece,GRC,2018,1
Guatemala,GTM,2000,1
Guatemala,GTM,2005,1
Guatemala,GTM,2010,1
Guatemala,GTM,2015,1
Guatemala,GTM,2016,1
Guatemala,GTM,2017,1
Guatemala,GTM,2018,1
Haiti,HTI,2015,1
Haiti,HTI,2016,1
Haiti,HTI,2017,1
Haiti,HTI,2018,1
Honduras,HND,2010,1
Hungary,HUN,2015,1
Hungary,HUN,2016,1
Hungary,HUN,2017,1
Hungary,HUN,2018,1
India,IND,2000,1
India,IND,2005,1
India,IND,2010,1
India,IND,2015,1
India,IND,2016,1
India,IND,2017,1
India,IND,2018,1
Indonesia,IDN,2000,1
Indonesia,IDN,2005,1
Indonesia,IDN,2010,1
Indonesia,IDN,2015,1
Indonesia,IDN,2016,1
Indonesia,IDN,2017,1
Indonesia,IDN,2018,1
Ireland,IRL,2010,1
Ireland,IRL,2015,1
Ireland,IRL,2016,1
Ireland,IRL,2017,1
Ireland,IRL,2018,1
Jordan,JOR,2010,1
Jordan,JOR,2015,1
Jordan,JOR,2016,1
Jordan,JOR,2017,1
Jordan,JOR,2018,1
Kenya,KEN,2005,1
Kenya,KEN,2010,1
Kenya,KEN,2015,1
Kenya,KEN,2016,1
Kenya,KEN,2017,1
Kenya,KEN,2018,1
Latvia,LVA,2015,1
Latvia,LVA,2016,1
Latvia,LVA,2017,1
Latvia,LVA,2018,1
Liberia,LBR,2017,1
Liberia,LBR,2018,1
Lithuania,LTU,2017,1
Lithuania,LTU,2018,1
Luxembourg,LUX,2005,1
Luxembourg,LUX,2010,1
Luxembourg,LUX,2015,1
Luxembourg,LUX,2016,1
Luxembourg,LUX,2017,1
Luxembourg,LUX,2018,1
Madagascar,MDG,2000,1
Madagascar,MDG,2005,1
Malawi,MWI,2000,1
Malawi,MWI,2005,1
Malawi,MWI,2010,1
Malawi,MWI,2015,1
Malawi,MWI,2016,1
Malawi,MWI,2017,1
Malawi,MWI,2018,1
Malaysia,MYS,2005,1
Malaysia,MYS,2010,1
Malaysia,MYS,2015,1
Malaysia,MYS,2016,1
Malaysia,MYS,2017,1
Malaysia,MYS,2018,1
Mauritania,MRT,2015,1
Mauritania,MRT,2016,1
Mauritania,MRT,2017,1
Mauritania,MRT,2018,1
Mauritius,MUS,2005,1
Mauritius,MUS,2010,1
Mauritius,MUS,2015,1
Mauritius,MUS,2016,1
Mauritius,MUS,2017,1
Mauritius,MUS,2018,1
Mexico,MEX,2000,1
Mexico,MEX,2005,1
Mexico,MEX,2010,1
Mexico,MEX,2015,1
Mexico,MEX,2016,1
Mexico,MEX,2017,1
Mexico,MEX,2018,1
Moldova,MDA,2018,1
Mongolia,MNG,2005,1
Mongolia,MNG,2010,1
Mongolia,MNG,2015,1
Mongolia,MNG,2016,1
Mongolia,MNG,2017,1
Mongolia,MNG,2018,1
Morocco,MAR,2000,1
Morocco,MAR,2005,1
Morocco,MAR,2010,1
Morocco,MAR,2015,1
Morocco,MAR,2016,1
Morocco,MAR,2017,1
Morocco,MAR,2018,1
Namibia,NAM,2005,1
Namibia,NAM,2010,1
Namibia,NAM,2015,1
Namibia,NAM,2016,1
Namibia,NAM,2017,1
Namibia,NAM,2018,1
Nepal,NPL,2005,1
Nepal,NPL,2010,1
Nepal,NPL,2015,1
Nepal,NPL,2016,1
Nepal,NPL,2017,1
Nepal,NPL,2018,1
Netherlands,NLD,2015,1
Netherlands,NLD,2016,1
Netherlands,NLD,2017,1
Netherlands,NLD,2018,1
New Zealand,NZL,2000,1
New Zealand,NZL,2005,1
New Zealand,NZL,2010,1
New Zealand,NZL,2015,1
New Zealand,NZL,2016,1
New Zealand,NZL,2017,1
New Zealand,NZL,2018,1
Nicaragua,NIC,2010,1
Nicaragua,NIC,2015,1
Nicaragua,NIC,2016,1
Nicaragua,NIC,2017,1
Nicaragua,NIC,2018,1
Niger,NER,2005,1
Niger,NER,2017,1
Niger,NER,2018,1
Nigeria,NGA,2000,1
Nigeria,NGA,2005,1
Nigeria,NGA,2015,1
Nigeria,NGA,2016,1
Nigeria,NGA,2017,1
Nigeria,NGA,2018,1
Norway,NOR,2005,1
Norway,NOR,2010,1
Norway,NOR,2017,1
Norway,NOR,2018,1
Palestine,PSE,2005,1
Palestine,PSE,2010,1
Palestine,PSE,2015,1
Palestine,PSE,2016,1
Palestine,PSE,2017,1
Palestine,PSE,2018,1
Panama,PAN,2000,1
Panama,PAN,2005,1
Panama,PAN,2010,1
Panama,PAN,2015,1
Panama,PAN,2016,1
Panama,PAN,2017,1
Panama,PAN,2018,1
Paraguay,PRY,2005,1
Paraguay,PRY,2010,1
Peru,PER,2000,1
Peru,PER,2005,1
Peru,PER,2010,1
Peru,PER,2015,1
Peru,PER,2016,1
Peru,PER,2017,1
Peru,PER,2018,1
Philippines,PHL,2000,1
Philippines,PHL,2005,1
Philippines,PHL,2010,1
Philippines,PHL,2015,1
Philippines,PHL,2016,1
Philippines,PHL,2017,1
Philippines,PHL,2018,1
Poland,POL,2000,1
Poland,POL,2005,1
Poland,POL,2010,1
Poland,POL,2015,1
Poland,POL,2016,1
Poland,POL,2017,1
Poland,POL,2018,1
Portugal,PRT,2000,1
Portugal,PRT,2005,1
Portugal,PRT,2010,1
Portugal,PRT,2015,1
Portugal,PRT,2016,1
Portugal,PRT,2017,1
Portugal,PRT,2018,1
Qatar,QAT,2010,1
Qatar,QAT,2015,1
Qatar,QAT,2016,1
Qatar,QAT,2017,1
Qatar,QAT,2018,1
Russia,RUS,2010,1
Russia,RUS,2015,1
Russia,RUS,2016,1
Russia,RUS,2017,1
Russia,RUS,2018,1
Rwanda,RWA,2005,1
Rwanda,RWA,2010,1
Rwanda,RWA,2015,1
Rwanda,RWA,2016,1
Rwanda,RWA,2017,1
Rwanda,RWA,2018,1
Samoa,WSM,2016,1
Samoa,WSM,2017,1
Samoa,WSM,2018,1
Senegal,SEN,2000,1
Senegal,SEN,2005,1
Senegal,SEN,2010,1
Serbia,SRB,2010,1
Serbia,SRB,2015,1
Serbia,SRB,2016,1
Serbia,SRB,2017,1
Serbia,SRB,2018,1
Sierra Leone,SLE,2015,1
Sierra Leone,SLE,2016,1
Sierra Leone,SLE,2017,1
Sierra Leone,SLE,2018,1
South Africa,ZAF,2000,1
South Africa,ZAF,2005,1
South Africa,ZAF,2010,1
South Africa,ZAF,2015,1
South Africa,ZAF,2016,1
South Africa,ZAF,2017,1
South Africa,ZAF,2018,1
South Korea,KOR,2005,1
South Korea,KOR,2010,1
South Korea,KOR,2015,1
South Korea,KOR,2016,1
South Korea,KOR,2017,1
South Korea,KOR,2018,1
Spain,ESP,2000,1
Spain,ESP,2005,1
Spain,ESP,2010,1
Spain,ESP,2015,1
Spain,ESP,2016,1
Spain,ESP,2017,1
Spain,ESP,2018,1
Sri Lanka,LKA,2018,1
Sweden,SWE,2000,1
Sweden,SWE,2005,1
Tanzania,TZA,2005,1
Tanzania,TZA,2010,1
Tanzania,TZA,2015,1
Tanzania,TZA,2016,1
Tanzania,TZA,2017,1
Tanzania,TZA,2018,1
Thailand,THA,2005,1
Thailand,THA,2010,1
Timor,TLS,2010,1
Timor,TLS,2015,1
Timor,TLS,2016,1
Timor,TLS,2017,1
Timor,TLS,2018,1
Togo,TGO,2000,1
Togo,TGO,2005,1
Togo,TGO,2010,1
Togo,TGO,2015,1
Togo,TGO,2016,1
Togo,TGO,2017,1
Togo,TGO,2018,1
Uganda,UGA,2000,1
Uganda,UGA,2005,1
Uganda,UGA,2010,1
Uganda,UGA,2015,1
Uganda,UGA,2016,1
Uganda,UGA,2017,1
Uganda,UGA,2018,1
Ukraine,UKR,2010,1
Ukraine,UKR,2015,1
Ukraine,UKR,2016,1
