Entity,Code,Year,12.c.1 - Fossil-fuel pre-tax subsidies (consumption and production) per capita (current United States dollars) - ER_FFS_PRTSPC (USD)
Afghanistan,AFG,2013,0.77693
Afghanistan,AFG,2015,0.82709
Africa,,2013,76.69665
Africa,,2015,43.32251
Albania,ALB,2013,68.15863
Albania,ALB,2015,21.74064
Algeria,DZA,2013,412.69119
Algeria,DZA,2015,222.61283
Americas,,2013,90.57446
Americas,,2015,57.45376
Angola,AGO,2013,192.32946
Angola,AGO,2015,38.3656
Antigua and Barbuda,ATG,2013,109.87166
Antigua and Barbuda,ATG,2015,111.4347
Argentina,ARG,2013,286.54864
Argentina,ARG,2015,206.54453
Armenia,ARM,2013,1.81795
Armenia,ARM,2015,1.39821
Asia,,2013,75.20209
Asia,,2015,39.71087
"Asia, Central",,2013,297.30295
"Asia, Central",,2015,241.12053
Australia,AUS,2013,33.18503
Australia,AUS,2015,34.28268
Australia and New Zealand,,2013,27.76675
Australia and New Zealand,,2015,28.71507
Austria,AUT,2013,15.96356
Austria,AUT,2015,16.28513
Azerbaijan,AZE,2013,243.54083
Azerbaijan,AZE,2015,92.90353
Bahamas,BHS,2013,118.19746
Bahamas,BHS,2015,119.44515
Bahrain,BHR,2013,2027.17817
Bahrain,BHR,2015,1326.14545
Bangladesh,BGD,2013,27.39533
Bangladesh,BGD,2015,15.52417
Barbados,BRB,2013,30.36938
Barbados,BRB,2015,29.86692
Belarus,BLR,2013,28.95641
Belarus,BLR,2015,10.51642
Belgium,BEL,2013,265.54968
Belgium,BEL,2015,270.04338
Belize,BLZ,2013,124.70916
Belize,BLZ,2015,125.32038
Benin,BEN,2013,0
Benin,BEN,2015,0
Bolivia,BOL,2013,155.96609
Bolivia,BOL,2015,61.11229
Bosnia and Herzegovina,BIH,2013,0
Bosnia and Herzegovina,BIH,2015,0
Botswana,BWA,2013,45.89913
Botswana,BWA,2015,48.97047
Brazil,BRA,2013,11.17248
Brazil,BRA,2015,8.33394
Brunei,BRN,2013,1077.04228
Brunei,BRN,2015,329.46548
Bulgaria,BGR,2013,26.25709
Bulgaria,BGR,2015,0
Burkina Faso,BFA,2013,7.03524
Burkina Faso,BFA,2015,7.56949
Burundi,BDI,2013,0
Cambodia,KHM,2013,0
Cambodia,KHM,2015,0
Cameroon,CMR,2013,33.92204
Cameroon,CMR,2015,33.13707
Canada,CAN,2013,38.11289
Canada,CAN,2015,39.06766
Cape Verde,CPV,2013,87.63561
Cape Verde,CPV,2015,88.99318
Central America,,2013,78.19127
Central America,,2015,6.37868
Central and Southern Asia,,2013,77.33665
Central and Southern Asia,,2015,51.1164
Chile,CHL,2013,0
Chile,CHL,2015,0
China,CHN,2013,5.30212
China,CHN,2015,0
Colombia,COL,2013,16.06143
Colombia,COL,2015,17.31434
Congo,COG,2013,150.92635
Congo,COG,2015,157.0076
Costa Rica,CRI,2013,0
Costa Rica,CRI,2015,0
Cote d'Ivoire,CIV,2013,38.09906
Cote d'Ivoire,CIV,2015,42.37184
Croatia,HRV,2013,0
Croatia,HRV,2015,0
Cyprus,CYP,2013,0
Cyprus,CYP,2015,0
Czech Republic,CZE,2013,0
Czech Republic,CZE,2015,0
Democratic Republic of Congo,COD,2013,7.4692
Democratic Republic of Congo,COD,2015,8.29722
Denmark,DNK,2013,0
Denmark,DNK,2015,0
Djibouti,DJI,2013,6.77807
Djibouti,DJI,2015,7.1419
Dominica,DMA,2013,7.03117
Dominica,DMA,2015,7.22091
Dominican Republic,DOM,2013,111.74948
Dominican Republic,DOM,2015,111.25378
Eastern Africa,,2013,23.22136
Eastern Africa,,2015,23.83597
Eastern Asia,,2013,4.86505
Eastern Asia,,2015,0.08529
Eastern Europe,,2013,184.38551
Eastern Europe,,2015,177.67595
Eastern and South-Eastern Asia,,2013,28.44425
Eastern and South-Eastern Asia,,2015,5.34417
Ecuador,ECU,2013,284.9908
Ecuador,ECU,2015,100.45575
Egypt,EGY,2013,348.89684
Egypt,EGY,2015,177.15659
El Salvador,SLV,2013,78.82561
El Salvador,SLV,2015,80.38338
Equatorial Guinea,GNQ,2013,0
Equatorial Guinea,GNQ,2015,0
Estonia,EST,2013,0
Estonia,EST,2015,0
Ethiopia,ETH,2013,8.31183
Ethiopia,ETH,2015,7.22901
Europe,,2013,84.09726
Europe,,2015,81.30974
Europe and Northern America,,2013,68.26212
Europe and Northern America,,2015,68.26566
"Europe, Western",,2013,33.7869
"Europe, Western",,2015,34.44804
Finland,FIN,2013,0
Finland,FIN,2015,0
France,FRA,2013,2.29163
France,FRA,2015,2.3018
Gabon,GAB,2013,23.64249
Gabon,GAB,2015,0
Georgia,GEO,2013,0
Georgia,GEO,2015,0
Germany,DEU,2013,39.24677
Germany,DEU,2015,40.07689
Ghana,GHA,2013,1.31873
Ghana,GHA,2015,0
Greece,GRC,2013,21.51454
Greece,GRC,2015,22.42918
Grenada,GRD,2013,38.48438
Grenada,GRD,2015,39.1401
Guatemala,GTM,2013,13.89873
Guatemala,GTM,2015,9.41346
Guyana,GUY,2013,48.6131
Guyana,GUY,2015,51.9925
Haiti,HTI,2013,22.13492
Haiti,HTI,2015,19.93263
Honduras,HND,2013,20.5477
Honduras,HND,2015,0
Hong Kong,HKG,2013,0
Hong Kong,HKG,2015,0
Hungary,HUN,2013,0.00338
Hungary,HUN,2015,0.00357
Iceland,ISL,2013,0
Iceland,ISL,2015,0
India,IND,2013,25.72628
India,IND,2015,8.837
Indonesia,IDN,2013,186.00979
Indonesia,IDN,2015,37.6477
Iran,IRN,2013,990.20275
Iran,IRN,2015,789.19326
Iraq,IRQ,2013,42.4359
Iraq,IRQ,2015,11.20249
Ireland,IRL,2013,23.10767
Ireland,IRL,2015,24.37854
Israel,ISR,2013,1.07295
Israel,ISR,2015,1.08751
Italy,ITA,2013,0
Italy,ITA,2015,0
Jamaica,JAM,2013,5.09952
Jamaica,JAM,2015,0
Japan,JPN,2013,1.0331
Japan,JPN,2015,1.05599
Jordan,JOR,2013,194.29078
Jordan,JOR,2015,69.88376
Kazakhstan,KAZ,2013,110.2487
Kazakhstan,KAZ,2015,111.91309
Kenya,KEN,2013,3.45623
Kenya,KEN,2015,3.66555
Kuwait,KWT,2013,2574.94468
Kuwait,KWT,2015,798.6129
Kyrgyzstan,KGZ,2013,189.01321
Kyrgyzstan,KGZ,2015,116.8103
Landlocked developing countries,,2013,75.20293
Landlocked developing countries,,2015,59.61904
Latin America and the Caribbean	,,2013,123.03648
Latin America and the Caribbean	,,2015,66.89465
Latvia,LVA,2013,0
Latvia,LVA,2015,0
Least Developed Countries (LDCs),,2013,22.68544
Least Developed Countries (LDCs),,2015,13.16397
Lebanon,LBN,2013,510.14894
Lebanon,LBN,2015,499.90814
Lesotho,LSO,2013,17.31219
Lesotho,LSO,2015,18.80592
Libya,LBY,2013,1096.00535
Libya,LBY,2015,426.66903
Lithuania,LTU,2013,0
Lithuania,LTU,2015,0
Luxembourg,LUX,2013,0
Luxembourg,LUX,2015,0
Macedonia,MKD,2013,0
Macedonia,MKD,2015,0
Madagascar,MDG,2013,4.60174
Madagascar,MDG,2015,4.66409
Malawi,MWI,2013,6.26837
Malawi,MWI,2015,6.6336
Malaysia,MYS,2013,118.52161
Malaysia,MYS,2015,0
Mali,MLI,2013,7.8282
Mali,MLI,2015,8.15891
Malta,MLT,2013,0
Malta,MLT,2015,0
Mauritania,MRT,2013,11.33757
Mauritania,MRT,2015,12.3378
Melanesia,OWID_MNS,2013,0
Melanesia,OWID_MNS,2015,0
Mexico,MEX,2013,96.01876
Mexico,MEX,2015,0
Middle Africa,,2013,55.50042
Middle Africa,,2015,24.01692
Moldova,MDA,2013,0
Moldova,MDA,2015,0
Mongolia,MNG,2013,0
Mongolia,MNG,2015,0
Montenegro,MNE,2013,0
Montenegro,MNE,2015,0
Morocco,MAR,2013,10.92493
Morocco,MAR,2015,7.51359
Mozambique,MOZ,2013,34.71927
Mozambique,MOZ,2015,38.63255
Myanmar,MMR,2013,0.11199
Myanmar,MMR,2015,1.93825
Namibia,NAM,2013,48.13897
Namibia,NAM,2015,50.5535
Nepal,NPL,2013,0
Nepal,NPL,2015,0
Netherlands,NLD,2013,0
Netherlands,NLD,2015,0
New Zealand,NZL,2013,0
New Zealand,NZL,2015,0
Nicaragua,NIC,2013,38.45636
Nicaragua,NIC,2015,37.59857
Nigeria,NGA,2013,21.6049
Nigeria,NGA,2015,5.15452
Northern Africa,,2013,261.31186
Northern Africa,,2015,133.55485
Northern Africa and Western Asia,,2013,396.6459
Northern Africa and Western Asia,,2015,208.23271
Northern America,,2013,34.89808
Northern America,,2015,41.13148
Northern Europe,,2013,6.81515
Northern Europe,,2015,7.11806
Norway,NOR,2013,23.98584
Norway,NOR,2015,24.3152
Oceania,,2013,21.78767
Oceania,,2015,22.45595
Oman,OMN,2013,960.36185
Oman,OMN,2015,221.952
Other non-specified areas,,2013,13.47232
Other non-specified areas,,2015,14.59729
Pakistan,PAK,2013,46.69008
Pakistan,PAK,2015,16.86824
Panama,PAN,2013,52.54419
Panama,PAN,2015,42.09186
Papua New Guinea,PNG,2013,0
Papua New Guinea,PNG,2015,0
Paraguay,PRY,2013,4.2811
Paraguay,PRY,2015,4.49919
Peru,PER,2013,0
Peru,PER,2015,0
Philippines,PHL,2013,0
Philippines,PHL,2015,0
Poland,POL,2013,18.94538
Poland,POL,2015,20.23189
Portugal,PRT,2013,0.73784
Portugal,PRT,2015,0.7606
Qatar,QAT,2013,3340.86028
Qatar,QAT,2015,1544.13645
Romania,ROU,2013,0
Romania,ROU,2015,0
Russia,RUS,2013,304.06582
Russia,RUS,2015,297.9778
Rwanda,RWA,2013,2.39805
Rwanda,RWA,2015,2.56767
Saint Kitts and Nevis,KNA,2013,66.28434
Saint Kitts and Nevis,KNA,2015,68.0462
Saudi Arabia,SAU,2013,2180.54358
Saudi Arabia,SAU,2015,1185.00777
Senegal,SEN,2013,27.00788
Senegal,SEN,2015,18.44646
Serbia,SRB,2013,0
Serbia,SRB,2015,0
Singapore,SGP,2013,0
Singapore,SGP,2015,0
Slovakia,SVK,2013,1.20873
Slovakia,SVK,2015,1.26689
Slovenia,SVN,2013,4.61674
Slovenia,SVN,2015,4.73754
South Africa,ZAF,2013,47.45764
South Africa,ZAF,2015,45.8129
South America,,2013,143.04524
South America,,2015,90.81507
South Eastern Asia,,2013,86.69387
South Eastern Asia,,2015,17.70803
South Korea,KOR,2013,3.59029
South Korea,KOR,2015,0.00229
Southern Africa,,2013,46.37082
Southern Africa,,2015,45.16466
Southern Asia,,2013,69.10368
Southern Asia,,2015,43.95202
Southern Europe,,2013,5.6313
Southern Europe,,2015,4.90282
Spain,ESP,2013,8.6189
Spain,ESP,2015,8.91763
Sri Lanka,LKA,2013,14.63657
Sri Lanka,LKA,2015,7.78705
Sub-Saharan Africa,,2013,28.17324
Sub-Saharan Africa,,2015,19.96843
Sudan,SDN,2013,24.67508
Sudan,SDN,2015,13.83794
Suriname,SUR,2013,156.4967
Suriname,SUR,2015,164.50306
Sweden,SWE,2013,0
Sweden,SWE,2015,0
Switzerland,CHE,2013,0
Switzerland,CHE,2015,0
Tajikistan,TJK,2013,34.85169
Tajikistan,TJK,2015,37.74403
Tanzania,TZA,2013,14.11672
Tanzania,TZA,2015,15.26768
Thailand,THA,2013,15.40473
Thailand,THA,2015,0
Togo,TGO,2013,0
Trinidad and Tobago,TTO,2013,806.87467
Trinidad and Tobago,TTO,2015,591.46492
