Entity,Code,Year,9.3.2 - Proportion of small-scale industries with a loan or line of credit (%) - FC_ACC_SSID (%)
Afghanistan,AFG,2014,2.38
Albania,ALB,2007,37.37
Albania,ALB,2013,21.59
Angola,AGO,2006,1.09
Angola,AGO,2010,2.45
Antigua and Barbuda,ATG,2010,50
Argentina,ARG,2006,28.24
Argentina,ARG,2010,43.82
Argentina,ARG,2017,42.19
Armenia,ARM,2009,35.49
Armenia,ARM,2013,15.12
Azerbaijan,AZE,2009,25.16
Azerbaijan,AZE,2013,28.3
Bahamas,BHS,2010,32.11
Bangladesh,BGD,2013,30.99
Barbados,BRB,2010,44
Belarus,BLR,2008,23.5
Belarus,BLR,2013,17.41
Belize,BLZ,2010,39.26
Benin,BEN,2009,25.97
Benin,BEN,2016,51.5
Bhutan,BTN,2009,38.08
Bhutan,BTN,2015,31.78
Bolivia,BOL,2006,37.24
Bolivia,BOL,2010,40.19
Bolivia,BOL,2017,30.85
Bosnia and Herzegovina,BIH,2009,59.31
Bosnia and Herzegovina,BIH,2013,77.53
Botswana,BWA,2006,26.8
Botswana,BWA,2010,35.55
Brazil,BRA,2009,55.6
Bulgaria,BGR,2007,27.29
Bulgaria,BGR,2009,31.39
Bulgaria,BGR,2013,40.91
Burkina Faso,BFA,2009,20.25
Burundi,BDI,2006,25.26
Burundi,BDI,2014,30.74
Cambodia,KHM,2013,38.7
Cambodia,KHM,2016,20.1
Cameroon,CMR,2009,36.03
Cameroon,CMR,2016,7.19
Cape Verde,CPV,2009,12.69
Central African Republic,CAF,2011,21.35
Chad,TCD,2009,19.95
Chad,TCD,2018,4.55
Chile,CHL,2006,40.83
Chile,CHL,2010,69.75
China,CHN,2012,11.39
Colombia,COL,2006,35.5
Colombia,COL,2010,59.21
Colombia,COL,2017,59.74
Costa Rica,CRI,2010,55.39
Cote d'Ivoire,CIV,2009,5.18
Cote d'Ivoire,CIV,2016,9.62
Croatia,HRV,2007,74.92
Croatia,HRV,2013,47.34
Czech Republic,CZE,2009,41.66
Czech Republic,CZE,2013,49.23
Democratic Republic of Congo,COD,2006,4
Democratic Republic of Congo,COD,2010,10.82
Democratic Republic of Congo,COD,2013,5.28
Djibouti,DJI,2013,26.19
Dominica,DMA,2010,20
Dominican Republic,DOM,2010,63.54
Dominican Republic,DOM,2016,49.72
Ecuador,ECU,2006,33.35
Ecuador,ECU,2010,48.06
Ecuador,ECU,2017,44.93
Egypt,EGY,2013,5.25
Egypt,EGY,2016,4.33
El Salvador,SLV,2006,63.13
El Salvador,SLV,2010,78.19
El Salvador,SLV,2016,41.63
Eritrea,ERI,2009,14.02
Estonia,EST,2009,51.67
Estonia,EST,2013,41.35
Federated States of Micronesia,,2009,58.09
Fiji,FJI,2009,27.83
Gambia,GMB,2006,13.22
Gambia,GMB,2018,8.59
Georgia,GEO,2008,32.4
Georgia,GEO,2013,41.33
Ghana,GHA,2007,9.4
Ghana,GHA,2013,16.79
Grenada,GRD,2010,64.43
Guatemala,GTM,2006,32.39
Guatemala,GTM,2010,23.4
Guatemala,GTM,2017,46.64
Guinea,GIN,2006,1.73
Guinea,GIN,2016,8.74
Guinea-Bissau,GNB,2006,2.52
Guyana,GUY,2010,43.21
Honduras,HND,2006,36.51
Honduras,HND,2010,13.35
Honduras,HND,2016,39.21
Hungary,HUN,2009,42.55
Hungary,HUN,2013,27.23
India,IND,2014,27.98
Indonesia,IDN,2009,15.12
Indonesia,IDN,2015,34.31
Iraq,IRQ,2011,3.72
Israel,ISR,2013,50.94
Jamaica,JAM,2010,33
Jordan,JOR,2013,12.56
Kazakhstan,KAZ,2009,13.33
Kazakhstan,KAZ,2013,13.72
Kenya,KEN,2007,46.44
Kenya,KEN,2013,44.07
Kyrgyzstan,KGZ,2009,18.95
Kyrgyzstan,KGZ,2013,15.7
Laos,LAO,2009,15.37
Laos,LAO,2012,33.71
Laos,LAO,2016,6.67
Latvia,LVA,2009,34.81
Latvia,LVA,2013,9.21
Lebanon,LBN,2013,37.15
Lesotho,LSO,2009,16.01
Lesotho,LSO,2016,23.39
Liberia,LBR,2009,6.05
Liberia,LBR,2017,11.11
Lithuania,LTU,2009,33.38
Lithuania,LTU,2013,16.21
Macedonia,MKD,2009,61.16
Macedonia,MKD,2013,40.93
Madagascar,MDG,2009,10.82
Madagascar,MDG,2013,12.91
Malawi,MWI,2009,27.67
Malawi,MWI,2014,23.05
Malaysia,MYS,2015,40.47
Mali,MLI,2007,5.76
Mali,MLI,2010,9.93
Mali,MLI,2016,18.75
Mauritania,MRT,2006,23.24
Mauritania,MRT,2014,18.56
Mauritius,MUS,2009,35.89
Mexico,MEX,2006,14.07
Mexico,MEX,2010,15.45
Moldova,MDA,2009,48.56
Moldova,MDA,2013,37.6
Mongolia,MNG,2009,41.71
Mongolia,MNG,2013,28.67
Montenegro,MNE,2009,52.18
Montenegro,MNE,2013,61.58
Morocco,MAR,2013,47.84
Mozambique,MOZ,2007,4.38
Myanmar,MMR,2014,4.5
Myanmar,MMR,2016,15.18
Namibia,NAM,2006,27.86
Namibia,NAM,2014,21.13
Nepal,NPL,2009,46.14
Nepal,NPL,2013,30.72
Nicaragua,NIC,2006,39.37
Nicaragua,NIC,2010,28.52
Nicaragua,NIC,2016,58.68
Niger,NER,2009,38.56
Niger,NER,2017,6.72
Nigeria,NGA,2007,1.88
Nigeria,NGA,2014,5.11
Pakistan,PAK,2007,2.15
Pakistan,PAK,2013,6.55
Palestine,PSE,2013,1.83
Panama,PAN,2006,45.38
Panama,PAN,2010,26.79
Papua New Guinea,PNG,2015,30.9
Paraguay,PRY,2006,39.47
Paraguay,PRY,2010,69.98
Paraguay,PRY,2017,35.72
Peru,PER,2006,40.34
Peru,PER,2010,65.84
Peru,PER,2017,72.2
Philippines,PHL,2009,16.39
Philippines,PHL,2015,23.99
Poland,POL,2009,47.43
Poland,POL,2013,26.18
Romania,ROU,2009,29.92
Romania,ROU,2013,42.82
Russia,RUS,2009,5.83
Russia,RUS,2012,10.62
Rwanda,RWA,2006,36.7
Rwanda,RWA,2011,29.19
Saint Kitts and Nevis,KNA,2010,29.51
Saint Lucia,LCA,2010,41.03
Saint Vincent and the Grenadines,VCT,2010,65.93
Samoa,WSM,2009,32.55
Senegal,SEN,2007,7.1
Senegal,SEN,2014,10.47
Serbia,SRB,2009,62.86
Serbia,SRB,2013,47.35
Sierra Leone,SLE,2009,6.04
Sierra Leone,SLE,2017,3.02
Slovakia,SVK,2009,50.75
Slovakia,SVK,2013,45.79
Slovenia,SVN,2009,67.23
Slovenia,SVN,2013,72.26
Solomon Islands,SLB,2015,63.64
South Africa,ZAF,2007,21.1
South Sudan,SSD,2014,7.96
Sri Lanka,LKA,2011,26.11
Suriname,SUR,2010,44.56
Swaziland,SWZ,2006,33.76
Swaziland,SWZ,2016,46.86
Sweden,SWE,2014,41.34
Tajikistan,TJK,2008,21.9
Tajikistan,TJK,2013,15.25
Tanzania,TZA,2006,10.38
Tanzania,TZA,2013,11.11
Thailand,THA,2016,9.04
Timor,TLS,2009,5.83
Timor,TLS,2015,20.15
Togo,TGO,2009,24.1
Togo,TGO,2016,19.41
Tonga,TON,2009,44.91
Trinidad and Tobago,TTO,2010,53.9
Tunisia,TUN,2013,39.96
Turkey,TUR,2008,45.56
Turkey,TUR,2013,46.84
Uganda,UGA,2006,10.17
Uganda,UGA,2013,6.31
Ukraine,UKR,2008,17.63
Ukraine,UKR,2013,16.5
Uruguay,URY,2006,40.9
Uruguay,URY,2010,25.55
Uruguay,URY,2017,43.5
Uzbekistan,UZB,2008,8.48
Uzbekistan,UZB,2013,27.32
Vanuatu,VUT,2009,56.73
Venezuela,VEN,2006,20.39
Venezuela,VEN,2010,45.26
Vietnam,VNM,2009,30.64
Vietnam,VNM,2015,37.28
Yemen,YEM,2010,3.35
Yemen,YEM,2013,3.38
Zambia,ZMB,2007,4.09
Zambia,ZMB,2013,11.22
Zimbabwe,ZWE,2011,7.43
Zimbabwe,ZWE,2016,5.69
