Entity,Code,Year,"Acute care beds per 1,000 people (beds per 1,000 people)"
Austria,AUT,2005,6.43
Austria,AUT,2006,6.37
Austria,AUT,2007,6.38
Austria,AUT,2008,6.29
Austria,AUT,2009,6.23
Austria,AUT,2010,6.16
Austria,AUT,2011,6.1000000000000005
Austria,AUT,2012,6
Austria,AUT,2013,5.87
Austria,AUT,2014,5.78
Austria,AUT,2015,5.65
Austria,AUT,2016,5.55
Austria,AUT,2017,5.45
Bangladesh,BGD,2017,0.20800000000000002
Belgium,BEL,2005,5.79
Belgium,BEL,2006,5.7
Belgium,BEL,2007,5.61
Belgium,BEL,2008,5.59
Belgium,BEL,2009,5.49
Belgium,BEL,2010,5.46
Belgium,BEL,2011,5.38
Belgium,BEL,2012,5.3
Belgium,BEL,2013,5.24
Belgium,BEL,2014,5.24
Belgium,BEL,2015,5.19
Belgium,BEL,2016,5.12
Belgium,BEL,2017,5
Belgium,BEL,2018,4.98
Brunei,BRN,2017,2.784
Bulgaria,BGR,2011,7.66
Bulgaria,BGR,2017,6.167999999999999
Canada,CAN,2005,2.73
Canada,CAN,2006,2.25
Canada,CAN,2007,2.2
Canada,CAN,2008,2.17
Canada,CAN,2009,2.12
Canada,CAN,2010,2.09
Canada,CAN,2011,2.1
Canada,CAN,2012,2.1
Canada,CAN,2013,2.07
Canada,CAN,2014,2.06
Canada,CAN,2015,2.02
Canada,CAN,2016,2.0100000000000002
Canada,CAN,2017,1.96
Canada,CAN,2018,1.95
Chile,CHL,2008,2.06
Chile,CHL,2009,1.97
Chile,CHL,2010,1.97
Chile,CHL,2011,2.1
Chile,CHL,2012,2.0100000000000002
Chile,CHL,2013,2.02
Chile,CHL,2014,1.99
Chile,CHL,2015,2.0100000000000002
Chile,CHL,2016,1.99
Chile,CHL,2017,1.99
China,CHN,2015,3.865
Croatia,HRV,2011,3.5300000000000002
Croatia,HRV,2017,3.505
Cyprus,CYP,2011,2.5
Cyprus,CYP,2017,3.4
Czech Republic,CZE,2005,5.37
Czech Republic,CZE,2006,5.28
Czech Republic,CZE,2007,5.21
Czech Republic,CZE,2008,5.1000000000000005
Czech Republic,CZE,2009,5.01
Czech Republic,CZE,2010,4.8
Czech Republic,CZE,2011,4.59
Czech Republic,CZE,2012,4.46
Czech Republic,CZE,2013,4.22
Czech Republic,CZE,2014,4.18
Czech Republic,CZE,2015,4.16
Czech Republic,CZE,2016,4.14
Czech Republic,CZE,2017,4.11
Denmark,DNK,2005,3.8000000000000003
Denmark,DNK,2006,3.72
Denmark,DNK,2007,3.6
Denmark,DNK,2008,3.5100000000000002
Denmark,DNK,2009,3.44
Denmark,DNK,2010,3.44
Denmark,DNK,2011,3.0700000000000003
Denmark,DNK,2013,3
Denmark,DNK,2014,2.62
Denmark,DNK,2015,2.46
Denmark,DNK,2016,2.52
Denmark,DNK,2017,2.54
Denmark,DNK,2018,2.42
Estonia,EST,2005,4.0600000000000005
Estonia,EST,2006,4.19
Estonia,EST,2007,4.07
Estonia,EST,2008,4.12
Estonia,EST,2009,3.9
Estonia,EST,2010,3.7600000000000002
Estonia,EST,2011,3.83
Estonia,EST,2012,3.85
Estonia,EST,2013,3.67
Estonia,EST,2014,3.67
Estonia,EST,2015,3.68
Estonia,EST,2016,3.5
Estonia,EST,2017,3.45
European Union,,2017,3.722
Finland,FIN,2005,3.72
Finland,FIN,2006,3.64
Finland,FIN,2007,3.5700000000000003
Finland,FIN,2008,3.5
Finland,FIN,2009,3.41
Finland,FIN,2010,3.38
Finland,FIN,2011,3.3000000000000003
Finland,FIN,2012,3.25
Finland,FIN,2013,3.12
Finland,FIN,2014,3.09
Finland,FIN,2015,3.0500000000000003
Finland,FIN,2016,2.94
Finland,FIN,2017,2.8000000000000003
France,FRA,2005,3.69
France,FRA,2006,3.62
France,FRA,2007,3.58
France,FRA,2008,3.52
France,FRA,2009,3.49
France,FRA,2010,3.46
France,FRA,2011,3.43
France,FRA,2012,3.39
France,FRA,2013,3.34
