Entity,Code,Year,General Services Support (IDB Agrimonitor) (%)
Bolivia,BOL,2006,21.1
Bolivia,BOL,2007,20.1
Bolivia,BOL,2008,18
Bolivia,BOL,2009,12.6
Brazil,BRA,2004,35
Brazil,BRA,2005,27
Brazil,BRA,2006,24.1
Brazil,BRA,2007,20.5
Brazil,BRA,2008,24.6
Brazil,BRA,2009,14.5
Brazil,BRA,2010,16.5
Brazil,BRA,2011,13.9
Brazil,BRA,2012,18.4
Brazil,BRA,2013,18.6
Brazil,BRA,2014,14
Chile,CHL,2004,27.6
Chile,CHL,2005,29.8
Chile,CHL,2006,31.1
Chile,CHL,2007,38.8
Chile,CHL,2008,44.7
Chile,CHL,2009,44.4
Chile,CHL,2010,54.7
Chile,CHL,2011,52.8
Chile,CHL,2012,47
Chile,CHL,2013,45.7
Chile,CHL,2014,51.4
Colombia,COL,2004,7
Colombia,COL,2005,9.5
Colombia,COL,2006,9.4
Colombia,COL,2007,9.4
Colombia,COL,2008,9.5
Colombia,COL,2009,9.6
Colombia,COL,2010,8.7
Colombia,COL,2011,13.5
Colombia,COL,2012,14.6
Colombia,COL,2013,17
Colombia,COL,2014,13.3
Costa Rica,CRI,2004,38.7
Costa Rica,CRI,2005,41.6
Costa Rica,CRI,2006,38.6
Costa Rica,CRI,2007,62.2
Costa Rica,CRI,2008,28.8
Costa Rica,CRI,2009,30.5
Costa Rica,CRI,2010,25.9
Costa Rica,CRI,2011,30.5
Costa Rica,CRI,2012,24.9
Dominican Republic,DOM,2006,3.6
Dominican Republic,DOM,2007,5.1
Dominican Republic,DOM,2008,7.2
Dominican Republic,DOM,2009,5.5
Dominican Republic,DOM,2010,6.9
Dominican Republic,DOM,2011,12.6
Dominican Republic,DOM,2012,29.7
Dominican Republic,DOM,2013,17.4
Ecuador,ECU,2006,19.6
Ecuador,ECU,2007,16.8
Ecuador,ECU,2008,14.1
Ecuador,ECU,2009,2.4
Ecuador,ECU,2010,5.2
Ecuador,ECU,2011,19.7
Ecuador,ECU,2012,6.7
El Salvador,SLV,2011,2.535
El Salvador,SLV,2012,3.995
Guatemala,GTM,2008,8.149
Guatemala,GTM,2009,11.027
Guatemala,GTM,2010,4.833
Honduras,HND,2011,10.415
Honduras,HND,2012,16.793
Jamaica,JAM,2006,8.127
Jamaica,JAM,2007,9.472
Jamaica,JAM,2008,9.957
Jamaica,JAM,2009,9.765
Jamaica,JAM,2010,7.344
Jamaica,JAM,2011,4.57
Jamaica,JAM,2012,5.551
Mexico,MEX,2004,15.79
Mexico,MEX,2005,13.75
Mexico,MEX,2006,12.06
Mexico,MEX,2007,13.13
Mexico,MEX,2008,10.61
Mexico,MEX,2009,11.1
Mexico,MEX,2010,10.08
Mexico,MEX,2011,10.13
Mexico,MEX,2012,11.6
Mexico,MEX,2013,11.69
Mexico,MEX,2014,8.95
Nicaragua,NIC,2009,24.191
Nicaragua,NIC,2010,32.226
Paraguay,PRY,2007,20.933
Paraguay,PRY,2008,30.171
Paraguay,PRY,2009,33.064
Paraguay,PRY,2010,35.154
Paraguay,PRY,2011,36.741
Paraguay,PRY,2012,41.54
Paraguay,PRY,2013,34.052
Peru,PER,2010,47.978
Peru,PER,2011,35.851
Peru,PER,2012,50.388
Peru,PER,2013,58.542
Suriname,SUR,2009,51.052
Suriname,SUR,2010,34.256
Uruguay,URY,2009,56.316
Uruguay,URY,2010,64.51
Uruguay,URY,2011,63.506
Uruguay,URY,2012,71.38
Uruguay,URY,2013,72.257
