Entity,Code,Year,"Spirits, recorded per capita (15+) consumption (in litres of pure alcohol)  (litres of pure alcohol)"
Afghanistan,AFG,1961,0
Afghanistan,AFG,1962,0
Afghanistan,AFG,1963,0
Afghanistan,AFG,1964,0
Afghanistan,AFG,1965,0
Afghanistan,AFG,1966,0
Afghanistan,AFG,1967,0
Afghanistan,AFG,1968,0
Afghanistan,AFG,1969,0
Afghanistan,AFG,1970,0
Afghanistan,AFG,1971,0
Afghanistan,AFG,1972,0
Afghanistan,AFG,1973,0
Afghanistan,AFG,1974,0
Afghanistan,AFG,1975,0
Afghanistan,AFG,1976,0
Afghanistan,AFG,1977,0
Afghanistan,AFG,1978,0
Afghanistan,AFG,1979,0
Afghanistan,AFG,1980,0
Afghanistan,AFG,1981,0
Afghanistan,AFG,1982,0
Afghanistan,AFG,1983,0
Afghanistan,AFG,1984,0
Afghanistan,AFG,1985,0
Afghanistan,AFG,1986,0
Afghanistan,AFG,1987,0
Afghanistan,AFG,1988,0
Afghanistan,AFG,1989,0
Afghanistan,AFG,1990,0
Afghanistan,AFG,1991,0
Afghanistan,AFG,1992,0
Afghanistan,AFG,1993,0
Afghanistan,AFG,1994,0
Afghanistan,AFG,1995,0
Afghanistan,AFG,1996,0
Afghanistan,AFG,1997,0
Afghanistan,AFG,1998,0
Afghanistan,AFG,1999,0
Afghanistan,AFG,2000,0
Afghanistan,AFG,2001,0
Afghanistan,AFG,2002,0
Afghanistan,AFG,2003,0.01
Afghanistan,AFG,2004,0
Afghanistan,AFG,2005,0.01
Afghanistan,AFG,2006,0.01
Afghanistan,AFG,2007,0
Afghanistan,AFG,2008,0.02
Afghanistan,AFG,2009,0
Afghanistan,AFG,2010,0
Afghanistan,AFG,2011,0
Afghanistan,AFG,2012,0
Afghanistan,AFG,2013,0
Albania,ALB,1962,0.41
Albania,ALB,1963,0.2
Albania,ALB,1964,0.26
Albania,ALB,1965,0.33
Albania,ALB,1966,0.38
Albania,ALB,1967,0.49
Albania,ALB,1968,0.55
Albania,ALB,1969,0.73
Albania,ALB,1970,0.79
Albania,ALB,1971,0.59
Albania,ALB,1972,0.82
Albania,ALB,1973,0.72
Albania,ALB,1974,0.87
Albania,ALB,1975,0.69
Albania,ALB,1976,0.69
Albania,ALB,1977,0.74
Albania,ALB,1978,0.85
Albania,ALB,1979,0.76
Albania,ALB,1980,0.91
Albania,ALB,1981,0.97
Albania,ALB,1982,0.86
Albania,ALB,1983,0.94
Albania,ALB,1984,0.9
Albania,ALB,1985,0.86
Albania,ALB,1986,0.57
Albania,ALB,1987,0.64
Albania,ALB,1988,0.74
Albania,ALB,1989,0.75
Albania,ALB,1990,0.96
Albania,ALB,1991,0.49
Albania,ALB,1992,0.6
Albania,ALB,1993,0.32
Albania,ALB,1994,0.82
Albania,ALB,1995,0.81
Albania,ALB,1996,1.16
Albania,ALB,1997,0.77
Albania,ALB,1998,0.42
Albania,ALB,1999,0.59
Albania,ALB,2000,1.96
Albania,ALB,2001,2.02
Albania,ALB,2002,2.09
Albania,ALB,2003,2.13
Albania,ALB,2004,2.06
Albania,ALB,2005,2.14
Albania,ALB,2006,2.19
Albania,ALB,2007,2.26
Albania,ALB,2008,2.26
Albania,ALB,2009,2.3
Albania,ALB,2010,2.23
Albania,ALB,2011,2.23
Albania,ALB,2012,2.05
Albania,ALB,2013,1.92
Albania,ALB,2014,1.85
Algeria,DZA,1961,0.29
Algeria,DZA,1962,0.11
Algeria,DZA,1963,0.07
Algeria,DZA,1964,0.07
Algeria,DZA,1965,0.07
Algeria,DZA,1966,0.05
Algeria,DZA,1967,0.05
Algeria,DZA,1968,0.15
Algeria,DZA,1969,0.23
Algeria,DZA,1970,0.11
Algeria,DZA,1971,0.12
Algeria,DZA,1972,0.06
Algeria,DZA,1973,0
Algeria,DZA,1974,0.08
Algeria,DZA,1975,0.09
Algeria,DZA,1976,0.09
Algeria,DZA,1977,0.07
Algeria,DZA,1978,0.07
Algeria,DZA,1979,0.02
Algeria,DZA,1980,0.02
Algeria,DZA,1981,0.02
Algeria,DZA,1982,0.02
Algeria,DZA,1983,0.01
Algeria,DZA,1984,0.01
Algeria,DZA,1985,0.01
Algeria,DZA,1986,0.01
Algeria,DZA,1987,0.01
Algeria,DZA,1988,0.01
Algeria,DZA,1989,0.01
Algeria,DZA,1990,0.01
Algeria,DZA,1991,0.01
Algeria,DZA,1992,0.01
Algeria,DZA,1993,0.01
Algeria,DZA,1994,0.01
Algeria,DZA,1995,0.01
Algeria,DZA,1996,0.01
Algeria,DZA,1997,0.01
Algeria,DZA,1998,0.01
Algeria,DZA,1999,0.01
Algeria,DZA,2000,0
Algeria,DZA,2001,0.01
Algeria,DZA,2002,0.01
Algeria,DZA,2003,0.02
Algeria,DZA,2004,0.03
Algeria,DZA,2005,0.02
Algeria,DZA,2006,0.02
Algeria,DZA,2007,0.03
Algeria,DZA,2008,0.02
Algeria,DZA,2009,0.04
Algeria,DZA,2010,0.04
Algeria,DZA,2011,0.06
Algeria,DZA,2012,0.07
Algeria,DZA,2013,0.1
Andorra,AND,2000,2.76
Andorra,AND,2001,2.18
Andorra,AND,2002,3.15
Andorra,AND,2003,2.94
Andorra,AND,2004,2.84
Andorra,AND,2005,2.94
Andorra,AND,2006,2.99
Andorra,AND,2007,2.94
Andorra,AND,2008,2.84
Andorra,AND,2009,2.72
