Entity,Code,Year,Gini index (SEDLAC)
Argentina,ARG,1974,0.33260202
Argentina,ARG,1980,0.38000806
Argentina,ARG,1986,0.41178111
Argentina,ARG,1987,0.43496194
Argentina,ARG,1988,0.44120889
Argentina,ARG,1991,0.44428202
Argentina,ARG,1992,0.43416825
Argentina,ARG,1993,0.42799667
Argentina,ARG,1994,0.43752305
Argentina,ARG,1995,0.4678178
Argentina,ARG,1996,0.47272785
Argentina,ARG,1997,0.46872105
Argentina,ARG,1998,0.48445621
Argentina,ARG,1999,0.47561652
Argentina,ARG,2000,0.48942144
Argentina,ARG,2001,0.51313927
Argentina,ARG,2002,0.51779179
Argentina,ARG,2003,0.48330972
Argentina,ARG,2004,0.45807555
Argentina,ARG,2005,0.45310573
Argentina,ARG,2006,0.44235414
Argentina,ARG,2007,0.4395017
Argentina,ARG,2008,0.42073921
Argentina,ARG,2009,0.41472306
Argentina,ARG,2010,0.40344752
Argentina,ARG,2011,0.39556479
Argentina,ARG,2012,0.38462878
Argentina,ARG,2013,0.38118761
Argentina,ARG,2014,0.3841401
Argentina,ARG,2015,0.37555172
Argentina,ARG,2016,0.39463399
Argentina,ARG,2017,0.38626491
Bolivia,BOL,1992,0.47213221
Bolivia,BOL,1993,0.51576586
Bolivia,BOL,1997,0.56327953
Bolivia,BOL,1999,0.56418199
Bolivia,BOL,2000,0.5985646
Bolivia,BOL,2001,0.55426034
Bolivia,BOL,2002,0.57565898
Bolivia,BOL,2005,0.56558946
Bolivia,BOL,2006,0.54595131
Bolivia,BOL,2007,0.52237247
Bolivia,BOL,2008,0.48713897
Bolivia,BOL,2009,0.47057762
Bolivia,BOL,2011,0.43865007
Bolivia,BOL,2012,0.44593634
Bolivia,BOL,2013,0.4556241
Bolivia,BOL,2014,0.45638834
Bolivia,BOL,2015,0.44545837
Bolivia,BOL,2016,0.42296023
Bolivia,BOL,2017,0.41813929
Brazil,BRA,1981,0.55266283
Brazil,BRA,1982,0.55884383
Brazil,BRA,1983,0.56511299
Brazil,BRA,1984,0.55883613
Brazil,BRA,1985,0.53084866
Brazil,BRA,1986,0.56176871
Brazil,BRA,1987,0.57317193
Brazil,BRA,1988,0.59340781
Brazil,BRA,1989,0.61212059
Brazil,BRA,1990,0.58861536
Brazil,BRA,1993,0.58492095
Brazil,BRA,1995,0.57842319
Brazil,BRA,1996,0.58283257
Brazil,BRA,1997,0.58161734
Brazil,BRA,1998,0.5787884
Brazil,BRA,1999,0.57236478
Brazil,BRA,2001,0.56543838
Brazil,BRA,2002,0.56255721
Brazil,BRA,2003,0.55659808
Brazil,BRA,2004,0.54527684
Brazil,BRA,2005,0.54334933
Brazil,BRA,2006,0.53713346
Brazil,BRA,2007,0.53040091
Brazil,BRA,2008,0.52109107
Brazil,BRA,2009,0.51778081
Brazil,BRA,2011,0.51097591
Brazil,BRA,2012,0.50697274
Brazil,BRA,2013,0.50966114
Brazil,BRA,2014,0.49685929
Brazil,BRA,2015,0.4953849
Brazil,BRA,2016,0.51419517
Chile,CHL,1987,0.54894312
Chile,CHL,1990,0.55937807
Chile,CHL,1992,0.53239771
Chile,CHL,1994,0.55089569
Chile,CHL,1996,0.53593035
Chile,CHL,1998,0.54193767
Chile,CHL,2000,0.51705373
Chile,CHL,2003,0.49990167
Chile,CHL,2006,0.45290172
Chile,CHL,2009,0.46988272
Chile,CHL,2011,0.44688136
Chile,CHL,2013,0.44716338
Chile,CHL,2015,0.43388865
Colombia,COL,2001,0.55113062
Colombia,COL,2002,0.53459564
Colombia,COL,2003,0.51476572
Colombia,COL,2004,0.53407921
Colombia,COL,2005,0.52103731
Colombia,COL,2008,0.53324413
Colombia,COL,2009,0.52201718
Colombia,COL,2010,0.52464852
Colombia,COL,2011,0.51306586
Colombia,COL,2012,0.50530843
Colombia,COL,2013,0.50522731
Colombia,COL,2014,0.50410927
Colombia,COL,2015,0.48795079
Colombia,COL,2016,0.48502888
Costa Rica,CRI,1989,0.43675332
Costa Rica,CRI,1990,0.43544999
Costa Rica,CRI,1991,0.44674308
Costa Rica,CRI,1992,0.43897319
Costa Rica,CRI,1993,0.4423002
Costa Rica,CRI,1994,0.4479459
Costa Rica,CRI,1995,0.44012366
Costa Rica,CRI,1996,0.44789697
Costa Rica,CRI,1997,0.43615441
Costa Rica,CRI,1998,0.43725902
Costa Rica,CRI,1999,0.45740165
Costa Rica,CRI,2000,0.45608923
Costa Rica,CRI,2001,0.49612324
Costa Rica,CRI,2002,0.50237275
Costa Rica,CRI,2003,0.47448353
Costa Rica,CRI,2004,0.46487221
Costa Rica,CRI,2005,0.45490283
Costa Rica,CRI,2006,0.47606953
Costa Rica,CRI,2007,0.47531605
Costa Rica,CRI,2008,0.46853517
Costa Rica,CRI,2009,0.48787469
Costa Rica,CRI,2010,0.46352025
Costa Rica,CRI,2011,0.46780586
Costa Rica,CRI,2012,0.46735085
Costa Rica,CRI,2013,0.4755107
Costa Rica,CRI,2014,0.46863485
Costa Rica,CRI,2015,0.46621688
Costa Rica,CRI,2016,0.46877051
Costa Rica,CRI,2017,0.46606367
Dominican Republic,DOM,1996,0.45862798
Dominican Republic,DOM,1997,0.47051843
Dominican Republic,DOM,2000,0.50360429
