Entity,Code,Year,Government expenditure on pre-primary education as % of GDP (%) (%)
Andorra,AND,2002,0.341630011796951
Andorra,AND,2004,0.301539987325668
Andorra,AND,2005,0.269959986209869
Andorra,AND,2006,0.414039999246597
Andorra,AND,2007,0.402220010757446
Andorra,AND,2009,0.405530005693436
Andorra,AND,2010,0.447890013456345
Andorra,AND,2011,0.456820011138916
Andorra,AND,2013,0.448260009288788
Andorra,AND,2014,0.423260003328323
Angola,AGO,2006,0.308809995651245
Antigua and Barbuda,ATG,1999,0.123889997601509
Antigua and Barbuda,ATG,2002,0.0725599974393845
Antigua and Barbuda,ATG,2009,0.00669000018388033
Argentina,ARG,1998,0.293769985437393
Argentina,ARG,1999,0.292270004749298
Argentina,ARG,2000,0.355369985103607
Argentina,ARG,2001,0.402350008487701
Argentina,ARG,2002,0.314619988203049
Argentina,ARG,2003,0.301829993724823
Argentina,ARG,2004,0.262010008096695
Argentina,ARG,2005,0.273589998483658
Argentina,ARG,2006,0.262510001659393
Argentina,ARG,2007,0.293370008468628
Argentina,ARG,2008,0.348450005054474
Argentina,ARG,2009,0.370350003242493
Argentina,ARG,2010,0.342579990625381
Argentina,ARG,2011,0.405220001935959
Argentina,ARG,2012,0.398849993944168
Argentina,ARG,2013,0.438520014286041
Armenia,ARM,2008,0.267049998044968
Armenia,ARM,2009,0.434210002422333
Armenia,ARM,2011,0.283060014247894
Armenia,ARM,2012,0.280919998884201
Armenia,ARM,2013,0.290300011634827
Aruba,ABW,1998,0.198379993438721
Aruba,ABW,1999,0.235520005226135
Aruba,ABW,2000,0.333700001239777
Aruba,ABW,2001,0.268209993839264
Aruba,ABW,2002,0.270000010728836
Aruba,ABW,2004,0.284209996461868
Aruba,ABW,2005,0.31784000992775
Australia,AUS,2000,0.0605400018393993
Australia,AUS,2005,0.0508700013160706
Australia,AUS,2006,0.0483199991285801
Australia,AUS,2007,0.0432099997997284
Australia,AUS,2008,0.043249998241663
Australia,AUS,2009,0.0572500005364418
Australia,AUS,2010,0.064970001578331
